layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,3.53127,2.55535,3.02116,3.33199,2.46925,2.96899,3.30707,2.46456,2.96817,3.31192,2.46994,2.97293,3.32296,2.47065,2.98869,3.33185,2.47416,2.99988,3.34033,2.47953,3.01043,3.34503,2.48395,3.00842,3.34083,2.48614,3.00686,3.33569,2.48827,3.01041,3.33289,2.48817
1,3.36980,2.98107,3.03264,3.33271,2.76422,3.01157,3.33034,2.70954,3.03706,3.34934,2.68072,3.04891,3.36654,2.67205,3.06223,3.37140,2.66885,3.07599,3.37400,2.67078,3.08454,3.37682,2.66947,3.07604,3.36811,2.67077,3.07649,3.36132,2.67265,3.07568,3.35306,2.67415
2,3.31085,2.37124,2.84105,3.22664,2.27319,2.78031,3.21725,2.27282,2.79084,3.21780,2.27971,2.77845,3.22333,2.29180,2.78105,3.22228,2.30654,2.78045,3.22075,2.32163,2.78741,3.21921,2.32443,2.77708,3.21274,2.32512,2.77400,3.20889,2.33072,2.77698,3.20059,2.33234
3,4.10357,3.03518,3.70303,3.96693,3.28186,3.69407,3.98946,3.34019,3.75432,4.01805,3.36557,3.77286,4.04407,3.37979,3.78856,4.05684,3.38679,3.79206,4.06279,3.39629,3.80587,4.07237,3.39770,3.79952,4.07654,3.39774,3.79416,4.07024,3.39410,3.80473,4.06403,3.38751
4,4.62783,3.61557,4.54564,4.84753,5.06995,5.04092,5.00301,5.79524,5.30826,5.11019,6.07566,5.46276,5.18254,6.25308,5.56632,5.22869,6.36104,5.64117,5.26495,6.43368,5.71923,5.29032,6.48768,5.76032,5.31210,6.53393,5.80088,5.31767,6.56059,5.85047,5.32715,6.57108
5,5.83731,4.65197,5.81145,5.99926,6.62906,6.30855,6.14397,6.99093,6.49161,6.20176,7.07446,6.60008,6.22119,7.14813,6.64618,6.22262,7.20086,6.67595,6.22419,7.24137,6.70957,6.20750,7.27546,6.70733,6.20268,7.30530,6.72021,6.18214,7.31806,6.73561,6.16669,7.31894
6,6.30660,5.42774,7.48483,7.11549,8.68432,8.70657,7.61008,10.48580,9.38751,7.80832,11.05453,9.80477,7.91688,11.38907,10.03692,7.98085,11.60398,10.12671,8.02245,11.73628,10.19720,8.03982,11.83584,10.23331,8.05326,11.90719,10.24646,8.05493,11.95911,10.27578,8.06970,12.00081
7,7.14395,5.98560,8.48686,7.93357,9.68005,9.46058,8.36931,11.45705,9.99331,8.45949,12.10040,10.31863,8.50859,12.34633,10.52227,8.52298,12.47587,10.60916,8.54043,12.55368,10.64766,8.52962,12.61454,10.64600,8.52326,12.69845,10.62573,8.49953,12.76087,10.61152,8.49665,12.81125
8,7.66022,6.74688,10.39969,9.07830,12.51868,12.85753,9.85661,15.58352,14.31844,10.02159,16.29660,15.08695,10.04640,16.65426,15.64632,10.01454,16.90334,16.04347,10.01962,17.14696,16.30116,10.01560,17.34571,16.45325,10.01649,17.52262,16.55995,10.00963,17.64342,16.65189,10.01430,17.74984
9,8.76631,8.09708,12.20568,10.74334,14.44394,16.31537,11.80465,18.17139,18.53173,11.95448,19.15203,19.61715,11.99324,19.59846,20.18623,11.97862,19.85270,20.48019,11.99690,20.07185,20.63382,12.00095,20.24645,20.65702,12.00907,20.39611,20.71740,12.01322,20.50654,20.72101,12.02082,20.59258
10,9.09991,9.32411,12.97782,10.91598,15.34597,16.76185,11.98874,18.67607,18.52542,12.07394,19.69920,19.23910,12.02709,20.21778,19.64283,11.96870,20.58141,19.87872,11.95177,20.84872,20.00643,11.92079,21.05107,20.03084,11.91767,21.21952,20.07402,11.89772,21.31628,20.07667,11.89222,21.36991
11,9.97565,11.02227,14.59140,12.66991,18.93937,19.43028,14.41284,21.98413,20.94002,14.34595,22.69190,21.37291,14.31299,22.95553,21.59825,14.28097,23.14846,21.75423,14.27319,23.25280,21.86224,14.24031,23.39071,21.87919,14.22225,23.47039,21.90060,14.18157,23.49325,21.89965,14.14295,23.48681
12,9.94817,12.60181,14.81171,12.54473,21.76210,19.94148,13.72154,24.67533,20.84367,13.80959,25.09075,21.21552,13.88915,25.35113,21.49498,13.90068,25.63117,21.68544,13.93087,25.80108,21.76786,13.93513,25.99050,21.76517,13.94944,26.14099,21.74374,13.92984,26.26376,21.70136,13.91050,26.33468
13,10.92631,14.86502,17.77737,14.68927,25.88417,23.24463,15.40265,28.85414,23.66437,15.40180,29.76106,23.87121,15.59797,30.45323,24.18315,15.68303,31.08246,24.38478,15.80411,31.54004,24.52350,15.86243,31.93656,24.57006,15.92616,32.21473,24.57286,15.92796,32.47639,24.53261,15.94298,32.72298
14,11.42790,15.58855,17.55905,15.08545,24.76679,22.93345,15.50965,27.57609,23.44118,15.52745,28.48643,23.62352,15.80752,29.07812,23.97826,15.95102,29.56907,24.19827,16.06802,29.93073,24.31964,16.12839,30.24310,24.38589,16.18285,30.45948,24.37244,16.16341,30.67358,24.34330,16.16564,30.85423
15,12.61723,16.68978,18.62307,17.27874,26.67369,24.16261,17.38545,30.69191,25.64753,17.60460,32.25961,26.32555,17.98454,33.21902,26.85772,18.18808,33.90664,27.22823,18.33276,34.41063,27.46076,18.42853,34.81517,27.55492,18.50019,35.13280,27.61369,18.48631,35.40640,27.61606,18.48587,35.65578
16,14.20696,18.85186,21.74930,19.03470,29.63234,26.46241,18.97295,33.62329,27.43622,18.99277,35.12980,27.80481,19.26058,36.02159,28.12934,19.37943,36.65688,28.35888,19.46227,37.16582,28.51321,19.50232,37.58130,28.55059,19.54241,37.89492,28.55877,19.51326,38.16128,28.50042,19.48047,38.41503
17,15.53641,21.10028,23.45598,20.18545,31.42825,27.14788,19.73415,34.63422,27.95590,19.72824,35.91238,28.27670,19.92917,36.53683,28.46718,20.00137,36.96773,28.58058,20.01815,37.29250,28.62172,20.01105,37.57474,28.55068,19.99871,37.79011,28.47942,19.95118,37.97114,28.33450,19.86966,38.15532
