metric,task,varicl_top10,varicl_top20,varicl_top30,varicl_top40,vanilla_sparse_opt23
zs,antonym,0.5391849529780565,0.6332288401253918,0.5924764890282131,0.5830721003134797,0.4608150470219436
zs,capitalize,0.7159763313609467,0.9408284023668639,0.9526627218934911,0.9526627218934911,0.8757396449704142
zs,capitalize_first_letter,0.2331288343558282,0.7852760736196319,0.8343558282208589,0.852760736196319,0.9877300613496932
zs,country-currency,0.14285714285714285,0.14285714285714285,0.17857142857142858,0.17857142857142858,0.5
zs,landmark-country,0.34375,0.671875,0.640625,0.6875,0.8359375
zs,lowercase_first_letter,0.0,0.024390243902439025,0.018292682926829267,0.006097560975609756,0.7317073170731707
zs,product-company,0.06172839506172839,0.13580246913580246,0.1111111111111111,0.14814814814814814,0.7654320987654321
zs,synonym,0.18243243243243243,0.23648648648648649,0.20945945945945946,0.1891891891891892,0.14864864864864866
zs,word_length,0.0,0.0,0.0,0.0,0.09090909090909091
zs,MEAN,0.2466,0.3967,0.3931,0.3998,0.5997
fs_shuffled,antonym,0.8683385579937304,0.8526645768025078,0.8432601880877743,0.8526645768025078,0.8213166144200627
fs_shuffled,capitalize,0.9822485207100592,0.9881656804733728,0.9822485207100592,0.9881656804733728,0.9881656804733728
fs_shuffled,capitalize_first_letter,0.901840490797546,0.8957055214723927,0.9202453987730062,0.9263803680981595,0.9570552147239264
fs_shuffled,country-currency,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8214285714285714
fs_shuffled,landmark-country,0.953125,0.9453125,0.9453125,0.9453125,0.953125
fs_shuffled,lowercase_first_letter,0.9024390243902439,0.9207317073170732,0.926829268292683,0.926829268292683,0.9329268292682927
fs_shuffled,product-company,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8765432098765432,0.9012345679012346
fs_shuffled,synonym,0.5067567567567568,0.46621621621621623,0.47297297297297297,0.46621621621621623,0.3581081081081081
fs_shuffled,word_length,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365
fs_shuffled,MEAN,0.7767,0.7817,0.7842,0.7844,0.7886
