task,n_filtered,zs_top10,zs_top20,zs_top30,zs_top40,zs_mt_fixedicl,zs_task_specific,fs_top10,fs_top20,fs_top30,fs_top40,fs_mt_fixedicl,fs_task_specific
antonym,319,0.5392,0.6332,0.5925,0.5831,0.6489028213166145,0.6081504702194357,0.8683,0.8527,0.8433,0.8527,0.8683385579937304,0.8683385579937304
capitalize,169,0.716,0.9408,0.9527,0.9527,0.7455621301775148,0.7751479289940828,0.9822,0.9882,0.9822,0.9882,0.9940828402366864,0.9940828402366864
capitalize_first_letter,163,0.2331,0.7853,0.8344,0.8528,0.6993865030674846,0.7116564417177914,0.9018,0.8957,0.9202,0.9264,0.9202453987730062,0.950920245398773
country-currency,28,0.1429,0.1429,0.1786,0.1786,0.17857142857142858,0.35714285714285715,0.7143,0.7143,0.7143,0.7143,0.7857142857142857,0.7857142857142857
landmark-country,128,0.3438,0.6719,0.6406,0.6875,0.734375,0.828125,0.9531,0.9453,0.9453,0.9453,0.9453125,0.953125
lowercase_first_letter,164,0.0,0.0244,0.0183,0.0061,0.006097560975609756,0.012195121951219513,0.9024,0.9207,0.9268,0.9268,0.9390243902439024,0.9695121951219512
product-company,81,0.0617,0.1358,0.1111,0.1481,0.2222222222222222,0.7901234567901234,0.8889,0.8889,0.8889,0.8765,0.8888888888888888,0.8888888888888888
synonym,148,0.1824,0.2365,0.2095,0.1892,0.14864864864864866,0.17567567567567569,0.5068,0.4662,0.473,0.4662,0.4594594594594595,0.4864864864864865
word_length,22,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727,0.3636,0.3636,0.3636,0.36363636363636365,0.4090909090909091
