layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout
0,0.5,0.1299,0.1067,0.1329,0.1181
0,1.0,0.18,0.1267,0.1733,0.2062
0,2.0,0.1275,0.0467,0.1194,0.1595
0,4.0,0.1034,0.02,0.0964,0.131
0,best,0.2066,0.16,0.2001,0.2319
1,0.5,0.1157,0.0933,0.1184,0.1048
1,1.0,0.1986,0.1267,0.1916,0.2262
1,2.0,0.1528,0.06,0.1458,0.18
1,4.0,0.1217,0.04,0.1115,0.1619
1,best,0.2197,0.16,0.2118,0.251
2,0.5,0.1019,0.0667,0.104,0.0938
2,1.0,0.1985,0.1467,0.1918,0.2248
2,2.0,0.1625,0.0667,0.1549,0.1924
2,4.0,0.1353,0.0333,0.1292,0.1591
2,best,0.2132,0.1533,0.2038,0.2505
3,0.5,0.1027,0.0733,0.1029,0.1019
3,1.0,0.2034,0.14,0.1938,0.241
3,2.0,0.1655,0.08,0.1596,0.1886
3,4.0,0.1386,0.0267,0.1335,0.1586
3,best,0.2194,0.1533,0.2097,0.2576
4,0.5,0.0697,0.04,0.071,0.0643
4,1.0,0.1657,0.1067,0.1607,0.1852
4,2.0,0.1407,0.0467,0.136,0.1591
4,4.0,0.1221,0.0267,0.1145,0.1519
4,best,0.1828,0.12,0.1756,0.211
5,0.5,0.0562,0.04,0.0542,0.0643
5,1.0,0.1486,0.0933,0.1446,0.1643
5,2.0,0.1335,0.0467,0.1286,0.1528
5,4.0,0.1193,0.0267,0.111,0.1519
5,best,0.1679,0.1067,0.1615,0.1933
6,0.5,0.0483,0.0333,0.0479,0.05
6,1.0,0.1507,0.1,0.1442,0.1762
6,2.0,0.146,0.0467,0.1405,0.1676
6,4.0,0.1294,0.0267,0.121,0.1624
6,best,0.1774,0.1067,0.169,0.2105
7,0.5,0.0303,0.0133,0.0297,0.0329
7,1.0,0.1241,0.0667,0.1211,0.1357
7,2.0,0.1399,0.0467,0.1327,0.1681
7,4.0,0.1282,0.02,0.1171,0.1719
7,best,0.1666,0.0867,0.1584,0.1986
8,0.5,0.0147,0.0067,0.0137,0.0186
8,1.0,0.0781,0.04,0.0766,0.0838
8,2.0,0.104,0.0333,0.0967,0.1324
8,4.0,0.099,0.02,0.0865,0.1481
8,best,0.1273,0.06,0.1188,0.1609
9,0.5,0.0128,0.0,0.0119,0.0162
9,1.0,0.0599,0.0333,0.0607,0.0567
9,2.0,0.0773,0.02,0.0722,0.0972
9,4.0,0.0717,0.0133,0.0652,0.0972
9,best,0.0995,0.0467,0.0952,0.1167
10,0.5,0.0104,0.0067,0.0093,0.0148
