# geometry congruence (all 69 tasks, family-centered)
layer,pairwise_cos_pearson,pairwise_cos_spearman,centered_norm_pearson,gram_cka,feature_alignment,max_principal_cos,median_principal_cos,k90_read,k90_fv
6,0.9319,0.9048,0.7864,0.9295,0.0137,0.2558,0.0911,32,28
13,0.9586,0.9458,0.7900,0.9518,0.0505,0.4067,0.1711,33,28
# cross-family cosines: matched cos(m_A, v_A) vs mismatched cos(m_A, v_B), all 69 tasks
layer,variant,matched_mean,matched_median,matched_min,matched_max,mismatched_mean,n_matched_above_mism_p95
6,uncentered,0.1725,0.1679,0.0766,0.2759,0.1435,16
6,centered,0.0764,0.0670,-0.0035,0.1906,-0.0005,40
13,uncentered,0.2799,0.2748,0.1731,0.4003,0.1934,31
13,centered,0.1947,0.1848,0.0658,0.3467,-0.0022,57
# held-out fits (14 tasks; centered_cos = cos of train-mean-centered pred vs true)
layer,method,lambda,heldout_r2_testmean,heldout_r2_trainmean,heldout_centered_cos,heldout_cos
6,ridge,0.01,0.6416,0.6692,0.8260,0.8917
6,rotation,,0.4820,0.5219,0.7990,0.8537
6,rotation+scale,,0.5864,0.6183,0.7990,0.8773
6,trainmean_baseline,,-0.0835,0.0000,0.0000,0.6423
13,ridge,0.01,0.6569,0.6834,0.8365,0.8975
13,rotation,,0.6249,0.6538,0.8223,0.8893
13,rotation+scale,,0.6239,0.6529,0.8223,0.8891
13,trainmean_baseline,,-0.0835,0.0000,0.0000,0.6423
