layer,test_perprompt,test_centroid,train_centroid
0,0.2053,0.2463,0.7351
1,0.2108,0.2614,0.8255
2,0.2477,0.2889,0.8258
3,0.2711,0.3179,0.8768
4,0.2838,0.3341,0.9064
