layer,best_alpha,alpha_pinned,r2_train_insample_uniform,r2_train_unseenprompts_uniform,r2_train_unseenprompts_oracle,r2_test_uniform,r2_test_weighted
0,3162.28,False,0.4019,0.3688,0.5409,0.1429,0.1820
1,3162.28,False,0.4602,0.4125,0.5409,0.1475,0.1877
2,10000,False,0.4620,0.4189,0.5409,0.1687,0.2075
3,10000,False,0.4942,0.4437,0.5409,0.1849,0.2243
4,10000,False,0.5145,0.4591,0.5409,0.1941,0.2345
