tag,split,n_train,n_test,lam,lofo_r2,r2_train_mean_denom,r2_test_mean_denom,cos_mean,js_hungarian_in_split
v11_pairdiff_unitnorm_split66_s1,66/34,37,16,10.0,0.0853,0.225,0.1709,0.4367,False
v11_pairdiff_unitnorm_split66_s2,66/34,36,17,10.0,0.0874,0.2463,0.1612,0.4195,False
v11_pairdiff_unitnorm_split66_s3,66/34,35,18,10.0,0.0507,0.2628,0.1832,0.456,False
v11_pairdiff_unitnorm_split66_s4,66/34,34,19,10.0,0.0862,0.1903,0.1221,0.3872,False
v11_pairdiff_unitnorm_split66_s5,66/34,35,18,10.0,0.049,0.26,0.1788,0.4288,False
v11_pairdiff_unitnorm_split80_s1,80/20,44,9,10.0,0.0888,0.2856,0.1754,0.4733,False
v11_pairdiff_unitnorm_split80_s2,80/20,43,10,10.0,0.1198,0.1956,0.056,0.3585,False
v11_pairdiff_unitnorm_split80_s3,80/20,43,10,10.0,0.0962,0.303,0.1779,0.4882,False
v11_pairdiff_unitnorm_split80_s4,80/20,42,11,10.0,0.1188,0.1165,-0.0052,0.3403,False
v11_pairdiff_unitnorm_split80_s5,80/20,43,10,10.0,0.0992,0.2092,0.1167,0.4089,False
