tag,split,n_train,n_test,lam,lofo_r2,r2_train_mean_denom,r2_test_mean_denom,cos_mean,js_hungarian_in_split
v10_pairdiff_unitnorm_split66_s1,66/34,37,17,10.0,0.0848,0.2185,0.1649,0.4302,True
v10_pairdiff_unitnorm_split66_s2,66/34,36,18,10.0,0.0879,0.2388,0.1563,0.414,True
v10_pairdiff_unitnorm_split66_s3,66/34,36,18,10.0,0.0505,0.2636,0.1855,0.46,True
v10_pairdiff_unitnorm_split66_s4,66/34,35,19,10.0,0.0846,0.1936,0.1258,0.3929,True
v10_pairdiff_unitnorm_split66_s5,66/34,35,19,10.0,0.0483,0.2501,0.1721,0.4203,True
v10_pairdiff_unitnorm_split80_s1,80/20,44,10,10.0,0.088,0.2683,0.1615,0.4581,True
v10_pairdiff_unitnorm_split80_s2,80/20,43,11,10.0,0.1201,0.1878,0.0581,0.3553,True
v10_pairdiff_unitnorm_split80_s3,80/20,44,10,10.0,0.0946,0.3046,0.1811,0.4939,True
v10_pairdiff_unitnorm_split80_s4,80/20,43,11,10.0,0.1157,0.1192,-0.0008,0.3463,True
v10_pairdiff_unitnorm_split80_s5,80/20,43,11,10.0,0.0981,0.1969,0.111,0.3972,True
