family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
us_uk,alt,24,4.0,0.63,0.561,0.694,0.64,0.195,0.985,0.06,0.7,0.04,0.64
us_uk,nat,8,1.0,0.775,0.712,0.827,0.78,0.19,0.99,0.755,0.79,0.765,0.81
ise_ize,alt,24,4.0,0.68,0.612,0.741,0.695,0.105,0.975,0.005,0.0,0.005,0.685
ise_ize,nat,8,4.0,0.92,0.874,0.95,0.93,0.065,0.98,0.94,0.915,0.86,0.88
contractions,alt,20,4.0,0.87,0.816,0.91,0.885,0.05,0.975,0.38,0.395,0.42,0.68
contractions,nat,24,4.0,0.715,0.649,0.773,0.74,0.145,0.955,0.435,0.34,0.425,0.825
num_words,alt,24,2.0,0.815,0.755,0.863,0.83,0.11,0.97,0.155,0.695,0.135,0.48
num_words,nat,24,4.0,0.94,0.898,0.965,0.95,0.05,0.98,0.725,0.935,0.735,0.91
ordinal_words,alt,24,1.0,0.945,0.904,0.969,0.955,0.04,0.985,0.655,0.71,0.71,0.89
ordinal_words,nat,24,2.0,0.83,0.772,0.876,0.84,0.095,0.92,0.27,0.19,0.215,0.965
uk_vocab,alt,24,4.0,0.67,0.602,0.731,0.67,0.195,0.975,0.085,0.195,0.09,0.31
uk_vocab,nat,24,1.0,0.815,0.755,0.863,0.835,0.105,0.97,0.755,0.76,0.76,0.665
register,alt,20,4.0,0.33,0.269,0.398,0.335,0.345,0.95,0.145,0.175,0.155,0.325
register,nat,4,1.0,0.485,0.417,0.554,0.49,0.365,0.995,0.48,0.44,0.52,0.7
unit_abbr,alt,24,4.0,0.86,0.805,0.901,0.87,0.085,0.985,0.015,0.03,0.04,0.565
unit_abbr,nat,24,0.5,0.96,0.923,0.98,0.99,0.0,0.97,0.945,0.925,0.91,0.955
diacritics,alt,24,4.0,0.395,0.33,0.464,0.405,0.125,0.965,0.27,0.325,0.325,0.445
diacritics,nat,24,4.0,0.58,0.511,0.646,0.595,0.16,0.975,0.56,0.545,0.595,0.4
latin_plural,alt,20,2.0,0.28,0.222,0.346,0.34,0.085,0.925,0.23,0.225,0.245,0.355
latin_plural,nat,24,4.0,0.675,0.607,0.736,0.68,0.12,0.97,0.59,0.61,0.605,0.575
title_abbr,alt,24,4.0,0.74,0.675,0.796,0.775,0.18,0.945,0.37,0.105,0.36,0.575
title_abbr,nat,24,4.0,0.48,0.412,0.549,0.51,0.245,0.93,0.405,0.34,0.41,0.67
pt_br_eu,alt,24,2.0,0.665,0.597,0.727,0.71,0.165,0.91,0.025,0.215,0.03,0.45
pt_br_eu,nat,6,0.5,0.78,0.718,0.832,0.82,0.155,0.94,0.75,0.77,0.74,0.83
pt_acordo_eu,alt,24,4.0,0.385,0.32,0.454,0.415,0.14,0.91,0.06,0.075,0.065,0.535
pt_acordo_eu,nat,12,4.0,0.765,0.702,0.818,0.82,0.12,0.93,0.76,0.73,0.695,0.71
es_rae2010,alt,24,4.0,0.18,0.133,0.239,0.22,0.45,0.825,0.125,0.115,0.11,0.3
es_rae2010,nat,24,4.0,0.66,0.592,0.722,0.725,0.24,0.895,0.455,0.45,0.505,0.615
zh_simp_trad,alt,10,4.0,0.525,0.456,0.593,0.79,0.05,0.64,0.005,0.01,0.02,0.92
zh_simp_trad,nat,10,0.5,0.75,0.686,0.805,0.94,0.055,0.755,0.72,0.7,0.695,0.94
ru_yo,alt,20,0.5,0.47,0.401,0.539,0.586,0.369,0.803,0.439,0.389,0.419,0.556
ru_yo,nat,24,4.0,0.182,0.134,0.241,0.212,0.359,0.808,0.071,0.025,0.061,0.566
py_snake_camel,alt,24,2.0,0.82,0.692,0.902,0.96,0.0,0.86,0.0,0.0,0.0,0.92
py_snake_camel,nat,2,0.5,0.84,0.715,0.917,1.0,0.0,0.84,0.8,0.88,0.88,1.0
js_camel_snake,alt,24,2.0,0.76,0.626,0.857,0.88,0.0,0.86,0.0,0.0,0.02,0.94
js_camel_snake,nat,20,0.5,0.88,0.762,0.944,0.96,0.04,0.92,0.88,0.9,0.82,0.94
py_const_naming,alt,4,0.5,0.0,0.0,0.071,0.02,0.96,0.74,0.0,0.0,0.0,0.68
py_const_naming,nat,12,0.5,0.06,0.021,0.162,0.08,0.92,0.7,0.02,0.0,0.02,0.8
py_class_naming,alt,10,4.0,0.42,0.294,0.558,0.52,0.42,0.74,0.28,0.32,0.34,0.66
py_class_naming,nat,16,4.0,0.22,0.128,0.352,0.26,0.4,0.78,0.16,0.18,0.18,0.58
py_private,alt,24,4.0,0.3,0.191,0.438,0.32,0.64,0.96,0.02,0.0,0.0,0.44
py_private,nat,24,2.0,0.22,0.128,0.352,0.22,0.78,0.98,0.08,0.06,0.12,0.4
py_bool_prefix,alt,24,4.0,0.08,0.032,0.188,0.08,0.9,0.82,0.04,0.1,0.12,0.3
py_bool_prefix,nat,24,4.0,0.3,0.191,0.438,0.32,0.62,0.88,0.02,0.02,0.0,0.64
py_loop_vars,alt,24,4.0,0.261,0.156,0.403,0.261,0.717,0.935,0.087,0.065,0.08695652173913043,0.5217391304347826
py_loop_vars,nat,20,2.0,0.5,0.361,0.639,0.5,0.435,0.87,0.304,0.391,0.391304347826087,0.43478260869565216
js_hungarian,alt,12,0.5,0.02,0.004,0.105,0.02,0.46,0.88,0.0,0.0,0.0,0.84
js_hungarian,nat,6,1.0,0.48,0.348,0.615,0.54,0.46,0.9,0.48,0.42,0.54,0.62
py_abbrev,alt,24,4.0,0.46,0.33,0.596,0.48,0.46,0.9,0.44,0.38,0.42,0.74
py_abbrev,nat,24,2.0,0.1,0.043,0.214,0.12,0.56,0.92,0.08,0.08,0.1,0.82
py_quotes,alt,24,2.0,0.531,0.394,0.663,0.531,0.306,0.939,0.265,0.163,0.30612244897959184,0.7346938775510204
