role,layer,W,stable_rank_raw,stable_rank_norm,first_sv_share_norm,pairwise_cos_mean,pairwise_cos_std,align_with_mean_axis_mean,mean_axis_resultant_len
label,0,100,17.0672,17.7101,0.0565,0.0056,0.0834,0.1241,0.1241
label,1,100,15.4161,14.5717,0.0686,0.0055,0.0765,0.1240,0.1240
label,2,100,14.3905,14.4305,0.0693,0.0066,0.0734,0.1282,0.1282
label,3,100,13.4143,13.3207,0.0751,0.0175,0.0820,0.1649,0.1649
label,4,100,10.6800,10.8915,0.0918,0.0400,0.0941,0.2224,0.2224
label,5,100,8.4653,8.9535,0.1117,0.0645,0.1037,0.2716,0.2716
label,6,100,7.5898,8.4165,0.1188,0.0714,0.1097,0.2839,0.2839
label,7,100,4.7189,5.0001,0.2000,0.1589,0.1270,0.4089,0.4089
label,8,100,4.2642,4.4523,0.2246,0.1834,0.1302,0.4375,0.4375
label,9,100,4.4700,4.6418,0.2154,0.1759,0.1234,0.4290,0.4290
label,10,100,4.7203,4.8823,0.2048,0.1659,0.1185,0.4173,0.4173
label,11,100,5.0976,5.2361,0.1910,0.1543,0.1105,0.4034,0.4034
label,12,100,4.9046,5.1169,0.1954,0.1569,0.1155,0.4065,0.4065
label,13,100,5.1114,5.3434,0.1871,0.1480,0.1142,0.3955,0.3955
label,14,100,5.3242,5.5897,0.1789,0.1402,0.1110,0.3856,0.3856
label,15,100,5.4509,5.7395,0.1742,0.1358,0.1089,0.3799,0.3799
label,16,100,5.7313,5.9670,0.1676,0.1291,0.1075,0.3712,0.3712
label,17,100,6.0571,6.2566,0.1598,0.1219,0.1056,0.3613,0.3613
label,18,100,6.4111,6.5960,0.1516,0.1146,0.1028,0.3512,0.3512
label,19,100,7.0279,7.1237,0.1404,0.1045,0.0990,0.3367,0.3367
label,20,100,7.6445,7.6779,0.1302,0.0958,0.0969,0.3236,0.3236
label,21,100,8.1329,8.1064,0.1234,0.0896,0.0945,0.3141,0.3141
label,22,100,8.4313,8.3834,0.1193,0.0860,0.0930,0.3082,0.3082
label,23,100,8.7618,8.7344,0.1145,0.0815,0.0902,0.3009,0.3009
label,24,100,9.1982,9.1718,0.1090,0.0767,0.0868,0.2930,0.2930
label,25,100,9.4641,9.5154,0.1051,0.0734,0.0829,0.2873,0.2873
label,26,100,9.4715,9.7544,0.1025,0.0700,0.0829,0.2813,0.2813
label,27,100,5.9252,7.1530,0.1398,0.0761,0.1247,0.2920,0.2920
final,0,100,11.5781,15.0323,0.0665,0.0018,0.1121,0.1081,0.1081
final,1,100,8.0441,9.9002,0.1010,0.0018,0.1426,0.1083,0.1083
final,2,100,6.5121,8.3772,0.1194,0.0027,0.1510,0.1123,0.1123
final,3,100,9.5935,11.5575,0.0865,0.0035,0.1187,0.1157,0.1157
final,4,100,13.0700,15.1241,0.0661,0.0057,0.1053,0.1247,0.1247
final,5,100,11.5804,13.0566,0.0766,0.0061,0.1144,0.1261,0.1261
final,6,100,10.6891,11.9295,0.0838,0.0106,0.1188,0.1427,0.1427
final,7,100,10.0544,11.6056,0.0862,0.0152,0.1218,0.1581,0.1581
final,8,100,6.6980,7.7495,0.1290,0.0807,0.1382,0.2997,0.2997
final,9,100,6.0377,7.0939,0.1410,0.0918,0.1356,0.3174,0.3174
final,10,100,5.8138,6.7812,0.1475,0.0964,0.1365,0.3245,0.3245
final,11,100,5.8300,6.7004,0.1492,0.1050,0.1280,0.3374,0.3374
final,12,100,4.8900,5.5881,0.1790,0.1313,0.1344,0.3740,0.3740
final,13,100,4.8951,5.5817,0.1792,0.1321,0.1287,0.3751,0.3751
final,14,100,4.6322,5.3091,0.1884,0.1375,0.1345,0.3821,0.3821
final,15,100,4.3787,5.0309,0.1988,0.1464,0.1406,0.3935,0.3935
final,16,100,4.9202,5.7275,0.1746,0.1286,0.1249,0.3704,0.3704
final,17,100,5.2423,6.0758,0.1646,0.1191,0.1225,0.3575,0.3575
final,18,100,5.3940,6.2340,0.1604,0.1138,0.1219,0.3501,0.3501
final,19,100,6.0326,6.9335,0.1442,0.0992,0.1159,0.3288,0.3288
final,20,100,6.1828,7.1545,0.1398,0.0933,0.1177,0.3197,0.3197
final,21,100,6.4692,7.5642,0.1322,0.0854,0.1154,0.3073,0.3073
final,22,100,6.6363,7.8196,0.1279,0.0795,0.1146,0.2976,0.2976
final,23,100,7.0202,8.2262,0.1216,0.0753,0.1079,0.2905,0.2905
final,24,100,7.2582,8.6174,0.1160,0.0702,0.1050,0.2818,0.2818
final,25,100,7.4230,8.9267,0.1120,0.0651,0.1036,0.2727,0.2727
final,26,100,7.2965,9.0761,0.1102,0.0583,0.1072,0.2600,0.2600
final,27,100,5.7660,7.1951,0.1390,0.0457,0.1456,0.2349,0.2349
