role,layer,W,stable_rank_raw,stable_rank_norm,first_sv_share_norm,pairwise_cos_mean,pairwise_cos_std,align_with_mean_axis_mean,mean_axis_resultant_len
label,0,100,4.6737,6.5683,0.1522,0.0125,0.2537,0.1495,0.1495
label,1,100,3.9871,6.2840,0.1591,0.0457,0.2356,0.2351,0.2351
label,2,100,4.8628,7.1894,0.1391,0.0410,0.2079,0.2248,0.2248
label,3,100,1.6400,1.6020,0.6242,0.5905,0.2140,0.7711,0.7711
label,4,100,1.5427,1.5465,0.6466,0.6169,0.2029,0.7879,0.7879
label,5,100,1.5158,1.5407,0.6491,0.6189,0.2039,0.7891,0.7891
label,6,100,1.7830,1.7280,0.5787,0.5448,0.2061,0.7412,0.7412
label,7,100,1.7191,1.6704,0.5986,0.5642,0.2087,0.7540,0.7540
label,8,100,1.5992,1.5741,0.6353,0.6058,0.1967,0.7809,0.7809
label,9,100,1.5947,1.5625,0.6400,0.6105,0.1966,0.7838,0.7838
label,10,100,1.6206,1.5859,0.6306,0.6011,0.1947,0.7779,0.7779
label,11,100,1.6846,1.6334,0.6122,0.5815,0.1967,0.7653,0.7653
label,12,100,1.6948,1.6432,0.6086,0.5791,0.1929,0.7637,0.7637
label,13,100,1.8246,1.7202,0.5813,0.5496,0.1966,0.7444,0.7444
label,14,100,1.8911,1.7619,0.5676,0.5355,0.1959,0.7350,0.7350
label,15,100,1.9519,1.7993,0.5558,0.5218,0.1997,0.7257,0.7257
label,16,100,2.0083,1.8307,0.5462,0.5112,0.2016,0.7184,0.7184
label,17,100,2.0861,1.8734,0.5338,0.4993,0.1987,0.7101,0.7101
label,18,100,2.1350,1.9109,0.5233,0.4890,0.1962,0.7029,0.7029
label,19,100,2.2028,1.9482,0.5133,0.4782,0.1969,0.6953,0.6953
label,20,100,2.2525,1.9827,0.5044,0.4695,0.1951,0.6890,0.6890
label,21,100,2.2486,1.9847,0.5038,0.4691,0.1943,0.6888,0.6888
label,22,100,2.2680,1.9975,0.5006,0.4663,0.1928,0.6867,0.6867
label,23,100,2.3165,2.0233,0.4942,0.4600,0.1917,0.6822,0.6822
label,24,100,2.3546,2.0498,0.4879,0.4536,0.1908,0.6776,0.6776
label,25,100,2.3701,2.0627,0.4848,0.4508,0.1896,0.6755,0.6755
label,26,100,2.4308,2.1023,0.4757,0.4412,0.1893,0.6684,0.6684
label,27,100,2.5402,2.1533,0.4644,0.4273,0.1985,0.6581,0.6581
final,0,100,5.7782,5.5196,0.1812,0.0004,0.2798,0.1018,0.1018
final,1,100,5.8297,5.3325,0.1875,-0.0000,0.2724,0.0999,0.0999
final,2,100,6.5475,6.1407,0.1628,0.0010,0.2535,0.1050,0.1050
final,3,100,5.8471,7.0758,0.1413,0.0002,0.2370,0.1011,0.1011
final,4,100,4.8638,7.6475,0.1308,0.0087,0.2126,0.1366,0.1366
final,5,100,5.3204,8.0808,0.1238,0.0326,0.2011,0.2057,0.2057
final,6,100,6.6771,4.0420,0.2474,0.1992,0.1962,0.4552,0.4552
final,7,100,4.9093,3.8991,0.2565,0.2121,0.1903,0.4691,0.4691
final,8,100,2.9381,2.4958,0.4007,0.3590,0.1953,0.6045,0.6045
final,9,100,3.1686,2.6163,0.3822,0.3435,0.1830,0.5917,0.5917
final,10,100,3.2287,2.7122,0.3687,0.3322,0.1758,0.5821,0.5821
final,11,100,2.4624,2.1120,0.4735,0.4363,0.1916,0.6648,0.6648
final,12,100,2.4448,2.0987,0.4765,0.4417,0.1879,0.6688,0.6688
final,13,100,2.2809,2.0856,0.4795,0.4498,0.1723,0.6748,0.6748
final,14,100,2.2024,2.0641,0.4845,0.4579,0.1623,0.6807,0.6807
final,15,100,2.2743,2.1239,0.4708,0.4423,0.1664,0.6692,0.6692
final,16,100,2.4621,2.2741,0.4397,0.4113,0.1605,0.6459,0.6459
final,17,100,2.6367,2.4047,0.4158,0.3869,0.1590,0.6269,0.6269
final,18,100,2.9055,2.5985,0.3848,0.3561,0.1540,0.6021,0.6021
final,19,100,3.2318,2.8321,0.3531,0.3240,0.1510,0.5752,0.5752
final,20,100,3.4436,2.9961,0.3338,0.3046,0.1488,0.5582,0.5582
final,21,100,3.6460,3.1418,0.3183,0.2899,0.1461,0.5450,0.5450
final,22,100,3.9222,3.3304,0.3003,0.2721,0.1446,0.5286,0.5286
final,23,100,4.0791,3.4217,0.2922,0.2639,0.1435,0.5209,0.5209
final,24,100,4.2976,3.5791,0.2794,0.2505,0.1436,0.5079,0.5079
final,25,100,4.4489,3.6790,0.2718,0.2429,0.1431,0.5005,0.5005
final,26,100,4.7530,3.8722,0.2583,0.2289,0.1442,0.4864,0.4864
final,27,100,3.2442,3.6158,0.2766,0.2179,0.2009,0.4752,0.4752
