layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.51985559566787,0.0014795124398260017,0.7718055764604034
1,1.0,0.51985559566787,0.0015599612479621733,0.8183608444403082
2,1.0,0.5469314079422383,0.001514251976121271,0.790853811027975
3,1.0,0.5243682310469314,0.0015101599199859764,0.8067964229096142
4,1.0,0.5361010830324909,0.0014778338688216438,0.7788045044326046
5,1.0,0.7012635379061372,0.0013998936900505355,0.5662474826103309
6,1.0,0.7689530685920578,0.0012775490712890662,0.4710142513462461
7,1.0,0.8366425992779783,0.0012115881479467104,0.3658832815981923
8,1.0,0.9449458483754513,0.0010425867460239298,0.1802715643374549
9,1.0,0.9729241877256317,0.0009706841988279802,0.13081119391568458
10,1.0,0.9783393501805054,0.0009241465897521034,0.10901081086561815
11,1.0,0.9882671480144405,0.0008723297476240004,0.07977456643137823
12,1.0,0.9909747292418772,0.0009071084485347429,0.0721065438336802
13,1.0,0.9918772563176895,0.0009056061330128094,0.0623214845436625
14,1.0,0.9918772563176895,0.0009246489744501289,0.06468097057654873
15,1.0,0.9918772563176895,0.0009502900678085111,0.07242698304444813
16,1.0,0.9891696750902527,0.0009839210921159442,0.07785738499442542
17,1.0,0.9909747292418772,0.0010095190078740174,0.0892255951720281
18,1.0,0.9891696750902527,0.001038398067508022,0.09389193758178445
19,1.0,0.990072202166065,0.0010633535424707994,0.10405249399399613
20,1.0,0.9855595667870036,0.0010804997903672345,0.10787152664290232
21,1.0,0.9828519855595668,0.0010873528434930807,0.11870088286185174
22,1.0,0.9792418772563177,0.0011093802729413554,0.12881611125516765
23,1.0,0.9783393501805054,0.0011285777682471599,0.13515465474262833
24,1.0,0.9792418772563177,0.001140415914741799,0.1385133986453781
25,1.0,0.9783393501805054,0.0011494930957300993,0.1418528940385278
26,1.0,0.9765342960288809,0.001164243397805262,0.15503403132726412
27,1.0,0.9675090252707581,0.001172153551645717,0.16433908874812195
28,1.0,0.9666064981949458,0.0011681192179284956,0.17107215257301076
