layer,carrier_cue,carrier_target,carrier_input,v1_cue,v1_target,v1_input,write_cue,write_target,write_input
0,0.65818,0.63101,0.62206,0.00588,0.12027,0.01362,0.07647,0.07588,0.08498
1,0.63609,0.60545,0.57986,0.00538,0.15598,0.01738,0.07236,0.06851,0.07740
2,0.60118,0.58059,0.53880,0.00484,0.19379,0.02107,0.06261,0.06046,0.06987
3,0.60824,0.62553,0.56947,0.01152,0.22990,0.03106,0.08004,0.07422,0.08003
4,0.64366,0.68842,0.62152,0.01014,0.25820,0.03555,0.11573,0.09393,0.08985
5,0.65420,0.68742,0.62172,0.01946,0.33250,0.05242,0.13024,0.10823,0.10048
6,0.64169,0.70995,0.63182,0.02547,0.35928,0.05767,0.18566,0.13828,0.11602
7,0.61431,0.67197,0.59973,0.02485,0.37480,0.05959,0.18847,0.13782,0.11663
8,0.57834,0.64452,0.57044,0.02593,0.34203,0.05881,0.23992,0.18456,0.12475
9,0.51481,0.59804,0.52617,0.02982,0.32407,0.05825,0.25634,0.21480,0.13452
10,0.49428,0.55683,0.48518,0.02970,0.31010,0.05695,0.24135,0.20282,0.12776
11,0.45784,0.50452,0.43417,0.03024,0.29296,0.05563,0.26399,0.21429,0.14467
12,0.39856,0.45297,0.38444,0.02866,0.28361,0.05553,0.27836,0.20461,0.13383
13,0.36713,0.42686,0.35687,0.02908,0.27267,0.05358,0.30673,0.22031,0.14389
14,0.33027,0.40903,0.33287,0.03216,0.26628,0.05237,0.28690,0.21038,0.13943
15,0.30805,0.39599,0.32326,0.03006,0.25407,0.05082,0.29924,0.21959,0.14746
16,0.28793,0.38348,0.31894,0.02908,0.24212,0.04850,0.29345,0.21656,0.14664
17,0.24743,0.35443,0.29638,0.02787,0.23728,0.04827,0.28308,0.21053,0.14403
18,0.23905,0.34977,0.29310,0.02659,0.22273,0.04622,0.28005,0.21644,0.14807
19,0.22470,0.32428,0.27265,0.02519,0.20989,0.04458,0.27275,0.21296,0.14529
20,0.20356,0.29596,0.26133,0.02499,0.19471,0.04325,0.26848,0.22754,0.15459
21,0.18545,0.27416,0.24502,0.02364,0.18243,0.04054,0.25668,0.21752,0.15083
22,0.17596,0.26154,0.23727,0.02177,0.17325,0.03833,0.25231,0.21203,0.14931
23,0.18212,0.26124,0.23576,0.02099,0.16381,0.03618,0.24986,0.21151,0.15065
24,0.15917,0.22794,0.20026,0.01994,0.15144,0.03322,0.24368,0.20713,0.14777
25,0.14828,0.20316,0.17043,0.01800,0.13106,0.02871,0.23741,0.20029,0.14431
26,0.10416,0.16808,0.13205,0.01341,0.10583,0.02272,0.21880,0.19193,0.14146
27,0.12900,0.19039,0.15006,0.01084,0.09653,0.01959,0.20783,0.19751,0.15008
