layer,write_cue,write_label,write_input,read_cue,read_label,read_input
0,0.07647,0.07588,0.08498,0.01024,0.08544,0.02439
1,0.07236,0.06851,0.07740,0.01933,0.11684,0.03571
2,0.06261,0.06046,0.06987,0.03295,0.14385,0.04690
3,0.08004,0.07422,0.08003,0.04434,0.17085,0.05454
4,0.11573,0.09393,0.08985,0.06003,0.19763,0.06502
5,0.13024,0.10823,0.10048,0.07947,0.23774,0.07395
6,0.18566,0.13828,0.11602,0.09131,0.26625,0.08125
7,0.18847,0.13782,0.11663,0.08722,0.28917,0.07799
8,0.23992,0.18456,0.12475,0.09157,0.28229,0.07920
9,0.25634,0.21480,0.13452,0.10196,0.28425,0.08003
10,0.24135,0.20282,0.12776,0.09552,0.28215,0.07874
11,0.26399,0.21429,0.14467,0.09984,0.28641,0.08532
12,0.27836,0.20461,0.13383,0.09395,0.28362,0.08190
13,0.30673,0.22031,0.14389,0.10476,0.28469,0.08634
14,0.28690,0.21038,0.13943,0.10417,0.27774,0.08403
15,0.29924,0.21959,0.14746,0.10215,0.27330,0.08539
16,0.29345,0.21656,0.14664,0.10209,0.26372,0.08249
17,0.28308,0.21053,0.14403,0.10655,0.26932,0.08377
18,0.28005,0.21644,0.14807,0.10117,0.25548,0.07915
19,0.27275,0.21296,0.14529,0.09770,0.24783,0.07804
20,0.26848,0.22754,0.15459,0.09593,0.23462,0.07401
21,0.25668,0.21752,0.15083,0.08974,0.22153,0.06971
22,0.25231,0.21203,0.14931,0.08642,0.21221,0.06702
23,0.24986,0.21151,0.15065,0.08472,0.20638,0.06735
24,0.24368,0.20713,0.14777,0.08371,0.19756,0.06722
25,0.23741,0.20029,0.14431,0.07671,0.17291,0.05996
26,0.21880,0.19193,0.14146,0.06191,0.13695,0.04689
27,0.20783,0.19751,0.15008,0.04132,0.11844,0.03778
