layer,write_cue,write_label,write_input,read_cue,read_label,read_input
0,0.07647,0.07588,0.08498,0.55923,0.59220,0.53031
1,0.07236,0.06851,0.07740,0.53936,0.58710,0.49514
2,0.06261,0.06046,0.06987,0.51124,0.58452,0.46329
3,0.08004,0.07422,0.08003,0.52277,0.64213,0.49447
4,0.11573,0.09393,0.08985,0.55311,0.70953,0.54156
5,0.13024,0.10823,0.10048,0.56556,0.74241,0.54862
6,0.18566,0.13828,0.11602,0.56865,0.80486,0.56859
7,0.18847,0.13782,0.11663,0.52949,0.74633,0.53234
8,0.23992,0.18456,0.12475,0.50004,0.70933,0.50702
9,0.25634,0.21480,0.13452,0.44528,0.65836,0.46669
10,0.24135,0.20282,0.12776,0.42553,0.61353,0.42985
11,0.26399,0.21429,0.14467,0.39456,0.56067,0.38611
12,0.27836,0.20461,0.13383,0.34271,0.51202,0.34355
13,0.30673,0.22031,0.14389,0.31675,0.48570,0.31990
14,0.28690,0.21038,0.13943,0.28716,0.46782,0.29890
15,0.29924,0.21959,0.14746,0.26746,0.45100,0.29066
16,0.29345,0.21656,0.14664,0.25007,0.43451,0.28573
17,0.28308,0.21053,0.14403,0.21630,0.40894,0.26757
18,0.28005,0.21644,0.14807,0.20867,0.39781,0.26401
19,0.27275,0.21296,0.14529,0.19590,0.37077,0.24655
20,0.26848,0.22754,0.15459,0.17824,0.34005,0.23635
21,0.25668,0.21752,0.15083,0.16209,0.31583,0.22157
22,0.25231,0.21203,0.14931,0.15301,0.30072,0.21396
23,0.24986,0.21151,0.15065,0.15758,0.29554,0.21133
24,0.24368,0.20713,0.14777,0.13758,0.26147,0.17992
25,0.23741,0.20029,0.14431,0.12716,0.23015,0.15241
26,0.21880,0.19193,0.14146,0.08786,0.18791,0.11671
27,0.20783,0.19751,0.15008,0.10739,0.20208,0.13041
