family,context,base,own_zero,own_mean,cf_zero,cf_mean
bash_test,alt,0.75,0.7,0.7,0.75,0.9
bash_test,nat,0.9,0.5,0.45,0.825,0.825
blank_lines,alt,0.875,0.75,0.9,0.825,0.95
blank_lines,nat,0.925,0.15,0.15,0.975,0.8
comment_case,alt,0.725,0.05,0.35,0.65,0.675
comment_case,nat,0.825,0.775,0.475,0.75,0.75
docstring_quotes,alt,0.875,0.3,0.175,0.875,0.85
docstring_quotes,nat,0.75,0.75,0.8,0.85,0.95
docstring_style,alt,0.8,0.55,0.5,0.85,0.925
docstring_style,nat,0.825,0.75,0.75,0.9,0.925
js_arrow,alt,0.65,0.075,0.175,0.775,0.725
js_arrow,nat,0.8,0.725,0.65,0.875,0.825
js_func_pascal,alt,0.675,0.45,0.325,0.625,0.7
js_func_pascal,nat,0.8,0.625,0.825,0.825,0.775
js_quotes,alt,0.925,0.625,0.75,0.9,0.925
js_quotes,nat,0.925,0.6,0.475,0.875,0.875
js_semicolons,alt,0.825,0.45,0.7,0.9,0.975
js_semicolons,nat,0.925,0.825,0.375,0.9,0.95
num_separators,alt,0.9,0.15,0.175,0.85,0.825
num_separators,nat,0.925,0.975,0.95,0.875,0.875
py2_except,alt,0.975,0.725,0.45,0.95,0.925
py2_except,nat,0.975,0.525,0.8,0.925,0.975
py_builtin_generics,alt,0.775,0.6,0.725,0.875,0.825
py_builtin_generics,nat,0.825,0.525,0.45,0.8,0.85
py_class_naming,alt,0.725,0.025,0.4,0.6,0.775
py_class_naming,nat,0.9,0.825,0.225,0.95,0.9
py_const_naming,alt,0.925,0.575,0.85,0.675,0.8
py_const_naming,nat,0.95,0.525,0.175,0.875,0.725
py_indent,alt,0.9,0.675,0.45,0.825,0.825
py_indent,nat,0.825,0.775,0.725,0.9,0.875
py_literal_ctor,alt,0.875,0.15,0.225,0.825,0.825
py_literal_ctor,nat,0.85,0.85,0.625,0.875,0.875
py_optional,alt,0.775,0.65,0.425,0.775,0.85
py_optional,nat,0.825,0.75,0.85,0.775,0.85
py_paren_if,alt,0.55,0.425,0.25,0.725,0.7
py_paren_if,nat,0.7,0.6,0.5,0.675,0.7
py_quotes,alt,0.85,0.6,0.525,0.875,0.925
py_quotes,nat,0.925,0.625,0.675,0.85,0.8
py_self_name,alt,0.925,0.3,0.15,0.8,0.95
py_self_name,nat,0.975,0.8,1.0,0.95,1.0
py_snake_camel,alt,0.725,0.425,0.375,0.825,0.75
py_snake_camel,nat,0.875,0.725,0.525,0.8,0.9
py_tabs,alt,0.8,0.6,0.25,0.85,0.9
py_tabs,nat,0.9,0.725,0.85,0.775,0.925
sql_bool_case,alt,0.85,0.3,0.175,0.875,0.85
sql_bool_case,nat,0.9,0.775,0.925,0.875,0.95
sql_join_style,alt,0.45,0.575,0.35,0.575,0.55
sql_join_style,nat,0.825,0.15,0.675,0.825,0.875
trailing_commas,alt,0.85,0.7,0.65,0.9,0.925
trailing_commas,nat,0.875,0.55,0.475,0.9,0.9
