family,target,layer,alpha,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,base_accuracy,cf_accuracy,step3_k0,step3_k4
py_snake_camel,alt,24,4.0,0.795,0.734,0.845,0.955,0.015,0.82,0.0,,0.0,0.92
py_snake_camel,nat,2,0.5,0.9,0.851,0.934,0.995,0.0,0.9,0.905,,0.905,0.965
js_camel_snake,alt,24,2.0,0.63,0.561,0.694,0.75,0.08,0.825,0.0,,0.0,0.9
js_camel_snake,nat,2,0.5,0.835,0.777,0.88,0.97,0.025,0.855,0.86,,0.845,0.885
py_const_naming,alt,24,4.0,0.01,0.003,0.036,0.02,0.975,0.43,0.0,,0.0,0.6
py_const_naming,nat,12,0.5,0.03,0.014,0.064,0.035,0.96,0.715,0.02,,0.015,0.655
py_class_naming,alt,20,2.0,0.435,0.368,0.504,0.53,0.31,0.78,0.39,,0.4,0.63
py_class_naming,nat,6,4.0,0.165,0.12,0.223,0.18,0.335,0.81,0.115,,0.155,0.46
py_private,alt,24,4.0,0.395,0.33,0.464,0.41,0.56,0.96,0.025,,0.015,0.385
py_private,nat,24,4.0,0.28,0.222,0.346,0.28,0.71,0.945,0.05,,0.075,0.455
py_bool_prefix,alt,24,1.0,0.07,0.042,0.114,0.075,0.9,0.895,0.07,,0.09,0.315
py_bool_prefix,nat,24,4.0,0.365,0.301,0.434,0.465,0.505,0.815,0.005,,0.01,0.575
py_loop_vars,alt,24,4.0,0.213,0.16,0.277,0.255,0.665,0.862,0.08,,0.059,0.473
py_loop_vars,nat,24,4.0,0.686,0.617,0.748,0.761,0.202,0.856,0.34,,0.314,0.495
js_hungarian,alt,12,0.5,0.01,0.003,0.036,0.01,0.39,0.91,0.005,,0.005,0.855
js_hungarian,nat,20,1.0,0.575,0.506,0.641,0.63,0.37,0.905,0.54,,0.54,0.66
py_abbrev,alt,6,0.5,0.41,0.344,0.479,0.44,0.45,0.91,0.385,,0.37,0.755
py_abbrev,nat,20,4.0,0.135,0.094,0.189,0.14,0.49,0.9,0.13,,0.12,0.725
py_quotes,alt,24,2.0,0.484,0.415,0.555,0.51,0.318,0.927,0.333,,0.333,0.719
py_quotes,nat,24,1.0,0.406,0.339,0.477,0.453,0.375,0.932,0.281,,0.266,0.812
js_quotes,alt,24,1.0,0.656,0.586,0.72,0.688,0.238,0.91,0.534,,0.492,0.799
js_quotes,nat,24,2.0,0.698,0.63,0.759,0.725,0.217,0.926,0.201,,0.159,0.778
py_fstring,alt,24,4.0,0.33,0.269,0.398,0.355,0.6,0.885,0.125,,0.155,0.84
py_fstring,nat,24,4.0,0.855,0.8,0.897,0.92,0.08,0.925,0.18,,0.195,0.705
js_template,alt,24,4.0,0.343,0.281,0.412,0.374,0.601,0.899,0.136,,0.126,0.813
js_template,nat,24,1.0,0.247,0.193,0.312,0.293,0.596,0.899,0.242,,0.207,0.894
num_separators,alt,24,4.0,0.641,0.556,0.718,0.771,0.214,0.832,0.0,,0.0,0.496
num_separators,nat,24,4.0,0.473,0.39,0.558,0.58,0.42,0.817,0.313,,0.305,0.832
hex_constants,alt,24,4.0,0.26,0.201,0.329,0.322,0.621,0.797,0.006,,0.0,0.684
hex_constants,nat,16,0.5,0.373,0.305,0.446,0.384,0.616,0.938,0.373,,0.345,0.514
float_literals,alt,24,4.0,0.34,0.271,0.415,0.395,0.537,0.685,0.025,,0.019,0.519
float_literals,nat,24,4.0,0.654,0.578,0.723,0.679,0.309,0.944,0.475,,0.512,0.531
sql_bool_case,alt,24,2.0,0.865,0.796,0.913,0.865,0.128,0.977,0.609,,0.549,0.917
