icl_example_index,token_role,layer,k_act,k_fv,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,pca_train_mse,pca_test_mse,fv_recon_floor_test_mse,train_mean_squared_l2,test_mean_squared_l2
5,pre_label_token,0,16,16,16,16,0.01,79.02757263183594,True,3400,1190,0.2853406255385455,0.26293344417539966,71.32238037109374,30.62033219537815,0.1433226764202118,1168.7551999080883,1076.9753676470589
5,pre_label_token,1,16,16,16,16,1000.0,61.56325149536133,False,3400,1190,0.08840246018241434,0.22373598243008141,20.90623312557445,20.58579306722689,0.1433226764202118,362.09648609834557,916.4225774684874
5,pre_label_token,2,16,16,16,16,1000.0,61.40301513671875,False,3400,1190,0.09623156814014211,0.22407925549675436,22.91048479865579,20.673669331013656,0.1433226764202118,394.1644979319853,917.828643644958
5,pre_label_token,3,16,16,16,16,316.22776601683796,59.3167839050293,False,3400,1190,0.07873379216474645,0.22624277868190734,18.43106596105239,21.22753413865546,0.1433226764202118,322.49360638786766,926.6904083508404
5,pre_label_token,4,16,16,16,16,316.22776601683796,52.8834228515625,False,3400,1190,0.0543326382076039,0.21259273721390412,12.184376902860754,17.733133370535715,0.1433226764202118,222.54648351332722,870.7798713235294
5,pre_label_token,5,16,16,16,16,316.22776601683796,52.38670349121094,False,3400,1190,0.045281246479819806,0.1998361803904301,9.867223259420955,14.467458208869486,0.1433226764202118,185.47198673023897,818.5290112920168
5,pre_label_token,6,16,16,16,16,316.22776601683796,51.05336380004883,False,3400,1190,0.041433119843987856,0.19360337217314905,8.882103881835938,12.871857869124213,0.1433226764202118,169.7100560087316,792.9993763130252
5,pre_label_token,7,16,16,16,16,316.22776601683796,50.99074172973633,False,3400,1190,0.037097420131458954,0.18882313896627986,7.772165958180147,11.648120732668067,0.1433226764202118,151.95103099149816,773.4195772058823
5,pre_label_token,8,16,16,16,16,100.0,50.16836166381836,False,3400,1190,0.034316450480152576,0.18702752409862872,7.060244750976563,11.188445737181592,0.1433226764202118,140.56018289005056,766.0647387079832
5,pre_label_token,9,16,16,16,16,316.22776601683796,50.26780319213867,False,3400,1190,0.03148156004793504,0.17005025559112805,6.334506144804113,6.842260331867122,0.1433226764202118,128.94846823299633,696.5258469012605
5,pre_label_token,10,16,16,16,16,316.22776601683796,49.84476852416992,False,3400,1190,0.030098176773856667,0.16597382361147583,5.980360753676471,5.798693873301274,0.1433226764202118,123.28213177849264,679.8287683823529
5,pre_label_token,11,16,16,16,16,316.22776601683796,48.791568756103516,False,3400,1190,0.030114280721720527,0.16527609464501133,5.9844839477539065,5.620077950613839,0.1433226764202118,123.34809584673714,676.9708902310924
5,pre_label_token,12,16,16,16,16,316.22776601683796,49.45532989501953,False,3400,1190,0.029352444585631875,0.16413560033846303,5.789453825109145,5.328109920726103,0.1433226764202118,120.2276123046875,672.2994058560924
5,pre_label_token,13,16,16,16,16,316.22776601683796,52.29737854003906,False,3400,1190,0.02814847816439236,0.16224718574716263,5.481238582835478,4.844673836331408,0.1433226764202118,115.29616541245404,664.5644925157563
5,pre_label_token,14,16,16,16,16,316.22776601683796,50.29042053222656,False,3400,1190,0.029972462443744435,0.16454420810987969,5.948178773767808,5.432709253134847,0.1433226764202118,122.76720832375919,673.9730797006303
5,pre_label_token,15,16,16,16,16,316.22776601683796,51.61343002319336,False,3400,1190,0.02958692010711221,0.1655354603999803,5.849479338702033,5.686469890690652,0.1433226764202118,121.18801872702205,678.0332523634454
5,pre_label_token,16,16,16,16,16,316.22776601683796,52.920162200927734,False,3400,1190,0.02841086373609655,0.16492763968075022,5.548409163531135,5.530867222377232,0.1433226764202118,116.37089657054229,675.5435727415967
5,pre_label_token,17,16,16,16,16,100.0,51.83509063720703,False,3400,1190,0.028869227802052217,0.16809473758986015,5.665756252513212,6.341646646451549,0.1433226764202118,118.24835722081801,688.5160189075631
5,pre_label_token,18,16,16,16,16,100.0,52.90364074707031,False,3400,1190,0.02848029145423104,0.16893002165465795,5.566188278198243,6.555480931386226,0.1433226764202118,116.65526747759651,691.9373358718487
5,pre_label_token,19,16,16,16,16,316.22776601683796,55.01130294799805,False,3400,1190,0.030211941038860993,0.17064093742050043,6.009484410005458,6.993473444065126,0.1433226764202118,123.74810891544118,698.9452731092437
5,pre_label_token,20,16,16,16,16,316.22776601683796,58.79347610473633,False,3400,1190,0.03319964706897736,0.176121152348879,6.774337481330423,8.396407850249474,0.1433226764202118,135.98575525620404,721.3922400210084
5,pre_label_token,21,16,16,16,16,316.22776601683796,62.58879470825195,False,3400,1190,0.0345804741452722,0.17909601836645303,7.127828835880055,9.157973345588236,0.1433226764202118,141.64162224264706,733.5773207720588
5,pre_label_token,22,16,16,16,16,316.22776601683796,63.94371032714844,False,3400,1190,0.03337216899675481,0.17765734536307198,6.818502475514132,8.78967482622932,0.1433226764202118,136.69240349264706,727.6844734768907
5,pre_label_token,23,16,16,16,16,316.22776601683796,67.17457580566406,False,3400,1190,0.034838887312833,0.18052684719822987,7.193982561896829,9.524266757484243,0.1433226764202118,142.7000830078125,739.4379595588235
5,pre_label_token,24,16,16,16,16,316.22776601683796,67.3470458984375,False,3400,1190,0.03367164667914895,0.17826477259147067,6.895168618594899,8.945175196543461,0.1433226764202118,137.9190647977941,730.1725118172269
5,pre_label_token,25,16,16,16,16,1000.0,69.44937896728516,False,3400,1190,0.04318271896418403,0.18170563192928538,9.329989498362822,9.826029852859113,0.1433226764202118,176.87641486672794,744.2662979254202
5,pre_label_token,26,16,16,16,16,1000.0,70.14804077148438,False,3400,1190,0.04322485958828646,0.1826286508255646,9.340777659696691,10.06232233127626,0.1433226764202118,177.0490242991728,748.0469669117647
5,pre_label_token,27,16,16,16,16,1000.0,69.94815826416016,False,3400,1190,0.04419525412952199,0.1847455393366453,9.589198877671185,10.604244456571692,0.1433226764202118,181.02375947840073,756.7177553834034
