position,icl_index,token_role,layer,n_rows,stable_rank,rank90,participation_ratio
icl01/pre,1,pre_label_token,6,4930,5.109304419958539,362,18.053532245302428
icl01/pre,1,pre_label_token,7,4930,5.0774026226011335,375,18.180256017166077
icl01/pre,1,pre_label_token,8,4930,4.979521729992979,382,17.777940350048713
icl01/pre,1,pre_label_token,9,4930,5.104733001322749,388,18.623562123571283
icl01/pre,1,pre_label_token,10,4930,5.559493563817784,438,21.225603762420246
icl01/pre,1,pre_label_token,11,4930,5.983564531957637,460,23.262751144520607
icl01/pre,1,pre_label_token,12,4930,5.828115696453917,469,22.777600039221262
icl01/pre,1,pre_label_token,13,4930,6.2415915421943495,488,25.179507838974754
icl01/pre,1,pre_label_token,14,4930,6.39005039450106,484,26.875737400056853
icl01/pre,1,pre_label_token,15,4930,6.511664375395576,514,27.4402577792251
icl01/pre,1,pre_label_token,16,4930,6.488795526822771,511,27.098089133916293
icl01/pre,1,pre_label_token,17,4930,7.0283032636225595,520,30.333592497138785
icl01/pre,1,pre_label_token,18,4930,7.051205698633486,515,30.272934920193592
icl01/pre,1,pre_label_token,19,4930,7.429973568292523,543,33.10241045204939
icl01/pre,1,pre_label_token,20,4930,8.641258562014498,571,41.86513549651689
icl01/label,1,last_label_token,6,4930,15.090555756126793,727,87.41026406908946
icl01/label,1,last_label_token,7,4930,15.940189275720524,745,85.74383155729402
icl01/label,1,last_label_token,8,4930,16.03961130710508,747,82.74782855660322
icl01/label,1,last_label_token,9,4930,14.693771287881852,727,74.60553864286493
icl01/label,1,last_label_token,10,4930,14.544710893880756,715,72.56462944342182
icl01/label,1,last_label_token,11,4930,15.060982548585422,710,74.11473479602806
icl01/label,1,last_label_token,12,4930,14.453252985334734,686,72.9043806994629
icl01/label,1,last_label_token,13,4930,15.613084974425071,678,74.25633789833931
icl01/label,1,last_label_token,14,4930,15.799986285092839,667,74.95777285625097
icl01/label,1,last_label_token,15,4930,15.682933001591378,663,75.39313264182088
icl01/label,1,last_label_token,16,4930,15.82613100014668,660,76.18170559477029
icl01/label,1,last_label_token,17,4930,15.322071735615577,657,73.71488112154736
icl01/label,1,last_label_token,18,4930,15.524175248005053,651,74.27149635693212
icl01/label,1,last_label_token,19,4930,16.194740847690447,661,77.42455796623958
icl01/label,1,last_label_token,20,4930,17.68654372953905,679,80.67329480898663
icl02/pre,2,pre_label_token,6,4930,5.329114624770209,387,19.223155050838923
icl02/pre,2,pre_label_token,7,4930,5.277735746856963,396,19.081959663883122
icl02/pre,2,pre_label_token,8,4930,5.537762768558067,436,20.665144446999765
icl02/pre,2,pre_label_token,9,4930,6.039186804332985,471,23.306756089017203
icl02/pre,2,pre_label_token,10,4930,6.6653903044558644,505,25.919902256861146
icl02/pre,2,pre_label_token,11,4930,6.579981354745824,523,25.800354604277203
icl02/pre,2,pre_label_token,12,4930,6.926555590279871,572,27.398635339005065
icl02/pre,2,pre_label_token,13,4930,7.334725234962964,566,29.22704676943296
icl02/pre,2,pre_label_token,14,4930,7.825776011664248,562,31.96293203157399
icl02/pre,2,pre_label_token,15,4930,7.740859258050209,612,32.020445288130304
icl02/pre,2,pre_label_token,16,4930,7.863511518844845,625,32.47056575364764
icl02/pre,2,pre_label_token,17,4930,8.945813233649003,639,39.96102005316907
icl02/pre,2,pre_label_token,18,4930,9.151587495503147,671,41.14019097780836
icl02/pre,2,pre_label_token,19,4930,9.674213168198852,691,44.82480193089541
icl02/pre,2,pre_label_token,20,4930,11.986005378914477,685,55.590479433020896
icl02/label,2,last_label_token,6,4930,14.973411385795984,763,90.1416373318994
icl02/label,2,last_label_token,7,4930,14.60802830837328,794,82.81173503321763
icl02/label,2,last_label_token,8,4930,14.763245647714175,796,78.82111087674824
icl02/label,2,last_label_token,9,4930,13.322159410303888,778,68.57759423187385
icl02/label,2,last_label_token,10,4930,13.358303031668015,772,66.38312677028885
icl02/label,2,last_label_token,11,4930,13.70341083644026,767,67.09938747214602
icl02/label,2,last_label_token,12,4930,14.20567962168749,762,70.06021093859998
icl02/label,2,last_label_token,13,4930,14.661486611846964,754,70.82680869583062
icl02/label,2,last_label_token,14,4930,14.740466397738517,750,71.67373558160327
icl02/label,2,last_label_token,15,4930,14.276213710200446,741,69.6811106254573
icl02/label,2,last_label_token,16,4930,14.316887636447532,739,70.00640895393823
icl02/label,2,last_label_token,17,4930,13.896432448985184,742,68.82514666497305
icl02/label,2,last_label_token,18,4930,14.20941299085656,738,69.93408538531867
icl02/label,2,last_label_token,19,4930,14.713238754714537,754,72.88126366871921
icl02/label,2,last_label_token,20,4930,15.586163122360434,776,76.57344261904078
icl09/pre,9,pre_label_token,6,4930,5.435101880808046,333,17.309269756034038
icl09/pre,9,pre_label_token,7,4930,5.670401954701465,326,17.331704227670933
icl09/pre,9,pre_label_token,8,4930,5.811607973864716,337,17.77428132834616
icl09/pre,9,pre_label_token,9,4930,5.669902959768445,297,16.93751068390631
icl09/pre,9,pre_label_token,10,4930,5.713615279379742,283,17.02303964669551
icl09/pre,9,pre_label_token,11,4930,5.7117233123235005,294,16.751812923309018
icl09/pre,9,pre_label_token,12,4930,6.48405611093458,342,19.880072708002114
icl09/pre,9,pre_label_token,13,4930,6.7998009808904705,354,21.645773990939517
icl09/pre,9,pre_label_token,14,4930,7.5171047360370284,364,25.8547021351302
icl09/pre,9,pre_label_token,15,4930,7.634358262593701,402,26.84239251740562
icl09/pre,9,pre_label_token,16,4930,7.663679341606841,401,26.30269168186755
icl09/pre,9,pre_label_token,17,4930,8.687509261924724,416,34.55435457741832
icl09/pre,9,pre_label_token,18,4930,8.239090976297309,474,33.95604806037728
icl09/pre,9,pre_label_token,19,4930,8.669135536383566,509,37.01190436575213
icl09/pre,9,pre_label_token,20,4930,11.020999980205335,536,46.56120852566938
icl09/label,9,last_label_token,6,4930,14.990133971241603,729,81.22464100933092
icl09/label,9,last_label_token,7,4930,14.687218027102736,741,67.37083864326114
icl09/label,9,last_label_token,8,4930,13.393496521379989,727,61.81538057798629
icl09/label,9,last_label_token,9,4930,13.279001684447916,715,56.49505648508419
icl09/label,9,last_label_token,10,4930,12.475033751335644,705,54.67933820165978
icl09/label,9,last_label_token,11,4930,13.23101138125872,700,56.13338907620726
icl09/label,9,last_label_token,12,4930,12.94620356239097,702,59.67535470204771
icl09/label,9,last_label_token,13,4930,13.01501500193516,693,61.58648738377249
icl09/label,9,last_label_token,14,4930,12.633973569818174,688,61.691133679258215
icl09/label,9,last_label_token,15,4930,12.511585715965714,681,62.05204394706123
icl09/label,9,last_label_token,16,4930,12.542292286990318,682,61.24761153462403
icl09/label,9,last_label_token,17,4930,12.328826355315885,695,61.730445953526726
icl09/label,9,last_label_token,18,4930,12.243125095903766,696,61.669260916061745
icl09/label,9,last_label_token,19,4930,12.624208580279257,712,63.96180966004624
icl09/label,9,last_label_token,20,4930,13.306181678795388,729,67.47796779660746
icl10/pre,10,pre_label_token,6,4930,5.403737150140793,326,17.07887377306165
icl10/pre,10,pre_label_token,7,4930,5.653267021889578,319,17.111512117161887
icl10/pre,10,pre_label_token,8,4930,5.770130591352188,328,17.47894033439197
icl10/pre,10,pre_label_token,9,4930,5.594613378767477,285,16.51044470726922
icl10/pre,10,pre_label_token,10,4930,5.638903842273803,273,16.598844038224488
icl10/pre,10,pre_label_token,11,4930,5.682019232149666,285,16.463650059595437
icl10/pre,10,pre_label_token,12,4930,6.468673318044809,333,19.6653092985662
icl10/pre,10,pre_label_token,13,4930,6.7810217976080045,346,21.466422135203985
icl10/pre,10,pre_label_token,14,4930,7.505798968304681,358,25.793619349849063
icl10/pre,10,pre_label_token,15,4930,7.619894887354421,398,26.846110102322992
icl10/pre,10,pre_label_token,16,4930,7.63389731222546,398,26.232697938305222
icl10/pre,10,pre_label_token,17,4930,8.636684625292055,414,34.41292158828708
icl10/pre,10,pre_label_token,18,4930,8.17310418957782,473,33.75044832725403
icl10/pre,10,pre_label_token,19,4930,8.603553411075614,508,36.834559383709376
icl10/pre,10,pre_label_token,20,4930,10.898417231683371,534,46.28294058126039
icl10/label,10,last_label_token,6,4930,14.920480345662408,730,80.81081491102819
icl10/label,10,last_label_token,7,4930,14.546481033555605,742,66.92095345982376
icl10/label,10,last_label_token,8,4930,13.20816557894116,728,61.12906123075935
icl10/label,10,last_label_token,9,4930,13.18941546230676,716,55.77283350527375
icl10/label,10,last_label_token,10,4930,12.363200527827292,705,54.102799638987136
icl10/label,10,last_label_token,11,4930,13.16574032496568,700,55.58770665955934
icl10/label,10,last_label_token,12,4930,12.913616441272621,702,59.62313727552462
icl10/label,10,last_label_token,13,4930,13.016506338381278,692,61.78336987843669
icl10/label,10,last_label_token,14,4930,12.637866928121454,688,62.024487627491624
icl10/label,10,last_label_token,15,4930,12.567714803959737,682,62.74098624286496
icl10/label,10,last_label_token,16,4930,12.620118723025602,684,62.13282710700965
icl10/label,10,last_label_token,17,4930,12.423825658019283,698,62.85612606699758
