analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
dot_perhead__natural_r_task,55,22,30,,
dot_perhead__natural_pooled_perprompt,8250,120,277,2.94,5.36
dot_perhead__natural_within_task_median,150,74,100,,
dot_perhead__natural_task_mean_of_r,55,22,30,,
