task,group,icl_index,split,row_index,pc1,pc2,pc3
ag_news,train,1,train,0,-8.39411,1.06732,9.36567
ag_news,train,1,train,1,-7.58887,-1.43249,5.46589
ag_news,train,1,train,2,-7.3475,-0.989818,5.701
ag_news,train,1,train,3,-5.91111,-3.147,4.58652
ag_news,train,1,train,4,-7.85855,-1.35805,5.87158
ag_news,train,1,train,5,-6.56781,-0.521749,6.62284
ag_news,train,1,train,6,-8.00132,-3.04406,4.51348
ag_news,train,1,train,7,-7.06414,-2.14926,4.52347
ag_news,train,1,train,8,-8.62448,-1.43633,6.04319
ag_news,train,1,train,9,-8.09564,-2.71785,5.71499
ag_news,train,1,train,10,-7.56921,0.00708269,3.83312
ag_news,train,1,train,11,-6.45994,-0.978126,6.98659
ag_news,train,1,train,12,-6.46249,-0.978394,6.98805
ag_news,train,1,train,13,-7.87682,-1.89018,6.09448
ag_news,train,1,train,14,-7.23041,-3.21032,5.36612
ag_news,train,1,train,15,-5.40321,-2.1274,3.864
ag_news,train,1,train,16,-7.55703,0.447992,5.49273
ag_news,train,1,train,17,-6.14656,-1.52217,6.00221
ag_news,train,1,train,18,-7.64804,-0.468635,8.98355
ag_news,train,1,train,19,-8.12135,-1.44931,7.0977
ag_news,train,1,train,20,-7.02499,-1.86521,5.09977
ag_news,train,1,train,21,-5.72259,-2.54548,4.24376
ag_news,train,1,train,22,-7.90731,-0.598759,6.08151
ag_news,train,1,train,23,-7.78241,-2.84573,3.75074
ag_news,train,1,train,24,-8.67026,-1.78428,9.18876
ag_news,train,1,train,25,-8.88546,-0.152137,6.39302
ag_news,train,1,train,26,-7.28826,-0.51623,6.13704
ag_news,train,1,train,27,-7.23228,-2.49091,3.64262
ag_news,train,1,train,28,-7.71016,-1.67767,6.81125
ag_news,train,1,train,29,-8.62531,-1.8277,3.68188
ag_news,train,1,train,30,-8.84661,-1.54293,5.48833
ag_news,train,1,train,31,-8.0282,-2.36888,6.22824
ag_news,train,1,train,32,-6.72838,-0.8747,7.20932
ag_news,train,1,train,33,-8.7617,-2.27267,6.5569
ag_news,train,1,train,34,-7.7491,-1.15194,4.99343
ag_news,train,1,train,35,-5.99491,-0.128556,5.01422
ag_news,train,1,train,36,-8.89622,-2.16035,6.4596
ag_news,train,1,train,37,-8.09411,-1.31935,6.19959
ag_news,train,1,train,38,-7.96739,-2.45653,5.32262
ag_news,train,1,train,39,-6.95153,-0.522392,6.75996
ag_news,train,1,train,40,-9.61405,-1.37442,4.81306
ag_news,train,1,train,41,-7.36,-1.36541,5.24312
ag_news,train,1,train,42,-6.94797,-1.45691,6.67223
ag_news,train,1,train,43,-7.7252,-1.90481,6.9118
ag_news,train,1,train,44,-6.41163,-1.52737,5.53327
ag_news,train,1,train,45,-6.93633,-2.14165,5.19338
ag_news,train,1,train,46,-9.53565,-1.39097,5.60565
ag_news,train,1,train,47,-8.87922,-2.22699,5.65039
ag_news,train,1,train,48,-8.17961,-0.634325,8.14219
ag_news,train,1,train,49,-8.8471,-1.83557,5.39442
ag_news,train,1,train,50,-8.23029,-1.77405,6.01962
ag_news,train,1,train,51,-6.58403,-1.9853,4.87039
ag_news,train,1,train,52,-7.25215,-1.56377,6.262
ag_news,train,1,train,53,-5.96303,-1.6213,5.8058
ag_news,train,1,train,54,-9.51089,-1.00954,6.90119
ag_news,train,1,train,55,-8.47499,-1.61977,6.98618
ag_news,train,1,train,56,-8.44433,-2.13896,5.42244
ag_news,train,1,train,57,-6.72388,-2.024,6.02534
ag_news,train,1,train,58,-10.007,-1.88645,7.20977
ag_news,train,1,train,59,-6.5403,-1.77669,5.46437
ag_news,train,1,train,60,-7.0079,-0.868996,5.48574
ag_news,train,1,train,61,-8.17272,-1.29938,7.11117
ag_news,train,1,train,62,-7.68472,-2.10166,5.29633
ag_news,train,1,train,63,-8.1611,-0.625784,5.8677
ag_news,train,1,train,64,-7.65867,-0.978119,5.39589
ag_news,train,1,train,65,-8.33588,-2.12056,4.67403
ag_news,train,1,train,66,-7.26741,-2.33039,5.50707
ag_news,train,1,train,67,-7.23155,-2.15816,5.32359
ag_news,train,1,train,68,-9.12997,-1.48018,5.71152
ag_news,train,1,train,69,-4.85167,-0.98619,5.29038
ag_news,train,1,train,70,-11.1193,-0.889352,6.30323
ag_news,train,1,train,71,-7.68188,-1.00647,5.74585
ag_news,train,1,train,72,-6.23942,-0.102249,5.57723
ag_news,train,1,train,73,-7.52977,-2.70975,5.46561
ag_news,train,1,train,74,-8.97189,-2.45365,6.52538
ag_news,train,1,train,75,-10.5726,-4.64104,-0.171818
ag_news,train,1,train,76,-7.26472,-2.40855,4.07641
ag_news,train,1,train,77,-7.12435,-1.99967,4.34179
ag_news,train,1,train,78,-5.73569,-1.62383,5.80292
ag_news,train,1,train,79,-7.02878,-2.8739,4.284
ag_news,train,1,train,80,-7.83167,-2.44655,5.36388
ag_news,train,1,train,81,-9.56613,-1.15632,6.99616
ag_news,train,1,train,82,-8.62423,-1.43689,6.04419
ag_news,train,1,train,83,-8.0371,-1.49963,7.80684
ag_news,train,1,train,84,-7.91169,-2.75856,6.47454
ag_news,train,1,train,85,-8.31105,-2.29298,4.00156
ag_news,train,1,train,86,-7.01775,0.0241222,5.84175
ag_news,train,1,train,87,-7.31216,-1.80544,6.38211
ag_news,train,1,train,88,-5.97669,-1.74037,5.00121
ag_news,train,1,train,89,-8.71074,-2.27728,6.11822
ag_news,train,1,train,90,-7.84375,-2.40341,4.98088
ag_news,train,1,train,91,-8.64428,-1.67552,5.39636
ag_news,train,1,train,92,-7.85628,-1.0747,6.05454
ag_news,train,1,train,93,-7.48551,-1.87846,6.19655
ag_news,train,1,train,94,-7.01127,-1.10952,6.08944
ag_news,train,1,train,95,-8.06959,0.941792,9.40955
ag_news,train,1,train,96,-7.73122,-0.88675,6.83299
ag_news,train,1,train,97,-8.28331,-2.17793,4.7579
ag_news,train,1,train,98,-8.58142,0.337947,7.70571
ag_news,train,1,train,99,-8.32801,-2.72441,4.81886
ag_news,train,1,train,100,-7.08036,-2.06299,6.20281
ag_news,train,1,train,101,-7.8611,-1.70413,7.20233
ag_news,train,1,train,102,-7.92018,-2.16581,5.43753
ag_news,train,1,train,103,-8.8862,-0.149,6.3971
