task,lane,acc0,acc2,acc4,acc6,slope26,shots_to_half,n_unique_out,out_entropy,label_tokens,input_tokens,head_norm_PR,k90,k90_raw,own_zs_best,n_selected
person-instrument,inherited,0.0,0.12,0.14,0.3,0.18,7,4,1.8213265991934424,1.0,3.675,0.6430929446785321,40,40,0.58,45
person-sport,inherited,0.0,0.6,0.6,0.7,0.09999999999999998,2,5,2.3057242572842105,1.0,3.59,0.638837951306855,40,40,0.92,40
person_place_thing,semantic_classification,0.0,0.3,0.44,0.6,0.3,5,3,1.575688405325532,1.0,1.53,0.6438594670607616,40,40,0.84,40
plural_to_singular,morphology-inflection,0.02,0.46,0.66,0.78,0.32,3,1000,9.965784284662018,1.09,1.595,0.6354048978320321,40,40,0.96,52
plus_ten,arithmetic,0.0,0.26,0.3,0.48,0.21999999999999997,7,1000,9.965784284662018,2.325,2.305,0.5252893047405889,80,80,0.34,81
pos_label,word-property,0.0,0.32,0.58,0.62,0.3,3,4,2.0,1.25,1.08,0.6337651191575338,448,,0.0,10
present-past,inherited,0.0,0.54,0.78,0.9,0.36,2,293,8.194756854422295,1.015,1.005,0.6055460229020629,80,80,0.96,63
product-company,inherited,0.0,0.26,0.42,0.46,0.2,5,30,3.763473600645203,1.0,3.41,0.642425217170853,40,40,0.7,53
round_down_to_hundred,arithmetic,0.0,0.06,0.24,0.3,0.24,7,649,9.165536416089838,2.34,2.335,0.5362268278823917,80,80,0.42,92
singular-plural,inherited,0.0,0.68,0.92,0.92,0.24,2,204,7.669724001944457,1.605,1.245,0.6337797397955302,80,80,0.8837209302325582,55
singular_or_plural,grammatical_classification,0.0,0.32,0.46,0.64,0.32,3,2,1.0,1.0,1.02,0.6156017214171898,10,10,0.52,10
spanish-english,translation,0.0,0.56,0.72,0.72,0.15999999999999992,2,1000,9.965784284662018,1.0,2.61,0.6400379438746416,40,40,0.78,28
spanish_noun_gender,linguistic_knowledge,0.0,0.46,0.54,0.66,0.2,3,2,1.0,1.0,2.855,0.5781361195378343,40,40,0.58,25
starts_with_vowel,orthographic,0.0,0.18,0.38,0.44,0.26,7,2,1.0,1.505,1.035,0.6184761253940697,448,,0.0,26
third_person_to_base,morphology-inflection,0.02,0.58,0.78,0.78,0.20000000000000007,2,1000,9.965784284662018,1.005,1.13,0.6210302990162424,40,40,0.98,43
us-city-state,world_knowledge,0.0,0.54,0.62,0.72,0.17999999999999994,2,50,5.607219150814275,1.195,2.355,0.6366491239886093,40,40,0.8,34
verb_tense_label,word-property,0.0,0.1,0.24,0.3,0.19999999999999998,7,3,1.584961058506293,1.385,1.725,0.6428640311288821,40,40,0.36,37
verb_to_gerund,morphology-inflection,0.0,0.32,0.5,0.6,0.27999999999999997,3,1000,9.965784284662018,1.365,1.0,0.6235629105962932,448,,0.64,98
verb_to_third_person,morphology-inflection,0.0,0.58,0.62,0.84,0.26,2,1000,9.965784284662018,1.125,1.0,0.6139069550596593,80,80,0.96,81
word_polarity,lexical-semantic,0.0,0.32,0.62,0.64,0.32,4,2,0.9999971146079947,1.0,1.36,0.6073995032212928,10,10,0.48,10
year_to_decade,dates,0.0,0.16,0.34,0.54,0.38,6,200,7.452970346944855,2.685,1.855,0.577322752095275,160,160,0.3,128
