task,test_zeroshot_staged_best,test_zeroshot_pooled_best,test_zeroshot_base,test_mixedtask10_staged_best,test_mixedtask10_pooled_best,test_mixedtask10_base,test_sametask_shuffled10_staged_best,test_sametask_shuffled10_pooled_best,test_sametask_shuffled10_base
singular-plural,0.8837209302325582,0.9069767441860465,0.0,0.8837209302325582,0.8372093023255814,0.023255813953488372,0.9534883720930233,0.9302325581395349,0.09302325581395349
singular_or_plural,0.82,0.76,0.0,0.76,0.54,0.0,0.72,0.82,0.84
spanish-english,0.74,0.8,0.08,0.88,0.86,0.56,0.88,0.86,0.76
spanish_noun_gender,0.96,0.9,0.0,0.96,0.92,0.0,0.96,0.94,0.86
starts_with_vowel,0.48,0.48,0.0,0.54,0.54,0.0,0.56,0.52,0.48
third_person_to_base,0.98,0.96,0.04,0.98,0.96,0.26,0.96,0.98,0.18
us-city-state,0.84,0.78,0.02,0.88,0.8,0.06,0.88,0.88,0.74
verb_tense_label,0.52,0.48,0.0,0.52,0.3,0.0,0.62,0.5,0.44
verb_to_gerund,0.64,0.32,0.0,0.58,0.24,0.0,0.76,0.78,0.14
verb_to_third_person,0.96,0.92,0.0,0.96,0.86,0.02,1.0,1.0,0.24
word_polarity,0.82,0.66,0.0,0.92,0.78,0.0,0.86,0.88,0.78
year_to_decade,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.6,0.12
