task,split,acc6,test_zeroshot_pooled_best,test_zeroshot_base,test_sametask_shuffled10_pooled_best,test_sametask_shuffled10_base,test_mixedtask10_pooled_best,test_mixedtask10_base,test_zeroshot_staged_best,test_sametask_shuffled10_staged_best,test_mixedtask10_staged_best
lowercase_first_letter,train,0.56,0.56,0.0,0.9,0.46,0.84,0.0,0.82,0.96,0.92
lowercase_word,train,0.96,0.98,0.0,1.0,0.14,1.0,0.52,0.98,1.0,1.0
natural_manmade,train,0.58,0.66,0.0,0.88,0.82,0.4,0.0,0.66,0.86,0.48
next_item,train,0.4,0.6595744680851063,0.0851063829787234,0.7021276595744681,0.10638297872340426,0.5319148936170213,0.0,0.6595744680851063,0.6382978723404256,0.6808510638297872
next_month_of_date,train,0.7,1.0,0.0,0.9,0.3,0.92,0.0,1.0,0.98,1.0
next_number_digits,train,0.78,1.0,0.0,1.0,0.42857142857142855,1.0,0.09523809523809523,1.0,1.0,1.0
noun_possessive,train,0.92,0.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0
number_word_to_digits,train,0.68,0.76,0.0,0.54,0.38,0.68,0.48,0.58,0.5,0.7
park-country,train,0.4,0.62,0.0,0.64,0.58,0.62,0.1,0.58,0.64,0.64
past_to_base,train,0.68,0.92,0.28,0.98,0.24,0.9,0.26,0.94,0.96,0.88
person-instrument,train,0.3,0.48,0.0,0.58,0.54,0.46,0.0,0.56,0.58,0.56
person-sport,train,0.7,0.86,0.0,0.92,0.9,0.86,0.12,0.9,0.92,0.92
person_place_thing,train,0.6,0.82,0.0,0.9,0.82,0.74,0.0,0.72,0.82,0.92
plural_to_singular,train,0.78,0.94,0.1,0.96,0.12,0.96,0.2,0.94,0.98,0.98
plus_ten,train,0.48,0.0,0.0,0.22,0.02,0.02,0.0,0.02,0.2,0.02
pos_label,train,0.62,0.42,0.0,0.72,0.7,0.68,0.0,0.6,0.76,0.78
present-past,train,0.9,0.96,0.0,0.96,0.18,0.98,0.0,0.96,0.96,0.98
product-company,train,0.46,0.74,0.0,0.74,0.62,0.7,0.0,0.7,0.72,0.68
round_down_to_hundred,train,0.3,0.04,0.0,0.36,0.04,0.06,0.02,0.1,0.38,0.18
singular-plural,train,0.92,0.9069767441860465,0.0,0.9302325581395349,0.09302325581395349,0.8372093023255814,0.023255813953488372,0.8837209302325582,0.9534883720930233,0.8837209302325582
singular_or_plural,train,0.64,0.76,0.0,0.82,0.84,0.54,0.0,0.82,0.72,0.76
spanish-english,train,0.72,0.8,0.08,0.86,0.76,0.86,0.56,0.74,0.88,0.88
spanish_noun_gender,train,0.66,0.9,0.0,0.94,0.86,0.92,0.0,0.96,0.96,0.96
starts_with_vowel,train,0.44,0.48,0.0,0.52,0.48,0.54,0.0,0.48,0.56,0.54
third_person_to_base,train,0.78,0.96,0.04,0.98,0.18,0.96,0.26,0.98,0.96,0.98
us-city-state,train,0.72,0.78,0.02,0.88,0.74,0.8,0.06,0.84,0.88,0.88
