task,k90,own_zs_best,label_tokens,span_PR,span_rank90,n_first_tok,first_tok_entropy,mean_pair_cos
adjective_to_adverb,40.0,0.96,1.935,53.87641458828542,591,933,9.815603475194639,0.11732855439186096
agent_noun,160.0,0.62,1.74,57.20415290814343,584,849,9.562006397800838,0.11313316226005554
agent_noun_to_verb,80.0,0.8,1.17,41.23869135378791,659,981,9.927029397159854,0.14067447185516357
animal_class,40.0,0.86,1.195,3.5869965752025896,5,5,2.320685305787605,0.3102973997592926
animal_plant_object,80.0,0.74,1.0,2.6516347936366014,3,3,1.5837369399155667,0.2506156861782074
antonym,80.0,0.6,1.155,64.23510960842086,901,1621,10.373434676296295,0.10467223078012466
article_choice,40.0,0.82,1.0,1.2708661739410634,2,2,0.9999971146079947,0.7574496269226074
capitalize,40.0,0.98,1.525,29.265653941425214,491,690,9.30924923535707,0.1716780960559845
capitalize_first_letter,80.0,1.0,1.0,3.893122014079838,21,26,4.5079920622635,0.4742168188095093
case_of_word,20.0,0.56,1.0,1.4628263259195895,2,2,1.0,0.6059830188751221
city-continent,40.0,0.92,1.265,3.326863226971497,5,6,2.3455435182138045,0.3881760239601135
city-country,20.0,0.6,1.37,13.431980581548991,115,169,6.669788823570015,0.24483506381511688
compound_join,80.0,0.6,1.77,57.58777080641667,499,746,9.285354944066201,0.11333182454109192
concrete_abstract,80.0,0.68,1.0,1.838108385264757,2,2,0.9999971146079947,0.29677462577819824
contains_letter_e,20.0,0.58,1.0,1.8135649723975935,2,2,1.0,0.32062482833862305
count_vowels,10.0,0.44,1.0,1.5736031528729675,3,5,1.9125689673820614,0.7360981106758118
countable_uncountable,40.0,0.48,2.485,1.9306021584199378,2,2,0.999953833266239,0.18959558010101318
days_in_month,20.0,0.76,1.0,1.3829695226652203,2,2,0.9927744539878083,0.6679550409317017
ends_with_ing,20.0,0.62,1.0,1.8135649723975935,2,2,1.0,0.32062482833862305
ends_with_vowel,40.0,0.68,1.505,1.731931835441151,2,2,1.0,0.3934199810028076
english-dutch,40.0,0.52,2.84,28.34532375915076,300,392,7.547508772032161,0.16776025295257568
english-french,40.0,0.6,2.675,49.56246392710362,857,1341,9.152272174461686,0.1235504299402237
english-italian,80.0,0.16,2.585,32.105907819816736,410,550,8.547545648767143,0.16057372093200684
english-spanish,40.0,0.72,2.995,46.450010516965776,851,1313,9.309697195543663,0.12921184301376343
first_digit,10.0,0.68,1.0,1.7659231495911787,5,9,3.1699192440727413,0.7124518156051636
first_three_letters,80.0,0.54,1.215,25.60872746411903,340,448,8.379650763501582,0.1830291599035263
french-english,40.0,0.64,1.015,47.495067804401316,654,999,9.963784284662017,0.12935668230056763
french_noun_gender,20.0,0.68,1.0,1.4190687841535947,2,2,1.0,0.6398240327835083
german-english,40.0,0.68,1.005,48.0115837409111,655,999,9.963784284662019,0.1285938322544098
german_noun_gender,80.0,0.72,1.335,2.486985930622241,3,3,1.584961058506293,0.32042574882507324
gerund_to_past,80.0,0.98,1.355,39.52639804423563,619,943,9.825139081747931,0.14009615778923035
hour_after_time,160.0,0.9,3.0,3.1776428269285146,12,23,4.51793241238865,0.5068764686584473
hypernym_category,80.0,0.7,1.0,9.959070265696665,15,18,4.051871272863933,0.20688503980636597
initials_two_words,40.0,0.88,1.06,13.025160264655021,211,316,7.961946356361923,0.26700711250305176
iso_date_to_month,5.0,0.98,1.0,2.0628056398227863,7,12,3.578449151287173,0.6573038697242737
iso_date_year_plus_one,40.0,0.94,1.545,5.70130144903694,63,132,4.697868313696,0.3930341601371765
landmark-country,40.0,0.7,1.0,7.951868448584063,62,91,5.432882626746312,0.33163365721702576
language_identification,10.0,0.98,1.0,2.0795453594699027,3,4,2.0,0.5542734265327454
larger_of_pair,80.0,0.8,1.715,8.45810486616518,141,216,4.883910330261381,0.332403302192688
larger_than_1000,10.0,0.6,1.0,1.8135649723975935,2,2,1.0,0.32062482833862305
living_nonliving,448.0,0.62,1.51,1.884748870143239,2,2,1.0,0.24728381633758545
lowercase_first_letter,80.0,0.96,1.0,5.0151657770404245,21,26,4.5088936245384375,0.4077560603618622
lowercase_word,40.0,0.98,1.015,30.451018741718812,655,994,9.951784284662018,0.16875962913036346
natural_manmade,20.0,0.56,1.505,1.872436411395652,2,2,1.0,0.26101160049438477
next_item,80.0,0.7872340425531915,1.265,12.702516242995097,96,174,7.241857021047672,0.2382807582616806
next_month_of_date,80.0,1.0,1.0,2.0628056398227863,7,12,3.5849394481940666,0.6573038697242737
next_number_digits,20.0,0.9761904761904762,1.0,5.089180702913188,100,200,7.643856189774741,0.4307294189929962
noun_possessive,160.0,0.7,2.065,67.71569140478672,667,995,9.955784284662016,0.10547569394111633
number_word_to_digits,40.0,0.76,1.655,8.022401700654273,204,350,6.282748320662814,0.34212762117385864
park-country,20.0,0.58,1.415,12.812732569588166,108,158,6.944822183951909,0.25139567255973816
past_to_base,40.0,0.98,1.005,34.08613993638674,679,1000,9.965784284662018,0.15999044477939606
person-instrument,40.0,0.58,1.0,2.643594438387189,4,4,1.8213265991934424,0.3975801467895508
person-sport,40.0,0.92,1.0,2.035123379074964,4,5,2.3057242572842105,0.6025024652481079
person_place_thing,40.0,0.84,1.0,2.618144667959551,3,3,1.575688405325532,0.26990699768066406
plural_to_singular,40.0,0.96,1.09,66.16129219698055,667,992,9.949029397159855,0.10750631242990494
plus_ten,80.0,0.34,2.325,7.733665490014263,159,281,6.782752118615726,0.3437919616699219
pos_label,448.0,0.0,1.25,3.1062721142384278,4,4,2.0,0.2785104811191559
present-past,80.0,0.96,1.015,18.74292639260921,206,293,8.194756854422295,0.21370233595371246
product-company,40.0,0.7,1.0,10.127761647698387,24,30,3.763473600645203,0.24304834008216858
round_down_to_hundred,80.0,0.42,2.34,7.030791594286861,106,194,6.035501871244593,0.35436511039733887
singular-plural,80.0,0.8837209302325582,1.605,36.856975630489366,146,190,7.523382538529822,0.13475030660629272
singular_or_plural,10.0,0.52,1.0,1.7740866654054224,2,2,1.0,0.35684871673583984
spanish-english,40.0,0.78,1.0,45.03057592949266,657,1000,9.965784284662018,0.13438761234283447
spanish_noun_gender,40.0,0.58,1.0,1.4190687841535947,2,2,1.0,0.6398240327835083
starts_with_vowel,448.0,0.0,1.505,1.731931835441151,2,2,1.0,0.3934199810028076
third_person_to_base,40.0,0.98,1.005,33.29133632968586,680,1000,9.965784284662018,0.16227459907531738
us-city-state,40.0,0.8,1.195,5.140672887414547,32,45,5.391754549825168,0.4121091067790985
verb_tense_label,40.0,0.36,1.385,2.738191061538661,3,3,1.584961058506293,0.2099410742521286
verb_to_gerund,448.0,0.64,1.365,43.228517241439945,632,969,9.897909981681092,0.13479766249656677
verb_to_third_person,80.0,0.96,1.125,47.22123639386552,646,986,9.93627450965769,0.1272992491722107
word_polarity,10.0,0.48,1.0,1.327214576985234,2,2,0.9999971146079947,0.7119796276092529
year_to_decade,160.0,0.3,2.685,6.482719314464253,35,64,5.352830274228137,0.3498355448246002
