task,test_zeroshot_pcasub_best,test_zeroshot_pcasub_bestA,test_zeroshot_pcasub_a1,test_zeroshot_rawmean_best,test_zeroshot_rawmean_bestA,test_zeroshot_rawmean_a1,test_mixedtask10_pcasub_best,test_mixedtask10_pcasub_bestA,test_mixedtask10_pcasub_a1,test_mixedtask10_rawmean_best,test_mixedtask10_rawmean_bestA,test_mixedtask10_rawmean_a1,zs_headset39
park-country,0.52,1.0,0.52,0.54,2.0,0.5,0.58,2.0,0.52,0.54,1.0,0.54,0.62
past_to_base,0.74,4.0,0.42,0.88,2.0,0.66,0.74,4.0,0.5,0.84,4.0,0.78,0.92
person-instrument,0.54,4.0,0.18,0.52,2.0,0.46,0.44,4.0,0.22,0.5,2.0,0.42,0.48
person-sport,0.84,4.0,0.66,0.76,2.0,0.74,0.86,2.0,0.8,0.86,1.0,0.86,0.86
person_place_thing,0.5,2.0,0.06,0.7,4.0,0.58,0.5,2.0,0.4,0.82,1.0,0.82,0.82
plural_to_singular,0.76,2.0,0.7,0.8,2.0,0.72,0.92,4.0,0.74,0.8,2.0,0.74,0.94
plus_ten,0.02,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
pos_label,0.3,4.0,0.0,0.28,2.0,0.26,0.38,4.0,0.12,0.42,2.0,0.36,0.42
present-past,0.94,2.0,0.66,0.94,4.0,0.36,0.98,2.0,0.68,0.96,4.0,0.7,0.96
product-company,0.62,2.0,0.44,0.64,2.0,0.62,0.66,2.0,0.46,0.66,2.0,0.6,0.74
round_down_to_hundred,0.0,1.0,0.0,0.02,1.0,0.02,0.04,1.0,0.04,0.06,2.0,0.04,0.04
singular-plural,0.7441860465116279,4.0,0.023255813953488372,0.5348837209302325,2.0,0.18604651162790697,0.8372093023255814,2.0,0.46511627906976744,0.627906976744186,2.0,0.5348837209302325,0.9069767441860465
singular_or_plural,0.02,4.0,0.0,0.68,4.0,0.58,0.1,4.0,0.02,0.78,4.0,0.74,0.76
spanish-english,0.78,4.0,0.7,0.72,1.0,0.72,0.82,4.0,0.8,0.8,1.0,0.8,0.8
spanish_noun_gender,0.86,4.0,0.1,0.86,4.0,0.22,0.88,4.0,0.36,0.9,4.0,0.5,0.9
starts_with_vowel,0.48,2.0,0.06,0.48,2.0,0.3,0.6,4.0,0.26,0.48,2.0,0.34,0.48
third_person_to_base,0.98,4.0,0.68,0.98,2.0,0.82,1.0,2.0,0.92,0.96,2.0,0.92,0.96
us-city-state,0.44,4.0,0.18,0.58,2.0,0.52,0.66,2.0,0.48,0.78,2.0,0.7,0.78
verb_tense_label,0.3,4.0,0.0,0.38,2.0,0.34,0.32,2.0,0.16,0.46,4.0,0.32,0.48
verb_to_gerund,0.26,4.0,0.0,0.28,2.0,0.02,0.22,4.0,0.04,0.38,4.0,0.06,0.32
verb_to_third_person,0.76,4.0,0.04,0.8,4.0,0.28,0.72,2.0,0.24,0.78,4.0,0.62,0.92
word_polarity,0.84,4.0,0.04,0.88,1.0,0.88,0.88,4.0,0.36,0.9,1.0,0.9,0.66
year_to_decade,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
