task,icl_example_index,token_role,layer,mean_cosine,n_prompts
antonym,2,first_label_token,8,0.22685712575912476,170
antonym,2,first_label_token,9,0.2512911558151245,170
antonym,2,first_label_token,10,0.27961888909339905,170
antonym,2,first_label_token,11,0.29423657059669495,170
antonym,2,first_label_token,12,0.31647783517837524,170
antonym,2,first_label_token,13,0.2996782958507538,170
antonym,2,first_label_token,14,0.3088349997997284,170
antonym,2,first_label_token,15,0.3042675852775574,170
antonym,2,first_label_token,16,0.30560556054115295,170
antonym,2,first_label_token,17,0.3099423050880432,170
antonym,2,first_label_token,18,0.3099992275238037,170
antonym,2,first_label_token,19,0.31304359436035156,170
antonym,2,first_label_token,20,0.30584195256233215,170
antonym,2,first_label_token,21,0.3164801597595215,170
antonym,2,first_label_token,22,0.30687299370765686,170
antonym,2,first_label_token,23,0.30220934748649597,170
antonym,2,first_label_token,24,0.2988456189632416,170
antonym,2,first_label_token,25,0.2921423614025116,170
antonym,2,first_label_token,26,0.28184521198272705,170
antonym,2,first_label_token,27,0.26820024847984314,170
antonym,2,first_label_token,28,0.2837345004081726,170
antonym,2,last_label_token,0,0.004502058029174805,170
antonym,2,last_label_token,1,0.15326960384845734,170
antonym,2,last_label_token,2,0.13824893534183502,170
antonym,2,last_label_token,3,0.12871599197387695,170
antonym,2,last_label_token,4,0.14840184152126312,170
antonym,2,last_label_token,5,0.17237845063209534,170
antonym,2,last_label_token,6,0.19707845151424408,170
antonym,2,last_label_token,7,0.21955831348896027,170
antonym,2,last_label_token,8,0.22746671736240387,170
antonym,2,last_label_token,9,0.2530202269554138,170
antonym,2,last_label_token,10,0.2807222902774811,170
antonym,2,last_label_token,11,0.2955765128135681,170
antonym,2,last_label_token,12,0.31922557950019836,170
antonym,2,last_label_token,13,0.3029473125934601,170
antonym,2,last_label_token,14,0.3116312325000763,170
antonym,2,last_label_token,15,0.3056964874267578,170
antonym,2,last_label_token,16,0.3066977858543396,170
antonym,2,last_label_token,17,0.311406672000885,170
antonym,2,last_label_token,18,0.3111594319343567,170
antonym,2,last_label_token,19,0.31447115540504456,170
antonym,2,last_label_token,20,0.3074935972690582,170
antonym,2,last_label_token,21,0.3168363869190216,170
antonym,2,last_label_token,22,0.3072555661201477,170
antonym,2,last_label_token,23,0.30289918184280396,170
antonym,2,last_label_token,24,0.29980406165122986,170
antonym,2,last_label_token,25,0.29412177205085754,170
antonym,2,last_label_token,26,0.2851606607437134,170
antonym,2,last_label_token,27,0.2716422379016876,170
antonym,2,last_label_token,28,0.28605687618255615,170
antonym,3,pre_label_token,0,0.0001948060526046902,170
antonym,3,pre_label_token,1,0.13840192556381226,170
antonym,3,pre_label_token,2,0.12429141998291016,170
antonym,3,pre_label_token,3,0.09761965274810791,170
antonym,3,pre_label_token,4,0.11681462824344635,170
antonym,3,pre_label_token,5,0.15908648073673248,170
antonym,3,pre_label_token,6,0.21115799248218536,170
antonym,3,pre_label_token,7,0.2778380215167999,170
antonym,3,pre_label_token,8,0.2819182574748993,170
antonym,3,pre_label_token,9,0.37079349160194397,170
antonym,3,pre_label_token,10,0.4180675745010376,170
antonym,3,pre_label_token,11,0.3980003297328949,170
antonym,3,pre_label_token,12,0.4414474070072174,170
antonym,3,pre_label_token,13,0.44898638129234314,170
antonym,3,pre_label_token,14,0.43817609548568726,170
antonym,3,pre_label_token,15,0.41614142060279846,170
antonym,3,pre_label_token,16,0.43545061349868774,170
antonym,3,pre_label_token,17,0.4285452365875244,170
antonym,3,pre_label_token,18,0.42032182216644287,170
antonym,3,pre_label_token,19,0.4000625014305115,170
antonym,3,pre_label_token,20,0.3841431438922882,170
antonym,3,pre_label_token,21,0.38404759764671326,170
antonym,3,pre_label_token,22,0.3728586733341217,170
antonym,3,pre_label_token,23,0.3627350330352783,170
antonym,3,pre_label_token,24,0.3533376157283783,170
antonym,3,pre_label_token,25,0.3400398790836334,170
antonym,3,pre_label_token,26,0.32275933027267456,170
antonym,3,pre_label_token,27,0.2909221649169922,170
antonym,3,pre_label_token,28,0.28556060791015625,170
antonym,3,first_label_token,0,0.0031848859507590532,170
antonym,3,first_label_token,1,0.152118518948555,170
antonym,3,first_label_token,2,0.13885219395160675,170
antonym,3,first_label_token,3,0.1293884962797165,170
antonym,3,first_label_token,4,0.14989350736141205,170
antonym,3,first_label_token,5,0.1759752631187439,170
antonym,3,first_label_token,6,0.20132175087928772,170
antonym,3,first_label_token,7,0.22414100170135498,170
antonym,3,first_label_token,8,0.23673495650291443,170
antonym,3,first_label_token,9,0.2686910331249237,170
antonym,3,first_label_token,10,0.3025643229484558,170
antonym,3,first_label_token,11,0.31478822231292725,170
antonym,3,first_label_token,12,0.33530864119529724,170
antonym,3,first_label_token,13,0.30767786502838135,170
antonym,3,first_label_token,14,0.3116568922996521,170
antonym,3,first_label_token,15,0.30715882778167725,170
antonym,3,first_label_token,16,0.3151625394821167,170
antonym,3,first_label_token,17,0.31424131989479065,170
antonym,3,first_label_token,18,0.3123551905155182,170
antonym,3,first_label_token,19,0.3138534724712372,170
antonym,3,first_label_token,20,0.306437224149704,170
antonym,3,first_label_token,21,0.31819429993629456,170
antonym,3,first_label_token,22,0.30830514430999756,170
antonym,3,first_label_token,23,0.30320727825164795,170
antonym,3,first_label_token,24,0.30009976029396057,170
antonym,3,first_label_token,25,0.29290422797203064,170
antonym,3,first_label_token,26,0.28354158997535706,170
antonym,3,first_label_token,27,0.2700285017490387,170
antonym,3,first_label_token,28,0.2870868146419525,170
antonym,3,last_label_token,0,0.004122348967939615,170
antonym,3,last_label_token,1,0.1529626101255417,170
antonym,3,last_label_token,2,0.13883130252361298,170
antonym,3,last_label_token,3,0.13154414296150208,170
antonym,3,last_label_token,4,0.15086840093135834,170
antonym,3,last_label_token,5,0.1768108308315277,170
antonym,3,last_label_token,6,0.2026449590921402,170
antonym,3,last_label_token,7,0.22566601634025574,170
antonym,3,last_label_token,8,0.23790599405765533,170
antonym,3,last_label_token,9,0.2717958390712738,170
antonym,3,last_label_token,10,0.30366796255111694,170
antonym,3,last_label_token,11,0.31604135036468506,170
antonym,3,last_label_token,12,0.3372838497161865,170
antonym,3,last_label_token,13,0.30944034457206726,170
antonym,3,last_label_token,14,0.3127107620239258,170
antonym,3,last_label_token,15,0.30766573548316956,170
antonym,3,last_label_token,16,0.31649190187454224,170
antonym,3,last_label_token,17,0.31628739833831787,170
antonym,3,last_label_token,18,0.3142381012439728,170
antonym,3,last_label_token,19,0.31622350215911865,170
antonym,3,last_label_token,20,0.30963292717933655,170
antonym,3,last_label_token,21,0.32005295157432556,170
antonym,3,last_label_token,22,0.30991896986961365,170
antonym,3,last_label_token,23,0.3055339753627777,170
antonym,3,last_label_token,24,0.3030048906803131,170
antonym,3,last_label_token,25,0.29726073145866394,170
antonym,3,last_label_token,26,0.29061710834503174,170
antonym,3,last_label_token,27,0.27662888169288635,170
antonym,3,last_label_token,28,0.2914021909236908,170
antonym,4,pre_label_token,0,0.0001948060526046902,170
antonym,4,pre_label_token,1,0.1377030462026596,170
