icl_example_index,token_role,k,feature_dim,target_dim,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
2,pre_label_token,1,2,2,2600,1170,36.9464225769043,24.149763107299805,73.8928451538086,48.299530029296875
2,pre_label_token,2,4,4,2600,1170,30.55423927307129,22.928791046142578,122.21695709228516,91.71516418457031
2,pre_label_token,3,6,6,2600,1170,22.649682998657227,18.285919189453125,135.89810180664062,109.71552276611328
2,pre_label_token,4,8,8,2600,1170,20.085527420043945,17.0779972076416,160.6842041015625,136.6239776611328
2,pre_label_token,5,10,10,2600,1170,13.52371883392334,15.718700408935547,135.23719787597656,157.18699645996094
2,pre_label_token,6,12,12,2600,1170,11.596966743469238,15.7911376953125,139.16358947753906,189.49363708496094
2,pre_label_token,7,14,14,2600,1170,10.305764198303223,14.602727890014648,144.2806854248047,204.43820190429688
2,pre_label_token,8,16,16,2600,1170,9.153515815734863,13.212666511535645,146.4562530517578,211.4026641845703
2,pre_label_token,9,18,18,2600,1170,8.756844520568848,12.35451602935791,157.6232147216797,222.38128662109375
2,pre_label_token,10,20,20,2600,1170,7.913767337799072,11.074254035949707,158.2753448486328,221.4850616455078
2,first_label_token,1,2,2,2600,1170,38.50896072387695,27.934860229492188,77.0179214477539,55.869720458984375
2,first_label_token,2,4,4,2600,1170,31.14183235168457,20.02720832824707,124.56732177734375,80.10882568359375
2,first_label_token,3,6,6,2600,1170,21.740877151489258,16.393545150756836,130.4452667236328,98.36127471923828
2,first_label_token,4,8,8,2600,1170,18.39735984802246,12.374512672424316,147.17889404296875,98.99610137939453
2,first_label_token,5,10,10,2600,1170,16.628488540649414,12.849380493164062,166.28488159179688,128.49380493164062
2,first_label_token,6,12,12,2600,1170,13.993125915527344,14.311102867126465,167.91751098632812,171.73324584960938
2,first_label_token,7,14,14,2600,1170,12.710118293762207,13.078006744384766,177.94166564941406,183.0920867919922
2,first_label_token,8,16,16,2600,1170,11.045999526977539,11.900951385498047,176.73599243164062,190.41522216796875
2,first_label_token,9,18,18,2600,1170,9.143828392028809,10.363608360290527,164.5889129638672,186.54495239257812
2,first_label_token,10,20,20,2600,1170,7.876493453979492,8.987100601196289,157.5298614501953,179.7420196533203
2,last_label_token,1,2,2,2600,1170,39.70079803466797,36.79996109008789,79.40159606933594,73.59992218017578
2,last_label_token,2,4,4,2600,1170,26.45693588256836,20.122039794921875,105.82772827148438,80.4881591796875
2,last_label_token,3,6,6,2600,1170,19.90484619140625,16.024818420410156,119.4290771484375,96.14889526367188
2,last_label_token,4,8,8,2600,1170,17.57493019104004,14.918901443481445,140.5994415283203,119.35122680664062
2,last_label_token,5,10,10,2600,1170,14.652620315551758,13.174844741821289,146.5261993408203,131.74844360351562
2,last_label_token,6,12,12,2600,1170,11.628636360168457,13.920910835266113,139.5436248779297,167.05093383789062
2,last_label_token,7,14,14,2600,1170,10.574999809265137,12.644429206848145,148.0500030517578,177.02200317382812
2,last_label_token,8,16,16,2600,1170,8.521706581115723,10.779864311218262,136.34730529785156,172.4778289794922
2,last_label_token,9,18,18,2600,1170,7.8990983963012695,10.149413108825684,142.18377685546875,182.68943786621094
2,last_label_token,10,20,20,2600,1170,6.84683895111084,8.133352279663086,136.93678283691406,162.6670379638672
