family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4
sentence_caps,nat,0.005,0.02,0.0,0.005,0.0,0.0
sentence_caps,alt,0.009,0.03,0.005,0.005,0.0,0.005
all_caps,nat,0.014,0.015,0.05,0.005,0.0,0.0
all_caps,alt,0.018,0.015,0.05,0.015,0.0,0.01
double_space,nat,0.0,0.0,0.0,0.0,0.0,0.0
double_space,alt,0.002,0.005,0.0,0.005,0.0,0.0
us_uk,nat,0.16,0.195,0.17,0.13,0.16,0.145
us_uk,alt,0.166,0.185,0.17,0.11,0.185,0.18
ise_ize,nat,0.109,0.09,0.1,0.13,0.12,0.105
ise_ize,alt,0.114,0.045,0.115,0.13,0.135,0.145
brit_t_past,nat,0.19,0.13,0.195,0.195,0.23,0.2
brit_t_past,alt,0.213,0.15,0.24,0.19,0.26,0.225
whilst,nat,0.231,0.265,0.27,0.17,0.26,0.19
whilst,alt,0.231,0.195,0.26,0.2,0.26,0.24
contractions,nat,0.095,0.14,0.13,0.07,0.075,0.06
contractions,alt,0.094,0.16,0.115,0.095,0.055,0.045
ampersand,nat,0.023,0.025,0.01,0.02,0.025,0.035
ampersand,alt,0.03,0.02,0.035,0.06,0.02,0.015
oxford_comma,nat,0.008,0.005,0.01,0.015,0.0,0.01
oxford_comma,alt,0.009,0.01,0.0,0.015,0.0,0.02
curly_quotes,nat,0.073,0.215,0.035,0.055,0.035,0.025
curly_quotes,alt,0.07,0.19,0.055,0.05,0.04,0.015
quote_punct,nat,0.031,0.055,0.02,0.035,0.015,0.03
quote_punct,alt,0.027,0.07,0.02,0.015,0.02,0.01
em_dash,nat,0.079,0.23,0.015,0.085,0.015,0.05
em_dash,alt,0.093,0.22,0.025,0.07,0.075,0.075
ellipsis,nat,0.028,0.035,0.065,0.015,0.02,0.005
ellipsis,alt,0.033,0.045,0.04,0.04,0.02,0.02
num_words,nat,0.065,0.09,0.075,0.055,0.04,0.065
num_words,alt,0.086,0.135,0.05,0.075,0.09,0.08
percent_sign,nat,0.001,0.005,0.0,0.0,0.0,0.0
percent_sign,alt,0.003,0.0,0.0,0.0,0.005,0.01
ordinal_words,nat,0.022,0.06,0.025,0.02,0.005,0.0
ordinal_words,alt,0.03,0.045,0.035,0.03,0.02,0.02
uk_vocab,nat,0.152,0.105,0.155,0.15,0.205,0.145
uk_vocab,alt,0.17,0.115,0.135,0.155,0.22,0.225
register,nat,0.147,0.355,0.15,0.08,0.065,0.085
register,alt,0.173,0.345,0.19,0.135,0.11,0.085
unit_abbr,nat,0.007,0.015,0.005,0.0,0.0,0.015
unit_abbr,alt,0.019,0.01,0.025,0.01,0.025,0.025
diacritics,nat,0.208,0.105,0.165,0.245,0.25,0.275
diacritics,alt,0.179,0.14,0.13,0.185,0.195,0.245
latin_abbr,nat,0.499,0.445,0.535,0.59,0.43,0.495
latin_abbr,alt,0.49,0.505,0.5,0.55,0.42,0.475
hyphen_compound,nat,0.076,0.04,0.065,0.075,0.11,0.09
hyphen_compound,alt,0.119,0.07,0.1,0.105,0.19,0.13
flat_adverb,nat,0.179,0.16,0.17,0.195,0.18,0.19
flat_adverb,alt,0.177,0.13,0.16,0.185,0.19,0.22
irreg_past,nat,0.425,0.32,0.43,0.41,0.505,0.46
irreg_past,alt,0.437,0.33,0.465,0.445,0.515,0.43
latin_plural,nat,0.091,0.085,0.07,0.095,0.1,0.105
latin_plural,alt,0.091,0.115,0.065,0.09,0.105,0.08
title_abbr,nat,0.151,0.19,0.16,0.125,0.155,0.125
title_abbr,alt,0.164,0.215,0.12,0.155,0.17,0.16
