family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
sentence_caps,nat,0,200,0.65,0.582,0.713,0.97,0.01,0.02,0.32,0.65,0.02,0
sentence_caps,nat,1,200,0.965,0.93,0.983,0.995,0.005,0.0,0.03,0.97,0.015,0
sentence_caps,nat,2,200,0.985,0.957,0.995,0.995,0.0,0.005,0.01,0.985,0.0,0
sentence_caps,nat,3,200,0.99,0.964,0.997,1.0,0.0,0.0,0.01,0.99,0.005,0
sentence_caps,nat,4,200,0.97,0.936,0.986,1.0,0.0,0.0,0.03,0.97,0.015,0
sentence_caps,alt,0,200,0.0,0.0,0.019,0.005,0.965,0.03,0.005,0.725,0.0,0
sentence_caps,alt,1,200,0.18,0.133,0.239,0.195,0.8,0.005,0.015,0.955,0.01,0
sentence_caps,alt,2,200,0.89,0.839,0.926,0.905,0.09,0.005,0.015,0.98,0.005,0
sentence_caps,alt,3,200,0.89,0.839,0.926,0.925,0.075,0.0,0.035,0.965,0.015,0
sentence_caps,alt,4,200,0.9,0.851,0.934,0.915,0.08,0.005,0.015,0.975,0.005,0
all_caps,nat,0,200,0.72,0.654,0.778,0.985,0.0,0.015,0.265,0.72,0.01,0
all_caps,nat,1,200,0.915,0.868,0.946,0.95,0.0,0.05,0.035,0.915,0.01,0
all_caps,nat,2,200,0.955,0.917,0.976,0.995,0.0,0.005,0.04,0.955,0.005,0
all_caps,nat,3,200,0.99,0.964,0.997,1.0,0.0,0.0,0.01,0.99,0.005,0
all_caps,nat,4,200,0.985,0.957,0.995,1.0,0.0,0.0,0.015,0.985,0.015,0
all_caps,alt,0,200,0.0,0.0,0.019,0.0,0.985,0.015,0.0,0.775,0.0,0
all_caps,alt,1,200,0.665,0.597,0.727,0.85,0.1,0.05,0.185,0.745,0.17,0
all_caps,alt,2,200,0.72,0.654,0.778,0.96,0.025,0.015,0.24,0.74,0.2,0
all_caps,alt,3,200,0.76,0.696,0.814,0.975,0.025,0.0,0.215,0.78,0.195,0
all_caps,alt,4,200,0.81,0.75,0.858,0.975,0.015,0.01,0.165,0.835,0.19,0
double_space,nat,0,200,0.975,0.943,0.989,1.0,0.0,0.0,0.025,0.975,0.005,0
double_space,nat,1,200,0.98,0.95,0.992,1.0,0.0,0.0,0.02,0.98,0.01,0
double_space,nat,2,200,0.98,0.95,0.992,1.0,0.0,0.0,0.02,0.98,0.0,0
double_space,nat,3,200,0.975,0.943,0.989,1.0,0.0,0.0,0.025,0.975,0.015,0
