family,lang,style,k,n,accuracy,style_only,judge_ok,unscorable,ci_lo,ci_hi,label
py_snake_camel,Python,nat,0,50,0.88,1.0,0.88,0.0,0.7619492111337642,0.9438247628937535,snake_case identifiers
py_snake_camel,Python,nat,4,50,1.0,1.0,1.0,0.0,0.9286499658256813,1.0,snake_case identifiers
py_snake_camel,Python,alt,0,50,0.0,0.0,0.86,0.0,0.0,0.07135003417431873,camelCase identifiers
py_snake_camel,Python,alt,4,50,0.92,1.0,0.92,0.0,0.8116149745493629,0.9684509967442093,camelCase identifiers
js_camel_snake,JavaScript,nat,0,50,0.82,0.98,0.84,0.02,0.6920368054529739,0.902299172675462,camelCase identifiers
js_camel_snake,JavaScript,nat,4,50,0.94,1.0,0.94,0.0,0.8378265662912299,0.9793854036353695,camelCase identifiers
js_camel_snake,JavaScript,alt,0,50,0.02,0.02,0.9,0.02,0.0035391680889764604,0.10495686471836953,snake_case identifiers
js_camel_snake,JavaScript,alt,4,50,0.94,1.0,0.94,0.0,0.8378265662912299,0.9793854036353695,snake_case identifiers
js_func_pascal,JavaScript,nat,0,50,0.18,0.22,0.86,0.78,0.0977008273245379,0.3079631945470261,camelCase function names
js_func_pascal,JavaScript,nat,4,50,0.52,0.58,0.86,0.42,0.3851151225880844,0.6520308760449429,camelCase function names
js_func_pascal,JavaScript,alt,0,50,0.0,0.0,0.78,0.82,0.0,0.07135003417431873,PascalCase function names
js_func_pascal,JavaScript,alt,4,50,0.26,0.3,0.9,0.52,0.15871379651367384,0.3955342198899992,PascalCase function names
py_const_naming,Python,nat,0,50,0.02,0.02,0.68,0.98,0.0035391680889764604,0.10495686471836953,UPPER_SNAKE constants
py_const_naming,Python,nat,4,50,0.8,0.9,0.84,0.1,0.6696262789551477,0.8875637005402612,UPPER_SNAKE constants
py_const_naming,Python,alt,0,50,0.0,0.0,0.6,0.94,0.0,0.07135003417431873,camelCase constants
py_const_naming,Python,alt,4,50,0.68,0.82,0.78,0.18,0.5418944286372394,0.792419559060006,camelCase constants
py_class_naming,Python,nat,0,50,0.18,0.2,0.74,0.32,0.0977008273245379,0.3079631945470261,PascalCase class names
py_class_naming,Python,nat,4,50,0.58,0.58,0.98,0.22,0.4423319668777783,0.7062520276543307,PascalCase class names
py_class_naming,Python,alt,0,50,0.34,0.5,0.58,0.4,0.2243676963506106,0.47846431458517147,snake_case class names
py_class_naming,Python,alt,4,50,0.66,0.7,0.92,0.3,0.5215356854148285,0.7756323036493895,snake_case class names
py_private,Python,nat,0,50,0.12,0.12,0.94,0.88,0.05617523710624646,0.23805078886623582,single-underscore private attributes
py_private,Python,nat,4,50,0.4,0.4,0.94,0.6,0.2760818978624575,0.5381881089724063,single-underscore private attributes
py_private,Python,alt,0,50,0.0,0.0,0.98,0.96,0.0,0.07135003417431873,double-underscore private attributes
py_private,Python,alt,4,50,0.44,0.46,0.92,0.5,0.3116198721023534,0.5769421319985648,double-underscore private attributes
py_bool_prefix,Python,nat,0,50,0.0,0.0,0.94,0.86,0.0,0.07135003417431873,is_/has_ boolean names
py_bool_prefix,Python,nat,4,50,0.64,0.74,0.9,0.24,0.5014076201030195,0.7586143703281711,is_/has_ boolean names
py_bool_prefix,Python,alt,0,50,0.12,0.12,0.84,0.88,0.05617523710624646,0.23805078886623582,bare boolean names
py_bool_prefix,Python,alt,4,50,0.3,0.3,0.86,0.62,0.1910338908960936,0.4375061227736339,bare boolean names
py_loop_vars,Python,nat,0,46,0.391304347826087,0.4782608695652174,0.8478260869565217,0.43478260869565216,0.2639302235524884,0.5354341628235508,single-letter loop variables
py_loop_vars,Python,nat,4,46,0.43478260869565216,0.5,0.8043478260869565,0.45652173913043476,0.3020904595919057,0.5775281722337178,single-letter loop variables
py_loop_vars,Python,alt,0,46,0.08695652173913043,0.08695652173913043,0.8913043478260869,0.5,0.03433531187670748,0.20324935635224178,descriptive loop variables
py_loop_vars,Python,alt,4,46,0.5217391304347826,0.5652173913043478,0.9130434782608695,0.41304347826086957,0.38137172148151327,0.6587554012432788,descriptive loop variables
js_hungarian,JavaScript,nat,0,50,0.54,0.58,0.88,0.4,0.40398634328388083,0.6703056539821737,plain identifiers
js_hungarian,JavaScript,nat,4,50,0.62,0.66,0.94,0.34,0.4815019502239357,0.7413740415742278,plain identifiers
js_hungarian,JavaScript,alt,0,50,0.0,0.0,0.92,0.4,0.0,0.07135003417431873,Hungarian notation
js_hungarian,JavaScript,alt,4,50,0.84,0.88,0.94,0.08,0.7148551903823401,0.9166267863791231,Hungarian notation
py_abbrev,Python,nat,0,50,0.1,0.1,0.88,0.44,0.04347512399157111,0.2136049033478839,abbreviated identifiers
py_abbrev,Python,nat,4,50,0.82,0.86,0.96,0.14,0.6920368054529739,0.902299172675462,abbreviated identifiers
py_abbrev,Python,alt,0,50,0.42,0.46,0.86,0.46,0.2937479723456693,0.5576680331222217,spelled-out identifiers
py_abbrev,Python,alt,4,50,0.74,0.82,0.9,0.16,0.6044657801100008,0.8412862034863262,spelled-out identifiers
py_quotes,Python,nat,0,49,0.2857142857142857,0.30612244897959184,0.9183673469387755,0.3877551020408163,0.1784943493972417,0.4240914920610033,single-quoted strings
py_quotes,Python,nat,4,49,0.8163265306122449,0.8571428571428571,0.9591836734693877,0.061224489795918366,0.6864212843271743,0.9002377116154164,single-quoted strings
py_quotes,Python,alt,0,49,0.30612244897959184,0.32653061224489793,0.9183673469387755,0.3877551020408163,0.1951532349314748,0.4452815740069374,double-quoted strings
py_quotes,Python,alt,4,49,0.7346938775510204,0.7551020408163265,0.9795918367346939,0.061224489795918366,0.5973744384734165,0.8378886875485057,double-quoted strings
js_quotes,JavaScript,nat,0,49,0.12244897959183673,0.14285714285714285,0.9591836734693877,0.24489795918367346,0.057347477598098245,0.2424466240188096,double-quoted strings
js_quotes,JavaScript,nat,4,49,0.7551020408163265,0.7959183673469388,0.9183673469387755,0.10204081632653061,0.619134127396842,0.8539779661052471,double-quoted strings
js_quotes,JavaScript,alt,0,49,0.5510204081632653,0.5714285714285714,0.9387755102040817,0.14285714285714285,0.41314866799678107,0.6814737507036366,single-quoted strings
js_quotes,JavaScript,alt,4,49,0.9183673469387755,0.9387755102040817,0.9795918367346939,0.061224489795918366,0.8081061295851387,0.9677977037582878,single-quoted strings
