read_layer,best_alpha,icl_heldout_cos,cos_map_rraw_vs_dcontrast_L13,cos_nomap_rraw_vs_dcontrast_L13,cos_random,cos_map_rcontrastdummy,cos_map_rcontrastrefusal,best_writeL,best_write_cos
0,3162.28,0.4786,-0.0197,-0.056,0.0011,0.0269,0.0471,5,0.0237
1,3162.28,0.4907,-0.0285,0.0073,-0.0154,-0.0013,0.0398,5,0.0184
2,10000.0,0.5033,-0.0512,-0.0355,0.0007,-0.0049,0.0087,5,0.0193
3,10000.0,0.5161,-0.0506,0.0577,-0.004,0.0137,0.0178,5,0.0156
4,10000.0,0.5247,-0.0449,0.0704,-0.0123,0.0174,0.0161,5,0.0161
5,10000.0,0.533,-0.0853,0.0229,-0.024,0.0047,0.0423,0,0.0432
6,10000.0,0.5357,-0.0687,0.07,-0.0159,0.0068,0.0386,0,0.0383
7,10000.0,0.5408,-0.0656,0.0794,-0.0118,-0.0023,0.0063,0,0.0447
8,31622.8,0.5442,-0.0416,0.1009,0.0055,-0.0042,0.0214,0,0.0289
9,31622.8,0.5459,-0.0544,0.0455,0.0039,0.0107,0.0401,0,0.0448
10,31622.8,0.5475,-0.0807,0.0553,-0.0045,-0.0412,-0.0323,0,0.0628
11,31622.8,0.5505,-0.0754,0.0779,0.0475,-0.0598,-0.0589,0,0.0572
12,31622.8,0.5533,-0.0805,0.0858,0.0059,-0.057,-0.0475,0,0.0566
13,31622.8,0.5549,-0.0538,0.1028,0.0138,-0.0285,-0.0326,0,0.0488
14,31622.8,0.5582,-0.0663,0.0585,-0.0023,-0.0209,-0.0164,0,0.0567
15,31622.8,0.5597,-0.0624,0.0802,-0.002,-0.0342,-0.0376,0,0.0513
16,31622.8,0.5615,-0.0665,0.0706,0.0368,-0.0248,-0.0271,0,0.0502
17,31622.8,0.5618,-0.0694,0.0631,-0.0116,-0.0191,-0.0176,0,0.0459
18,31622.8,0.5626,-0.0516,0.0831,-0.022,-0.0115,-0.0316,0,0.0356
19,31622.8,0.5647,-0.0461,0.0496,-0.0111,0.0324,0.013,4,0.027
20,31622.8,0.5647,-0.048,0.042,0.0027,0.0274,-0.0142,0,0.0334
21,31622.8,0.5642,-0.0447,0.0363,-0.0076,0.009,-0.0221,5,0.0349
22,31622.8,0.5619,-0.0175,0.0082,0.0198,0.0542,0.0299,5,0.0359
23,100000.0,0.5581,-0.0285,-0.0311,0.0181,0.0416,0.029,5,0.0312
24,100000.0,0.5584,-0.0283,-0.0759,-0.0365,0.0447,0.0358,5,0.0346
25,100000.0,0.5559,-0.0328,-0.0945,-0.0214,0.03,0.0148,0,0.0269
26,316228.0,0.5511,-0.0046,-0.1078,0.0048,0.0481,0.0463,4,0.0365
27,316228.0,0.5448,-0.015,-0.0879,-0.0058,-0.0404,0.0636,5,0.0337
