layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout
0,0.5,0.1223,0.0867,0.1263,0.1067
0,1.0,0.1814,0.1333,0.1755,0.2048
0,2.0,0.1295,0.0467,0.1213,0.1614
0,4.0,0.1027,0.02,0.0961,0.1286
0,best,0.2068,0.16,0.2012,0.2286
1,0.5,0.1068,0.0867,0.1097,0.0952
1,1.0,0.1991,0.1333,0.193,0.2233
1,2.0,0.1553,0.0667,0.1479,0.1843
1,4.0,0.1204,0.04,0.1105,0.159
1,best,0.2189,0.1667,0.2112,0.2495
2,0.5,0.0945,0.0667,0.096,0.0886
2,1.0,0.1983,0.1533,0.1926,0.2205
2,2.0,0.1655,0.0667,0.1585,0.1929
2,4.0,0.1355,0.04,0.1295,0.1591
2,best,0.2134,0.1533,0.2051,0.2462
3,0.5,0.0923,0.06,0.0922,0.0924
3,1.0,0.2037,0.14,0.1944,0.24
3,2.0,0.168,0.0933,0.1623,0.1905
3,4.0,0.1387,0.0333,0.1337,0.1586
3,best,0.2196,0.1533,0.2096,0.2591
4,0.5,0.0634,0.04,0.0638,0.0619
4,1.0,0.1632,0.1067,0.1592,0.1791
4,2.0,0.1419,0.0467,0.1373,0.16
4,4.0,0.1216,0.0267,0.1139,0.1519
4,best,0.1819,0.12,0.1752,0.2086
5,0.5,0.0504,0.0333,0.0482,0.059
5,1.0,0.1454,0.0867,0.1417,0.16
5,2.0,0.1341,0.0467,0.1292,0.1533
5,4.0,0.1184,0.0267,0.1104,0.1495
5,best,0.1676,0.1067,0.1612,0.1928
6,0.5,0.0433,0.0267,0.0424,0.0467
6,1.0,0.1462,0.1067,0.1404,0.1691
6,2.0,0.1469,0.0533,0.1412,0.169
6,4.0,0.1288,0.0267,0.1204,0.1619
6,best,0.176,0.1067,0.1684,0.2057
7,0.5,0.0266,0.0067,0.0262,0.0281
7,1.0,0.1189,0.0667,0.116,0.1305
7,2.0,0.1391,0.0467,0.1319,0.1676
7,4.0,0.1258,0.0267,0.1146,0.17
7,best,0.1645,0.0867,0.156,0.1981
8,0.5,0.0132,0.0067,0.0125,0.0162
8,1.0,0.0738,0.04,0.0726,0.0786
8,2.0,0.1029,0.0333,0.096,0.13
8,4.0,0.0977,0.02,0.0846,0.149
8,best,0.125,0.06,0.1162,0.1595
9,0.5,0.0115,0.0,0.0108,0.0143
9,1.0,0.0549,0.0333,0.0558,0.0514
9,2.0,0.0761,0.02,0.0715,0.0943
9,4.0,0.0701,0.0133,0.0641,0.0938
9,best,0.0959,0.04,0.0916,0.1129
10,0.5,0.0097,0.0067,0.0085,0.0143
10,1.0,0.0306,0.0133,0.0318,0.0262
10,2.0,0.0459,0.0133,0.0423,0.06
10,4.0,0.0435,0.0067,0.0388,0.0619
10,best,0.0584,0.02,0.0549,0.0719
11,0.5,0.0058,0.0,0.0045,0.011
11,1.0,0.0203,0.0067,0.0186,0.0271
11,2.0,0.0399,0.0067,0.0371,0.051
11,4.0,0.0397,0.0067,0.0361,0.0538
11,best,0.0501,0.02,0.0463,0.0648
12,0.5,0.0018,0.0,0.0016,0.0029
12,1.0,0.0045,0.0,0.0042,0.0057
12,2.0,0.0073,0.0,0.0061,0.0119
12,4.0,0.0154,0.0,0.0127,0.0257
12,best,0.0172,0.0067,0.0149,0.0262
13,0.5,0.0009,0.0,0.0006,0.0019
13,1.0,0.0024,0.0,0.0017,0.0052
13,2.0,0.0057,0.0,0.0044,0.011
13,4.0,0.0104,0.0,0.0082,0.0191
13,best,0.012,0.0067,0.0099,0.02
14,0.5,0.002,0.0,0.0021,0.0019
14,1.0,0.0026,0.0,0.0021,0.0048
14,2.0,0.0061,0.0,0.0053,0.0091
14,4.0,0.011,0.0,0.0096,0.0167
14,best,0.0138,0.0067,0.0119,0.0214
15,0.5,0.0012,0.0,0.0009,0.0024
15,1.0,0.0012,0.0,0.001,0.0019
15,2.0,0.0018,0.0,0.0015,0.0033
15,4.0,0.0041,0.0,0.0039,0.0048
15,best,0.0051,0.0,0.0046,0.0071
16,0.5,0.0015,0.0,0.0015,0.0019
16,1.0,0.0013,0.0,0.001,0.0024
16,2.0,0.0019,0.0,0.0019,0.0019
16,4.0,0.0023,0.0,0.0024,0.0019
16,best,0.0045,0.0,0.0046,0.0043
17,0.5,0.0016,0.0,0.0016,0.0019
17,1.0,0.0014,0.0,0.0009,0.0033
17,2.0,0.0016,0.0,0.0015,0.0024
17,4.0,0.0021,0.0,0.0018,0.0033
17,best,0.0041,0.0,0.0036,0.0057
18,0.5,0.0011,0.0,0.0011,0.0009
18,1.0,0.0012,0.0,0.001,0.0019
18,2.0,0.0015,0.0,0.0016,0.0009
18,4.0,0.0015,0.0,0.0012,0.0024
18,best,0.0033,0.0,0.0032,0.0038
19,0.5,0.0013,0.0,0.0012,0.0014
19,1.0,0.0011,0.0,0.0009,0.0019
19,2.0,0.001,0.0,0.0011,0.0005
19,4.0,0.0013,0.0,0.001,0.0024
19,best,0.0033,0.0,0.0032,0.0038
20,0.5,0.0012,0.0,0.0007,0.0029
20,1.0,0.0013,0.0,0.0012,0.0014
20,2.0,0.0017,0.0,0.0019,0.001
20,4.0,0.0014,0.0,0.0012,0.0019
20,best,0.0036,0.0,0.0034,0.0043
21,0.5,0.0009,0.0,0.0007,0.0014
21,1.0,0.001,0.0,0.001,0.001
21,2.0,0.0013,0.0,0.0012,0.0014
21,4.0,0.0021,0.0,0.0023,0.0014
21,best,0.0037,0.0,0.0038,0.0033
22,0.5,0.0011,0.0,0.0012,0.0005
22,1.0,0.001,0.0,0.0009,0.0014
22,2.0,0.0009,0.0,0.0006,0.0019
22,4.0,0.0015,0.0,0.0015,0.0014
22,best,0.0026,0.0,0.0024,0.0033
23,0.5,0.0014,0.0,0.001,0.0029
23,1.0,0.001,0.0,0.0007,0.0019
23,2.0,0.0011,0.0,0.0008,0.0019
23,4.0,0.0017,0.0,0.0015,0.0029
23,best,0.0035,0.0,0.0029,0.0057
24,0.5,0.0012,0.0,0.0011,0.0014
24,1.0,0.0015,0.0,0.0012,0.0024
24,2.0,0.001,0.0,0.0009,0.0014
24,4.0,0.0016,0.0,0.0016,0.0014
24,best,0.0031,0.0,0.0029,0.0038
25,0.5,0.0013,0.0,0.0012,0.0014
25,1.0,0.0004,0.0,0.0005,0.0
25,2.0,0.001,0.0,0.0009,0.0014
25,4.0,0.0016,0.0,0.0016,0.0014
25,best,0.0027,0.0,0.0028,0.0024
26,0.5,0.0009,0.0,0.0009,0.001
