target,unsteered,k4,L24_a2,L24_a2_judge_ok,L24_a2_n_fams_gain_ge_.20,L24_a4,L24_a4_judge_ok,L24_a4_n_fams_gain_ge_.20,L26_a2,L26_a2_judge_ok,L26_a2_n_fams_gain_ge_.20,L26_a4,L26_a4_judge_ok,L26_a4_n_fams_gain_ge_.20
nat,0.4632,0.7894,0.6074,0.7936,17,0.5721,0.7471,17,0.5882,0.7789,17,0.4858,0.6843,13
alt,0.1348,0.7331,0.4873,0.7686,36,0.4779,0.726,37,0.4735,0.7618,33,0.4324,0.6917,29
both,0.299,0.7613,0.5473,0.7811,34,0.525,0.7365,29,0.5309,0.7703,33,0.4591,0.688,26
