family,target,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,top1,unsteered,k4
py_indent,alt,24,4.0,40,0.4,0.2635,0.554,0.45,0.875,0.15,-0.1281,0.325,0.0,0.91
py_indent,alt,26,2.0,40,0.425,0.2851,0.5781,0.475,0.825,0.125,0.025,0.575,0.0,0.91
py_indent,alt,26,4.0,40,0.575,0.4219,0.7149,0.675,0.875,0.125,0.8844,1.0,0.0,0.91
sql_keyword_case,nat,24,2.0,40,0.675,0.5202,0.7992,0.825,0.725,0.15,8.1937,0.35,0.7,0.915
sql_keyword_case,nat,24,4.0,40,0.675,0.5202,0.7992,0.85,0.675,0.15,8.2141,0.325,0.7,0.915
sql_keyword_case,nat,26,2.0,40,0.85,0.7093,0.9294,1.0,0.85,0.0,10.8672,0.325,0.7,0.915
sql_keyword_case,nat,26,4.0,40,0.45,0.3071,0.6017,0.7,0.45,0.2,8.5466,0.075,0.7,0.915
sql_keyword_case,alt,24,2.0,40,0.3,0.1807,0.4543,0.4,0.675,0.15,2.8586,0.325,0.0,0.89
sql_keyword_case,alt,24,4.0,40,0.325,0.2008,0.4798,0.525,0.575,0.15,5.9324,0.4,0.0,0.89
sql_keyword_case,alt,26,2.0,40,0.275,0.1611,0.4284,0.375,0.675,0.275,5.9266,0.35,0.0,0.89
sql_keyword_case,alt,26,4.0,40,0.2,0.105,0.3476,0.25,0.55,0.3,7.9082,0.35,0.0,0.89
docstring_style,nat,24,2.0,40,0.975,0.8712,0.9956,0.975,1.0,0.025,13.5352,0.975,0.7,0.98
docstring_style,nat,24,4.0,40,0.95,0.835,0.9862,0.95,0.975,0.05,18.5568,0.975,0.7,0.98
docstring_style,nat,26,2.0,40,0.875,0.7389,0.9454,0.875,0.95,0.125,18.3496,0.975,0.7,0.98
docstring_style,nat,26,4.0,40,0.975,0.8712,0.9956,0.975,1.0,0.025,27.125,0.975,0.7,0.98
docstring_style,alt,24,2.0,40,0.9,0.7695,0.9604,0.9,0.975,0.1,8.4902,0.975,0.025,0.875
docstring_style,alt,24,4.0,40,0.9,0.7695,0.9604,0.9,0.975,0.1,15.3902,0.975,0.025,0.875
docstring_style,alt,26,2.0,40,0.925,0.8014,0.9742,0.925,0.95,0.075,10.8267,0.975,0.025,0.875
docstring_style,alt,26,4.0,40,0.975,0.8712,0.9956,0.975,0.975,0.025,19.9133,0.975,0.025,0.875
r_assignment,nat,24,2.0,40,0.75,0.5981,0.8581,1.0,0.75,0.0,6.5859,1.0,0.825,0.89
r_assignment,nat,24,4.0,40,0.925,0.8014,0.9742,1.0,0.925,0.0,9.7352,1.0,0.825,0.89
r_assignment,nat,26,2.0,40,0.675,0.5202,0.7992,0.925,0.725,0.025,5.9109,1.0,0.825,0.89
r_assignment,nat,26,4.0,40,0.825,0.6805,0.9125,1.0,0.825,0.0,6.8937,1.0,0.825,0.89
r_assignment,alt,24,2.0,40,0.475,0.3294,0.625,0.7,0.65,0.125,1.6586,1.0,0.05,0.81
r_assignment,alt,24,4.0,40,0.7,0.5457,0.8193,0.85,0.75,0.1,6.4949,1.0,0.05,0.81
r_assignment,alt,26,2.0,40,0.7,0.5457,0.8193,0.9,0.725,0.05,10.822,1.0,0.05,0.81
r_assignment,alt,26,4.0,40,0.575,0.4219,0.7149,0.7,0.675,0.15,27.0016,1.0,0.05,0.81
c_comment_style,nat,24,2.0,40,0.45,0.3071,0.6017,0.5,0.9,0.5,11.4441,0.475,0.3,0.835
c_comment_style,nat,24,4.0,40,0.35,0.2213,0.5049,0.45,0.775,0.55,16.8358,0.775,0.3,0.835
c_comment_style,nat,26,2.0,40,0.4,0.2635,0.554,0.525,0.825,0.475,16.0014,0.475,0.3,0.835
c_comment_style,nat,26,4.0,40,0.225,0.1232,0.375,0.325,0.825,0.675,24.4291,0.375,0.3,0.835
