variant,task,n,mean,median,std,q25,q75,min,max
fixed10,ag_news,170,52.415,52.537,2.416,50.626,54.309,45.428,58.282
fixed10,antonym,170,74.118,73.997,3.606,71.826,76.424,64.542,82.511
fixed10,capitalize,170,73.775,73.573,3.400,71.569,76.087,64.908,86.251
fixed10,capitalize_first_letter,170,64.791,64.950,3.388,62.150,67.170,57.584,72.729
fixed10,capitalize_last_letter,170,60.091,59.720,2.763,58.170,61.690,53.199,68.627
fixed10,capitalize_second_letter,170,61.375,61.188,2.711,59.519,63.037,55.043,69.037
fixed10,commonsense_qa,170,64.489,64.416,1.794,63.319,65.845,59.047,69.012
fixed10,country-capital,170,49.357,49.202,2.023,47.951,50.647,44.280,56.652
fixed10,english-french,170,65.538,65.782,3.681,63.209,68.128,55.460,74.622
fixed10,english-german,170,62.100,61.739,3.626,59.679,64.676,54.704,73.115
fixed10,english-spanish,170,64.367,64.408,3.275,61.994,66.769,56.618,71.644
fixed10,landmark-country,170,53.218,53.245,1.760,52.152,54.311,48.615,57.315
fixed10,lowercase_first_letter,170,63.149,63.193,3.317,60.580,65.134,56.809,73.444
fixed10,lowercase_last_letter,170,58.072,57.780,2.959,56.183,59.493,51.162,66.357
fixed10,national_parks,170,52.544,52.541,1.539,51.556,53.641,47.413,56.478
fixed10,next_capital_letter,170,60.692,60.396,2.613,58.970,62.433,53.050,69.132
fixed10,next_item,170,66.404,66.638,3.783,63.770,69.086,55.575,77.331
fixed10,park-country,170,52.229,52.275,1.232,51.360,53.066,49.255,55.736
fixed10,person-instrument,170,56.518,56.695,2.115,55.015,57.841,51.055,61.661
fixed10,person-occupation,170,53.502,53.584,2.040,52.067,54.868,46.554,58.139
fixed10,person-sport,170,56.907,56.882,1.409,55.809,57.897,53.452,60.003
fixed10,present-past,170,72.980,72.670,2.451,71.578,74.431,66.740,79.864
fixed10,prev_item,170,65.885,65.876,4.543,63.062,68.844,53.961,77.314
fixed10,sentiment,170,66.874,66.847,1.946,65.740,67.933,60.446,71.672
fixed10,singular-plural,170,68.075,67.929,3.018,65.896,69.757,60.770,79.096
fixed10,synonym,170,76.183,76.780,4.502,72.875,79.203,62.293,86.688
fixed10,word_length,170,61.560,61.557,2.121,60.137,62.907,57.050,67.960
varicl4to10,ag_news,170,51.666,51.688,2.954,50.086,53.702,40.346,59.987
varicl4to10,antonym,170,73.825,73.935,3.868,71.222,76.716,58.600,83.931
varicl4to10,capitalize,170,73.381,73.289,3.821,70.818,75.887,62.087,85.203
varicl4to10,capitalize_first_letter,170,63.858,63.760,3.298,61.501,66.503,54.645,72.434
varicl4to10,capitalize_last_letter,170,60.181,59.954,2.722,58.266,62.167,54.488,68.377
varicl4to10,capitalize_second_letter,170,61.129,60.818,3.359,58.781,63.388,54.009,71.251
varicl4to10,commonsense_qa,170,62.542,62.451,2.116,61.232,63.882,57.178,68.208
varicl4to10,country-capital,170,49.288,49.206,1.988,47.783,50.536,44.933,55.674
varicl4to10,english-french,170,65.096,64.918,4.129,62.474,68.055,56.077,76.076
varicl4to10,english-german,170,61.780,61.421,3.813,58.945,64.430,52.920,73.840
varicl4to10,english-spanish,170,63.929,63.596,3.451,61.553,66.165,54.227,73.099
varicl4to10,landmark-country,170,53.111,52.955,1.979,51.748,54.313,47.441,59.393
varicl4to10,lowercase_first_letter,170,61.901,61.779,3.540,59.389,64.285,53.884,72.113
varicl4to10,lowercase_last_letter,170,57.118,57.049,3.300,54.752,59.171,49.935,67.902
varicl4to10,national_parks,170,52.588,52.642,1.749,51.466,53.677,45.140,56.883
varicl4to10,next_capital_letter,170,60.919,60.998,2.999,58.945,62.739,53.009,71.335
varicl4to10,next_item,170,66.340,66.417,3.439,63.878,68.800,57.341,76.054
varicl4to10,park-country,170,52.606,52.471,1.318,51.679,53.351,49.440,56.399
varicl4to10,person-instrument,170,55.611,55.720,2.162,54.274,57.098,49.959,60.946
varicl4to10,person-occupation,170,53.411,53.450,2.124,51.912,54.950,47.148,58.245
varicl4to10,person-sport,170,57.340,57.305,1.780,56.104,58.592,52.022,61.785
varicl4to10,present-past,170,73.520,73.394,2.959,71.540,75.440,65.833,81.283
varicl4to10,prev_item,170,65.774,65.816,4.334,63.006,68.498,55.318,79.253
varicl4to10,sentiment,170,65.381,65.656,2.790,63.582,67.417,54.453,70.455
varicl4to10,singular-plural,170,68.417,68.227,3.354,66.081,70.870,60.054,76.511
varicl4to10,synonym,170,75.327,75.605,5.161,72.216,78.831,60.119,88.472
varicl4to10,word_length,170,60.970,60.762,2.326,59.542,62.699,54.702,66.946
