family,direction,context,target,k_ctx,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,context_style,unscorable,judge_ok,capped,n_positions,step3_genuine_k,step3_context_k
py_snake_camel,nat2alt,nat,alt,1,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.995,0.005,0.95,0.36,4.7,0.735,0.96
py_snake_camel,nat2alt,nat,alt,1,nat2alt_top1,9,4.0,,200,0.665,0.597,0.727,0.805,0.18,0.015,0.815,0.385,4.7,0.735,0.96
py_snake_camel,nat2alt,nat,alt,1,nat2alt_top2,3,1.0,,200,0.685,0.618,0.745,0.77,0.22,0.01,0.905,0.38,4.7,0.735,0.96
py_snake_camel,alt2nat,alt,nat,1,base,0,0.0,,200,0.155,0.111,0.212,0.16,0.825,0.015,0.965,0.36,4.3,0.96,0.735
py_snake_camel,alt2nat,alt,nat,1,alt2nat_top1,2,1.0,,200,0.87,0.816,0.91,0.94,0.04,0.02,0.915,0.39,4.3,0.96,0.735
py_snake_camel,alt2nat,alt,nat,1,alt2nat_top2,3,2.0,,200,0.94,0.898,0.965,0.98,0.0,0.02,0.955,0.425,4.3,0.96,0.735
js_camel_snake,nat2alt,nat,alt,1,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.77,0.23,0.89,0.455,2.3,0.55,0.695
js_camel_snake,nat2alt,nat,alt,1,nat2alt_top1,24,4.0,,200,0.515,0.446,0.583,0.685,0.065,0.25,0.785,0.445,2.3,0.55,0.695
js_camel_snake,nat2alt,nat,alt,1,nat2alt_top2,2,2.0,,200,0.575,0.506,0.641,0.65,0.145,0.205,0.865,0.47,2.3,0.55,0.695
js_camel_snake,alt2nat,alt,nat,1,base,0,0.0,,200,0.175,0.129,0.234,0.205,0.615,0.18,0.895,0.5,2.5,0.695,0.55
js_camel_snake,alt2nat,alt,nat,1,alt2nat_top1,8,2.0,,200,0.665,0.597,0.727,0.805,0.025,0.17,0.825,0.385,2.5,0.695,0.55
js_camel_snake,alt2nat,alt,nat,1,alt2nat_top2,8,4.0,,200,0.735,0.67,0.791,0.83,0.01,0.16,0.87,0.43,2.5,0.695,0.55
py_const_naming,nat2alt,nat,alt,1,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.775,0.225,0.8,0.295,3.5,0.37,0.65
py_const_naming,nat2alt,nat,alt,1,nat2alt_top1,4,2.0,,200,0.335,0.273,0.403,0.425,0.035,0.54,0.675,0.4,3.5,0.37,0.65
py_const_naming,nat2alt,nat,alt,1,nat2alt_top2,1,2.0,,200,0.335,0.273,0.403,0.445,0.005,0.55,0.67,0.43,3.5,0.37,0.65
py_const_naming,alt2nat,alt,nat,1,base,0,0.0,,200,0.005,0.001,0.028,0.01,0.51,0.48,0.73,0.415,2.7,0.65,0.37
py_const_naming,alt2nat,alt,nat,1,alt2nat_top1,5,2.0,,200,0.485,0.417,0.554,0.63,0.005,0.365,0.69,0.37,2.7,0.65,0.37
