icl_example_index,token_role,layer,target_mode,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,train_r2,test_mse_fv,test_r2_fv,test_r2_fv_testmean_baseline,test_mse_pp,test_r2_pp,test_r2_pp_testmean_baseline
4,pre_label_token,0,perprompt,0.1,0.604552149772644,True,3400,1190,0.5626044273376465,0.0,0.3455448278859884,-0.03815165559923428,-0.23616634560151195,0.726439096146271,-5.143666270690517e-08,-0.0936764862374746
4,pre_label_token,1,perprompt,100000.0,0.5093191862106323,False,3400,1190,0.2770496606826782,0.5075586909371989,0.3014764625485204,0.09424692988831729,-0.07851435448612376,0.6706946685534565,0.07673649916454217,-0.009751529526784486
4,pre_label_token,2,perprompt,10000.0,0.5110774636268616,False,3400,1190,0.1943148970603943,0.6546154142797451,0.3131714492284951,0.05911062106753329,-0.12035248308578761,0.6741395325219932,0.0719943753388782,-0.01493787858297102
4,pre_label_token,3,perprompt,10000.0,0.48774152994155884,False,3400,1190,0.18386851251125336,0.6731833174840893,0.3057654565121947,0.08136111645715016,-0.09385797871809065,0.6641002206241383,0.08581427086419025,0.0001766154178821644
4,pre_label_token,4,perprompt,10000.0,0.4419777989387512,False,3400,1190,0.16969545185565948,0.6983751929242872,0.28896208049870337,0.13184502251005237,-0.033744887031997406,0.6403279120180787,0.11853870702812874,0.035966559934845654
4,pre_label_token,5,perprompt,10000.0,0.4316937327384949,False,3400,1190,0.16235023736953735,0.7114309282317414,0.2685761059031767,0.19309245430299138,0.03918474085869195,0.6134717797030922,0.1555082669524872,0.07639929625093866
4,pre_label_token,6,perprompt,10000.0,0.4164988696575165,False,3400,1190,0.1601526141166687,0.7153370888413695,0.2658025869802267,0.20142518866718917,0.04910684205874527,0.6067875421347738,0.1647096410905159,0.08646262226915036
4,pre_label_token,7,perprompt,10000.0,0.403688907623291,False,3400,1190,0.15719805657863617,0.720588660628698,0.2566446128011752,0.22893932081057133,0.08186895730524046,0.5934135821687073,0.18311993966189877,0.10659753188561061
4,pre_label_token,8,perprompt,10000.0,0.3992652893066406,False,3400,1190,0.15494589507579803,0.724591760130591,0.24772486005510602,0.25573774270425065,0.11377884935379246,0.5839566463181952,0.19613814915408323,0.12083524076778607
4,pre_label_token,9,perprompt,10000.0,0.37745845317840576,False,3400,1190,0.1520184427499771,0.7297951538181846,0.21789227493670807,0.34536648297782413,0.22050317207415415,0.5469263798048516,0.24711319801158693,0.1765854502204396
4,pre_label_token,10,perprompt,10000.0,0.3710728883743286,False,3400,1190,0.15258759260177612,0.7287835196678948,0.20960623636966993,0.37026097990708506,0.2501459888328189,0.5363928402171415,0.2616134364836078,0.19244401926641286
