arm,alpha,exec_cos_mean,ci_lo,ci_hi,n_families,own_gt_both_controls,own_ge_0p5,own_negative
ctrl_family,0.5,0.0209,-0.0059,0.047,53,,,
ctrl_family,1.0,0.0612,0.0308,0.0925,53,,,
ctrl_family,2.0,0.0996,0.0679,0.1328,53,,,
ctrl_family,4.0,0.1382,0.1057,0.1703,53,,,
ctrl_family,8.0,0.179,0.1436,0.2157,53,,,
ctrl_random,0.5,-0.0111,-0.0259,0.0038,53,,,
ctrl_random,1.0,-0.0112,-0.0281,0.005,53,,,
ctrl_random,2.0,-0.0059,-0.0239,0.0118,53,,,
ctrl_random,4.0,0.0254,0.0051,0.0455,53,,,
ctrl_random,8.0,0.1096,0.0819,0.1391,53,,,
read,0.5,0.4921,0.4376,0.5475,53,53.0,27.0,0.0
read,1.0,0.5866,0.527,0.6454,53,53.0,37.0,0.0
read,2.0,0.6282,0.5717,0.6821,53,52.0,42.0,0.0
read,4.0,0.5882,0.5385,0.6343,53,52.0,42.0,0.0
read,8.0,0.5002,0.4535,0.5435,53,49.0,30.0,1.0
real_shift,,0.7207,0.684,0.7548,53,,51.0,0.0
