family,arm,alpha,ctrl_family,exec_cos,real_shift_exec_cos,exec_cos_fp16,cf_exec_cos_fp16,dircos
bash_subst,read,0.5,bash_test,0.6234,0.7899,0.6234,0.7899,0.765
bash_subst,read,1.0,bash_test,0.7136,0.7899,0.7136,0.7899,0.8784
bash_subst,read,2.0,bash_test,0.7885,0.7899,0.7885,0.7899,0.9433
bash_subst,read,4.0,bash_test,0.7461,0.7899,0.7461,0.7899,0.8521
bash_subst,read,8.0,bash_test,0.603,0.7899,0.603,0.7899,0.6532
bash_subst,ctrl_family,0.5,bash_test,0.0176,0.7899,0.0176,0.7899,0.049
bash_subst,ctrl_family,1.0,bash_test,0.0344,0.7899,0.0344,0.7899,0.0663
bash_subst,ctrl_family,2.0,bash_test,0.0673,0.7899,0.0673,0.7899,0.1112
bash_subst,ctrl_family,4.0,bash_test,0.0915,0.7899,0.0915,0.7899,0.1422
bash_subst,ctrl_family,8.0,bash_test,0.0821,0.7899,0.0821,0.7899,0.1196
bash_subst,ctrl_random,0.5,bash_test,0.0646,0.7899,0.0646,0.7899,0.0997
bash_subst,ctrl_random,1.0,bash_test,0.071,0.7899,0.071,0.7899,0.1133
bash_subst,ctrl_random,2.0,bash_test,0.0882,0.7899,0.0882,0.7899,0.1528
bash_subst,ctrl_random,4.0,bash_test,0.1146,0.7899,0.1146,0.7899,0.2009
bash_subst,ctrl_random,8.0,bash_test,0.1443,0.7899,0.1443,0.7899,0.1988
bash_test,read,0.5,bash_subst,0.7439,0.8987,0.7439,0.8987,0.8168
bash_test,read,1.0,bash_subst,0.8523,0.8987,0.8523,0.8987,0.9273
bash_test,read,2.0,bash_subst,0.891,0.8987,0.891,0.8987,0.9742
bash_test,read,4.0,bash_subst,0.8412,0.8987,0.8412,0.8987,0.9153
bash_test,read,8.0,bash_subst,0.7362,0.8987,0.7362,0.8987,0.7902
bash_test,ctrl_family,0.5,bash_subst,-0.1135,0.8987,-0.1135,0.8987,-0.116
bash_test,ctrl_family,1.0,bash_subst,-0.1034,0.8987,-0.1034,0.8987,-0.1035
bash_test,ctrl_family,2.0,bash_subst,-0.057,0.8987,-0.057,0.8987,-0.051
bash_test,ctrl_family,4.0,bash_subst,0.0127,0.8987,0.0127,0.8987,0.0281
bash_test,ctrl_family,8.0,bash_subst,0.1782,0.8987,0.1782,0.8987,0.2081
bash_test,ctrl_random,0.5,bash_subst,-0.1641,0.8987,-0.1641,0.8987,-0.1885
bash_test,ctrl_random,1.0,bash_subst,-0.192,0.8987,-0.192,0.8987,-0.2211
bash_test,ctrl_random,2.0,bash_subst,-0.1708,0.8987,-0.1708,0.8987,-0.1928
bash_test,ctrl_random,4.0,bash_subst,-0.1293,0.8987,-0.1293,0.8987,-0.1367
bash_test,ctrl_random,8.0,bash_subst,0.092,0.8987,0.092,0.8987,0.1242
blank_lines,read,0.5,line_wrap,0.837,0.9414,0.837,0.9414,0.8798
