task,icl_example_index,token_role,layer,per_task_test_mse,test_r2
antonym,1,pre_label_token,0,0.46153560280799866,0.0
synonym,1,pre_label_token,0,0.3847059905529022,0.0
prev_number,1,pre_label_token,0,0.5162676572799683,0.0
next_number,1,pre_label_token,0,0.45935678482055664,0.0
antonym,1,pre_label_token,1,0.4301424026489258,0.06801902164876461
synonym,1,pre_label_token,1,0.32619819045066833,0.1520844529042713
prev_number,1,pre_label_token,1,0.5215510129928589,-0.010233753051133831
next_number,1,pre_label_token,1,0.46053287386894226,-0.0025602953678915963
antonym,1,pre_label_token,2,0.43769514560699463,0.051654643880034046
synonym,1,pre_label_token,2,0.329209566116333,0.14425672019510105
prev_number,1,pre_label_token,2,0.506425142288208,0.019064752271364394
next_number,1,pre_label_token,2,0.4447469413280487,0.03180500207091774
antonym,1,pre_label_token,3,0.48403841257095337,-0.04875638981271835
synonym,1,pre_label_token,3,0.3549047112464905,0.07746507732718466
prev_number,1,pre_label_token,3,0.5105658173561096,0.011044348495312772
next_number,1,pre_label_token,3,0.44777268171310425,0.025218095150107755
antonym,1,pre_label_token,4,0.4651830494403839,-0.007902849986423766
synonym,1,pre_label_token,4,0.341476172208786,0.1123710558340566
prev_number,1,pre_label_token,4,0.4950474202632904,0.04110316948475867
next_number,1,pre_label_token,4,0.43561607599258423,0.05168250391086848
antonym,1,pre_label_token,5,0.4728226661682129,-0.024455455422167427
synonym,1,pre_label_token,5,0.3442761301994324,0.10509287961792269
prev_number,1,pre_label_token,5,0.49634063243865967,0.038598243682931965
next_number,1,pre_label_token,5,0.43943101167678833,0.043377552704597866
antonym,1,pre_label_token,6,0.47284233570098877,-0.024498073007151788
synonym,1,pre_label_token,6,0.34406518936157227,0.10564119662633975
prev_number,1,pre_label_token,6,0.49620890617370605,0.038853394791269036
next_number,1,pre_label_token,6,0.43867844343185425,0.04501586146546244
antonym,1,pre_label_token,7,0.4757142961025238,-0.03072069241952624
synonym,1,pre_label_token,7,0.345180869102478,0.10274111248857443
prev_number,1,pre_label_token,7,0.48681867122650146,0.057042089773012505
next_number,1,pre_label_token,7,0.42955681681632996,0.06487325100872898
antonym,1,pre_label_token,8,0.4778328537940979,-0.03531092918281109
synonym,1,pre_label_token,8,0.3449389934539795,0.10336984106166192
prev_number,1,pre_label_token,8,0.48924732208251953,0.05233784223441251
next_number,1,pre_label_token,8,0.4324384927749634,0.058599966159438854
antonym,1,pre_label_token,9,0.48002809286117554,-0.040067309955435615
synonym,1,pre_label_token,9,0.34579065442085266,0.10115604406398804
prev_number,1,pre_label_token,9,0.47404369711875916,0.08178695598262387
next_number,1,pre_label_token,9,0.4163641631603241,0.09359309164667551
antonym,1,pre_label_token,10,0.47861796617507935,-0.03701201654466302
synonym,1,pre_label_token,10,0.34548690915107727,0.10194559576641637
prev_number,1,pre_label_token,10,0.46733784675598145,0.09477605237132358
next_number,1,pre_label_token,10,0.40970972180366516,0.10807952479962957
antonym,1,pre_label_token,11,0.4770662188529968,-0.033649876522004796
synonym,1,pre_label_token,11,0.3454921543598175,0.10193196143560512
prev_number,1,pre_label_token,11,0.4607337713241577,0.10756801277926054
next_number,1,pre_label_token,11,0.40163230895996094,0.12566370579057673
antonym,1,pre_label_token,12,0.4793766438961029,-0.03865582845518034
synonym,1,pre_label_token,12,0.34707722067832947,0.09781175962581823
prev_number,1,pre_label_token,12,0.4627889394760132,0.10358719367724012
next_number,1,pre_label_token,12,0.4032304584980011,0.12218460285610189
antonym,1,pre_label_token,13,0.48324164748191833,-0.047030054760368145
synonym,1,pre_label_token,13,0.35145995020866394,0.08641934661962725
prev_number,1,pre_label_token,13,0.4607258141040802,0.10758342575345203
next_number,1,pre_label_token,13,0.4010559916496277,0.12691832383340895
antonym,1,pre_label_token,14,0.48601034283638,-0.053028931851575756
synonym,1,pre_label_token,14,0.35471272468566895,0.07796412482198867
prev_number,1,pre_label_token,14,0.4643586277961731,0.1005467391803807
next_number,1,pre_label_token,14,0.40340694785118103,0.12180039311105828
antonym,1,pre_label_token,15,0.48632821440696716,-0.05371765785375904
synonym,1,pre_label_token,15,0.3560502827167511,0.07448729299735346
prev_number,1,pre_label_token,15,0.46753576397895813,0.09439269071737177
next_number,1,pre_label_token,15,0.40649351477622986,0.11508106942401497
antonym,1,pre_label_token,16,0.48607170581817627,-0.05316188580230663
synonym,1,pre_label_token,16,0.3559984266757965,0.07462208694969108
prev_number,1,pre_label_token,16,0.47136634588241577,0.08697293112282423
next_number,1,pre_label_token,16,0.4096110761165619,0.10829427222551513
antonym,1,pre_label_token,17,0.5071607828140259,-0.09885516898033875
synonym,1,pre_label_token,17,0.3688451945781708,0.041228357146027794
prev_number,1,pre_label_token,17,0.4508674740791321,0.1266788307937139
next_number,1,pre_label_token,17,0.3951154053211212,0.1398507252364427
antonym,1,pre_label_token,18,0.505652666091919,-0.09558756250982703
synonym,1,pre_label_token,18,0.3680974841117859,0.04317194649671685
prev_number,1,pre_label_token,18,0.4510181248188019,0.12638702336098895
next_number,1,pre_label_token,18,0.3962852954864502,0.1373039245708425
antonym,1,pre_label_token,19,0.5067599415779114,-0.09798667425604068
synonym,1,pre_label_token,19,0.3683275878429413,0.04257381770016577
prev_number,1,pre_label_token,19,0.4466911852359772,0.1347682177314088
next_number,1,pre_label_token,19,0.3916817605495453,0.14732562249504588
antonym,1,pre_label_token,20,0.5045775175094604,-0.09325805948575416
synonym,1,pre_label_token,20,0.3688172698020935,0.041300944464039535
prev_number,1,pre_label_token,20,0.44648411870002747,0.135169301419356
next_number,1,pre_label_token,20,0.3904927968978882,0.14991394532154245
antonym,1,pre_label_token,21,0.5032013654708862,-0.09027637826722712
synonym,1,pre_label_token,21,0.3676210045814514,0.04441050150244907
prev_number,1,pre_label_token,21,0.44401732087135315,0.1399474388716826
next_number,1,pre_label_token,21,0.3867360055446625,0.15809231881545582
antonym,1,pre_label_token,22,0.5017254948616028,-0.08707863880724998
synonym,1,pre_label_token,22,0.3668375313282013,0.04644705219957779
prev_number,1,pre_label_token,22,0.4446900486946106,0.13864437869781499
next_number,1,pre_label_token,22,0.3874262273311615,0.15658973561802103
antonym,1,pre_label_token,23,0.5008856654167175,-0.08525899707262385
synonym,1,pre_label_token,23,0.36663010716438293,0.046986228008928266
prev_number,1,pre_label_token,23,0.44425925612449646,0.13947881518446958
next_number,1,pre_label_token,23,0.3868134915828705,0.1579236350368146
antonym,1,pre_label_token,24,0.5005798935890198,-0.08459648734241587
synonym,1,pre_label_token,24,0.36762702465057373,0.04439485300913171
prev_number,1,pre_label_token,24,0.44436103105545044,0.13928167920370682
next_number,1,pre_label_token,24,0.38684743642807007,0.1578497385660944
antonym,1,pre_label_token,25,0.5009669065475464,-0.0854350206130281
synonym,1,pre_label_token,25,0.36861371994018555,0.041830049460859
prev_number,1,pre_label_token,25,0.44265618920326233,0.1425839233558397
next_number,1,pre_label_token,25,0.38476914167404175,0.1623740970227573
antonym,1,pre_label_token,26,0.5016164779663086,-0.08684243407108028
synonym,1,pre_label_token,26,0.36841899156570435,0.042336223992223476
prev_number,1,pre_label_token,26,0.44052860140800476,0.14670501784095058
next_number,1,pre_label_token,26,0.38253793120384216,0.16723134642873083
antonym,1,pre_label_token,27,0.5029418468475342,-0.08971408443383022
synonym,1,pre_label_token,27,0.36978572607040405,0.03878355120245114
prev_number,1,pre_label_token,27,0.4380750358104706,0.15145752472945329
next_number,1,pre_label_token,27,0.38009488582611084,0.17254975133415895
antonym,1,pre_label_token,28,0.5043720006942749,-0.09281277029476831
synonym,1,pre_label_token,28,0.371256947517395,0.03495927634549734
prev_number,1,pre_label_token,28,0.43887975811958313,0.14989879390879257
next_number,1,pre_label_token,28,0.3811926543712616,0.1701599563394478
antonym,1,first_label_token,0,0.43981924653053284,0.04705239670643557
synonym,1,first_label_token,0,0.3106096088886261,0.1926052192683152
prev_number,1,first_label_token,0,0.4147179126739502,0.19669979936579363
next_number,1,first_label_token,0,0.3505287170410156,0.23691403148002632
antonym,1,first_label_token,1,0.44214874505996704,0.04200511863024503
synonym,1,first_label_token,1,0.3082841634750366,0.19864995335277102
prev_number,1,first_label_token,1,0.41897299885749817,0.18845778357505727
next_number,1,first_label_token,1,0.35837361216545105,0.21983603158175558
antonym,1,first_label_token,2,0.4397931396961212,0.04710896186468727
synonym,1,first_label_token,2,0.3100217580795288,0.19413327140041847
prev_number,1,first_label_token,2,0.3991812765598297,0.2267939489702402
next_number,1,first_label_token,2,0.34180352091789246,0.2559084088604139
antonym,1,first_label_token,3,0.44428926706314087,0.03736729223039459
synonym,1,first_label_token,3,0.31375205516815186,0.18443678322444335
prev_number,1,first_label_token,3,0.40248754620552063,0.22038977160396767
next_number,1,first_label_token,3,0.34552881121635437,0.24779861181035578
antonym,1,first_label_token,4,0.4357391893863678,0.05589257527411662
synonym,1,first_label_token,4,0.30934709310531616,0.1958869872010044
prev_number,1,first_label_token,4,0.40492451190948486,0.21566941837323506
next_number,1,first_label_token,4,0.3486820459365845,0.2409341551953047
antonym,1,first_label_token,5,0.41469135880470276,0.10149649066787891
synonym,1,first_label_token,5,0.30884692072868347,0.1971871290987529
prev_number,1,first_label_token,5,0.4108593165874481,0.20417382186573418
next_number,1,first_label_token,5,0.35485705733299255,0.2274914204835048
antonym,1,first_label_token,6,0.41542860865592957,0.09989910609615493
synonym,1,first_label_token,6,0.3112887740135193,0.19083980583163573
prev_number,1,first_label_token,6,0.40936514735221863,0.20706799742401283
next_number,1,first_label_token,6,0.35556328296661377,0.225953997597943
