task,train_metric,test_setting,product,best_layer,best_acc,acc_L9,baseline
ag_news,zeroshot,test_zeroshot,cie10,8,0.5667,0.4333,0.0000
ag_news,zeroshot,test_zeroshot,cie40,0,0.7667,0.6667,0.0000
ag_news,zeroshot,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
ag_news,-,test_zeroshot,mean_act,15,0.1667,0.0333,0.0000
ag_news,zeroshot,test_sametask_shuffled10,cie10,7,0.8000,0.7333,0.7000
ag_news,zeroshot,test_sametask_shuffled10,cie40,0,0.7667,0.6333,0.7000
ag_news,zeroshot,test_sametask_shuffled10,sparse,0,0.7000,0.7000,0.7000
ag_news,-,test_sametask_shuffled10,mean_act,0,0.7333,0.6000,0.7000
ag_news,zeroshot,test_mixedtask10,cie10,0,0.6333,0.6000,0.0000
ag_news,zeroshot,test_mixedtask10,cie40,0,0.7333,0.7000,0.0000
ag_news,zeroshot,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
ag_news,-,test_mixedtask10,mean_act,24,0.3667,0.0000,0.0000
ag_news,sametask_shuffled10,test_zeroshot,cie10,1,0.3667,0.2000,0.0000
ag_news,sametask_shuffled10,test_zeroshot,cie40,0,0.6667,0.5667,0.0000
ag_news,sametask_shuffled10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
ag_news,sametask_shuffled10,test_sametask_shuffled10,cie10,7,0.8000,0.7333,0.7000
ag_news,sametask_shuffled10,test_sametask_shuffled10,cie40,4,0.7667,0.7000,0.7000
ag_news,sametask_shuffled10,test_sametask_shuffled10,sparse,0,0.7000,0.7000,0.7000
ag_news,sametask_shuffled10,test_mixedtask10,cie10,0,0.5333,0.4667,0.0000
ag_news,sametask_shuffled10,test_mixedtask10,cie40,0,0.7000,0.6667,0.0000
ag_news,sametask_shuffled10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
ag_news,mixedtask10,test_zeroshot,cie10,8,0.5667,0.4333,0.0000
ag_news,mixedtask10,test_zeroshot,cie40,0,0.7333,0.6333,0.0000
ag_news,mixedtask10,test_zeroshot,sparse,0,0.0000,0.0000,0.0000
ag_news,mixedtask10,test_sametask_shuffled10,cie10,7,0.8000,0.7333,0.7000
ag_news,mixedtask10,test_sametask_shuffled10,cie40,2,0.7667,0.6667,0.7000
ag_news,mixedtask10,test_sametask_shuffled10,sparse,0,0.7000,0.7000,0.7000
ag_news,mixedtask10,test_mixedtask10,cie10,0,0.6333,0.6000,0.0000
ag_news,mixedtask10,test_mixedtask10,cie40,0,0.7333,0.6667,0.0000
ag_news,mixedtask10,test_mixedtask10,sparse,0,0.0000,0.0000,0.0000
antonym,zeroshot,test_zeroshot,cie10,12,0.4333,0.2667,0.0000
antonym,zeroshot,test_zeroshot,cie40,6,0.4667,0.3667,0.0000
antonym,zeroshot,test_zeroshot,sparse,3,0.3000,0.2333,0.0000
