task,y_zs_best,fail,shuf10_baseline,npc90_unc,sr_centered,fv_norm_median,cie_max,cie_top10_mean,label_ntok_mean,n_unique_out,out_entropy,clean10
national_parks,0.633,0,0.633,1,13.58,54.5,0.0094,0.0030,1.27,47,5.21,0.6666666666666666
english-spanish,0.700,0,0.667,63,16.75,59.1,0.0006,0.0003,2.90,150,7.23,0.8333333333333334
next_capital_letter,0.300,1,0.067,14,10.88,67.5,0.0012,0.0008,1.00,24,4.45,0.03333333333333333
commonsense_qa,0.400,0,0.100,1,6.20,59.6,0.0355,0.0200,1.00,5,2.31,0.1
capitalize_last_letter,0.300,1,0.200,21,14.01,67.4,0.0007,0.0004,1.00,21,3.77,0.23333333333333334
country-capital,0.933,0,0.567,2,12.54,43.2,0.0398,0.0077,2.37,150,7.23,0.9666666666666667
english-french,0.667,0,0.567,60,13.54,59.1,0.0023,0.0009,2.37,150,7.23,0.8
ag_news,0.767,0,0.700,1,5.33,60.1,0.0008,0.0003,1.00,4,2.00,0.7333333333333333
sentiment,0.967,0,0.800,1,8.26,75.8,0.0000,0.0000,1.00,2,0.99,0.8333333333333334
present-past,0.900,0,0.233,26,18.87,72.5,0.0083,0.0049,1.03,150,7.23,0.9333333333333333
person-occupation,0.533,0,0.267,1,8.52,55.5,0.0002,0.0000,1.00,19,2.95,0.26666666666666666
prev_item,0.600,0,0.133,28,6.03,64.1,0.0146,0.0097,1.60,150,7.23,0.6333333333333333
capitalize_second_letter,0.367,1,0.200,19,11.17,67.7,0.0034,0.0016,1.00,18,3.58,0.16666666666666666
lowercase_last_letter,0.200,1,0.200,30,16.48,64.6,0.0007,0.0002,1.00,20,3.66,0.16666666666666666
singular-plural,1.000,0,0.133,27,16.63,67.4,0.0154,0.0081,1.43,150,7.23,1.0
person-sport,1.000,0,0.967,1,8.24,55.4,0.0003,0.0001,1.00,5,2.30,1.0
park-country,0.633,0,0.533,4,11.91,52.7,0.0154,0.0039,1.53,90,6.29,0.5666666666666667
english-german,0.467,0,0.467,64,17.33,57.8,0.0003,0.0002,3.33,150,7.23,0.4666666666666667
person-instrument,0.667,0,0.567,1,6.90,59.3,0.0009,0.0002,1.00,4,1.82,0.5666666666666667
next_item,0.833,0,0.133,22,5.86,64.0,0.0407,0.0233,1.80,150,7.23,0.8
landmark-country,0.767,0,0.800,5,12.91,57.0,0.0040,0.0012,1.00,52,5.17,0.8
word_length,0.367,1,0.167,2,7.33,66.1,0.0026,0.0015,1.00,11,2.99,0.23333333333333334
capitalize_first_letter,1.000,0,0.733,39,21.17,66.7,0.0041,0.0016,1.00,25,4.37,0.9666666666666667
synonym,0.300,1,0.100,44,13.23,55.9,0.0029,0.0016,1.03,148,7.20,0.23333333333333334
lowercase_first_letter,0.967,0,0.467,34,23.29,67.1,0.0016,0.0008,1.00,24,4.38,0.9666666666666667
product-company,0.833,0,0.600,10,9.56,52.6,0.0218,0.0083,1.00,27,4.06,0.8666666666666667
capitalize,1.000,0,0.100,44,16.34,65.7,0.0427,0.0080,1.33,150,7.23,1.0
country-currency,0.433,0,0.300,10,11.30,48.3,0.0125,0.0049,5.73,124,6.63,0.4666666666666667
antonym,0.567,0,0.500,46,13.85,57.8,0.0033,0.0018,1.27,147,7.19,0.7
