task,group,blank_baseline,real1shot_baseline,blank_dot_perhead_best,blank_dot_perhead_best_alpha,real1shot_dot_perhead_best,blank_cosine_perhead_best,blank_cosine_perhead_best_alpha,real1shot_cosine_perhead_best
adjective_to_adverb,train,0.0,0.2533,0.0533,1.0,0.3067,0.1,2.0,0.32
adjective_to_noun,train,0.0,0.12,0.1733,1.0,0.1733,0.1,2.0,0.18
ag_news,heldout,0.0,0.1533,0.0,0.5,0.1733,0.0067,1.0,0.18
agent_noun_to_verb,train,0.0,0.2333,0.1533,1.0,0.2667,0.08,2.0,0.28
animal_class,train,0.0,0.2333,0.0733,0.5,0.2533,0.0533,1.0,0.32
animal_plant_object,train,0.0,0.08,0.08,0.5,0.0867,0.0467,1.0,0.1467
antonym,train,0.0067,0.0333,0.0667,4.0,0.14,0.0533,4.0,0.12
article_choice,train,0.0,0.06,0.0133,4.0,0.0867,0.0133,1.0,0.12
capitalize,train,0.0,0.2733,0.0667,4.0,0.2733,0.1133,4.0,0.3533
capitalize_first_letter,train,0.0,0.0733,0.1333,0.5,0.1733,0.1133,2.0,0.2267
city-country,train,0.0,0.3533,0.04,4.0,0.3,0.0333,2.0,0.4267
compound_first,train,0.0,0.1133,0.16,4.0,0.3,0.1133,4.0,0.26
concrete_abstract,train,0.0,0.02,0.0133,0.5,0.0667,0.0133,2.0,0.0667
contains_letter_e,train,0.0,0.2267,0.1067,0.5,0.2267,0.1333,1.0,0.2533
country-capital,train,0.0067,0.46,0.1867,1.0,0.46,0.22,2.0,0.56
day_after_textual_date,train,0.0,0.4267,0.0,0.5,0.4067,0.0067,0.5,0.3867
ends_with_ing,heldout,0.0,0.26,0.1267,0.5,0.32,0.1267,2.0,0.3133
english-french,heldout,0.0,0.1867,0.1667,2.0,0.3067,0.2667,4.0,0.3133
english-italian,train,0.0,0.2333,0.1933,4.0,0.2667,0.2867,4.0,0.2867
english-portuguese,train,0.0,0.28,0.1,4.0,0.2867,0.2533,4.0,0.3467
english-spanish,train,0.0,0.2933,0.0867,1.0,0.3133,0.2533,4.0,0.3667
first_digit,heldout,0.0067,0.06,0.0333,0.5,0.1067,0.0133,0.5,0.06
first_three_letters,train,0.0,0.1,0.2733,2.0,0.2467,0.22,4.0,0.28
french-english,heldout,0.0067,0.4533,0.2467,1.0,0.4933,0.22,2.0,0.5267
french_noun_gender,train,0.0,0.1867,0.0067,1.0,0.1467,0.0133,1.0,0.28
german-english,train,0.0,0.2933,0.2667,4.0,0.46,0.2267,4.0,0.4467
german_noun_gender,train,0.0,0.0933,0.0267,4.0,0.2067,0.0067,2.0,0.2133
gerund_to_base,heldout,0.0067,0.2133,0.24,1.0,0.5,0.1467,2.0,0.36
gerund_to_past,train,0.0,0.1733,0.0733,0.5,0.2133,0.0333,2.0,0.22
hypernym_category,train,0.0,0.12,0.0733,4.0,0.1267,0.0333,4.0,0.1733
initials_two_words,heldout,0.0,0.04,0.0267,0.5,0.1733,0.04,2.0,0.2933
iso_date_to_month,train,0.0,0.3333,0.0,0.5,0.22,0.0067,0.5,0.3
iso_date_year_plus_one,train,0.0,0.1133,0.0,0.5,0.1333,0.0,0.5,0.2333
landmark-country,train,0.0,0.1533,0.02,1.0,0.14,0.0333,2.0,0.2533
language_identification,train,0.0,0.12,0.0133,1.0,0.14,0.0267,4.0,0.2067
larger_of_pair,train,0.0,0.24,0.0333,1.0,0.2267,0.0533,1.0,0.3
larger_than_1000,train,0.0,0.18,0.06,1.0,0.1867,0.04,1.0,0.18
lowercase_first_letter,train,0.0,0.16,0.0533,0.5,0.3,0.1067,2.0,0.2667
lowercase_word,train,0.0,0.4267,0.3133,1.0,0.66,0.2533,2.0,0.6133
national_parks,train,0.0,0.2933,0.0333,1.0,0.2333,0.02,1.0,0.2667
natural_manmade,train,0.0,0.02,0.0,0.5,0.0867,0.0,0.5,0.1067
next_item,train,0.0067,0.1133,0.22,4.0,0.2,0.2267,2.0,0.2733
next_month_of_date,train,0.0,0.1467,0.0267,0.5,0.2,0.0067,0.5,0.2133
next_number_digits,train,0.0,0.2533,0.06,1.0,0.3867,0.1,2.0,0.52
number_word_to_digits,train,0.0,0.5467,0.18,1.0,0.4667,0.18,2.0,0.44
