task,group,blank_baseline,real1shot_baseline,blank_dot_perhead_best,blank_dot_perhead_best_alpha,real1shot_dot_perhead_best,blank_cosine_perhead_best,blank_cosine_perhead_best_alpha,real1shot_cosine_perhead_best
park-country,train,0.0,0.2933,0.0267,1.0,0.2267,0.0067,2.0,0.3867
past_to_base,heldout,0.0067,0.2133,0.2067,0.5,0.4267,0.2,2.0,0.4
person-instrument,train,0.0,0.1333,0.02,4.0,0.1,0.0133,2.0,0.1533
person-sport,train,0.0,0.2933,0.0467,4.0,0.38,0.0333,4.0,0.4733
person_place_thing,heldout,0.0,0.04,0.0067,1.0,0.0467,0.02,2.0,0.1067
plural_to_singular,train,0.0067,0.1933,0.2,2.0,0.3,0.1333,4.0,0.3267
pos_label,heldout,0.0,0.1267,0.0067,4.0,0.1467,0.0067,2.0,0.1733
present-past,train,0.0,0.24,0.08,1.0,0.3267,0.0533,1.0,0.34
prev_number_digits,train,0.0,0.0867,0.02,0.5,0.3133,0.06,1.0,0.28
product-company,train,0.0,0.1,0.0133,0.5,0.0867,0.0,0.5,0.1133
sentiment,train,0.0,0.2267,0.0333,1.0,0.3333,0.0267,2.0,0.2533
singular-plural,train,0.0,0.4667,0.2933,0.5,0.56,0.1333,2.0,0.46
singular_or_plural,train,0.0,0.1533,0.02,1.0,0.1467,0.0133,1.0,0.2267
smaller_of_pair,heldout,0.0,0.2867,0.0267,0.5,0.2067,0.0333,1.0,0.2533
spanish-english,heldout,0.0067,0.4667,0.18,1.0,0.5267,0.16,1.0,0.5267
spanish_noun_gender,train,0.0,0.1667,0.0,0.5,0.1333,0.0,0.5,0.2533
starts_with_vowel,train,0.0,0.0867,0.0,0.5,0.0867,0.0067,0.5,0.06
third_person_to_base,train,0.0,0.2267,0.3,0.5,0.46,0.1867,4.0,0.4133
titlecase_phrase,train,0.0,0.1667,0.0067,1.0,0.16,0.0,0.5,0.1933
uppercase_word,heldout,0.0,0.22,0.12,4.0,0.3733,0.0733,4.0,0.34
us-city-state,train,0.0067,0.4333,0.0467,1.0,0.2467,0.0533,2.0,0.3533
verb_tense_label,train,0.0,0.0667,0.0067,4.0,0.08,0.0133,2.0,0.0933
verb_to_third_person,train,0.0,0.2867,0.22,1.0,0.38,0.08,2.0,0.3867
word_polarity,heldout,0.0,0.18,0.0267,1.0,0.1667,0.06,1.0,0.32
