task,group,baseline,projout_only,direct_a0.5,patch_a0.5,direct_a1.0,patch_a1.0,direct_a2.0,patch_a2.0,direct_a4.0,patch_a4.0,direct_best,patch_best
adjective_to_adverb,train,0.0,0.0,0.0467,0.0,0.0533,0.0067,0.0,0.0133,0.02,0.0,0.0533,0.0133
adjective_to_noun,train,0.0,0.0,0.1067,0.06,0.1733,0.12,0.1,0.1333,0.1467,0.0933,0.1733,0.1333
ag_news,heldout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
agent_noun_to_verb,train,0.0,0.0067,0.0667,0.0267,0.1533,0.14,0.08,0.1067,0.0667,0.1067,0.1533,0.14
animal_class,train,0.0,0.0,0.0733,0.0,0.0733,0.0,0.0733,0.0333,0.0467,0.0267,0.0733,0.0333
animal_plant_object,train,0.0,0.0,0.08,0.0,0.0467,0.0067,0.0067,0.0,0.0067,0.0,0.08,0.0067
antonym,train,0.0067,0.0,0.0133,0.0,0.0333,0.0133,0.04,0.0133,0.0667,0.0133,0.0667,0.0133
article_choice,train,0.0,0.0,0.0067,0.0,0.0,0.0067,0.0,0.0067,0.0133,0.0,0.0133,0.0067
capitalize,train,0.0,0.0,0.02,0.0467,0.04,0.1267,0.06,0.1467,0.0667,0.08,0.0667,0.1467
capitalize_first_letter,train,0.0,0.0,0.1333,0.0,0.0667,0.0,0.0533,0.0067,0.0267,0.0,0.1333,0.0067
city-country,train,0.0,0.0,0.0133,0.0133,0.0267,0.0,0.0,0.0133,0.04,0.0,0.04,0.0133
compound_first,train,0.0,0.0067,0.0933,0.06,0.0733,0.18,0.0867,0.1733,0.16,0.18,0.16,0.18
concrete_abstract,train,0.0,0.0,0.0133,0.0,0.0133,0.0,0.0,0.0,0.0,0.0,0.0133,0.0
contains_letter_e,train,0.0,0.0,0.1067,0.0267,0.06,0.0067,0.04,0.0067,0.0533,0.0133,0.1067,0.0267
country-capital,train,0.0067,0.0,0.08,0.0,0.1867,0.0067,0.1333,0.0267,0.0533,0.04,0.1867,0.04
day_after_textual_date,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ends_with_ing,heldout,0.0,0.0,0.1267,0.0267,0.06,0.0267,0.0733,0.0067,0.0733,0.0067,0.1267,0.0267
english-french,heldout,0.0,0.0,0.0067,0.0,0.1133,0.0,0.1667,0.0,0.14,0.0067,0.1667,0.0067
