property,direction,layer,alpha,overall,coherent_only,unscorable,incoherent,n
double_space,nat,12,1.0,0.833,0.833,0.167,0.0,60
double_space,nat,16,2.0,0.933,0.933,0.067,0.0,60
double_space,nat,20,1.0,0.933,0.933,0.067,0.0,60
double_space,nat,24,0.5,0.983,0.983,0.017,0.0,60
em_dash,alt,2,0.5,0.0,0.0,1.0,0.15,60
em_dash,alt,4,0.5,0.0,0.0,0.942,0.133,60
em_dash,alt,6,0.5,0.017,0.02,0.961,0.15,60
em_dash,alt,8,2.0,0.0,0.0,0.979,0.2,60
em_dash,alt,10,16.0,0.017,0.021,0.958,0.2,60
em_dash,alt,12,0.5,0.0,0.0,1.0,0.15,60
em_dash,alt,16,2.0,0.017,0.019,0.962,0.133,60
em_dash,alt,20,32.0,0.983,0.983,0.017,0.0,60
em_dash,alt,24,16.0,1.0,1.0,0.0,0.0,60
em_dash,nat,2,2.0,0.0,0.0,1.0,0.2,60
em_dash,nat,4,4.0,0.033,0.04,0.96,0.167,60
em_dash,nat,6,16.0,0.017,0.019,0.981,0.1,60
em_dash,nat,8,8.0,0.117,0.135,0.827,0.133,60
em_dash,nat,10,16.0,0.017,0.02,0.941,0.15,60
em_dash,nat,12,8.0,0.033,0.038,0.942,0.133,60
em_dash,nat,16,32.0,0.083,0.085,0.915,0.017,60
em_dash,nat,20,32.0,1.0,1.0,0.0,0.0,60
em_dash,nat,24,16.0,1.0,1.0,0.0,0.0,60
num_words,alt,2,32.0,0.217,0.22,0.746,0.017,60
num_words,alt,4,4.0,0.033,0.033,0.85,0.0,60
num_words,alt,6,32.0,0.533,0.571,0.429,0.067,60
num_words,alt,8,32.0,0.617,0.638,0.362,0.033,60
num_words,alt,10,32.0,0.617,0.617,0.383,0.0,60
num_words,alt,12,32.0,0.5,0.517,0.483,0.033,60
num_words,alt,16,32.0,0.717,0.729,0.271,0.017,60
num_words,alt,20,16.0,1.0,1.0,0.0,0.0,60
num_words,alt,24,16.0,0.933,0.933,0.067,0.0,60
num_words,nat,2,0.5,0.15,0.15,0.7,0.0,60
num_words,nat,4,32.0,0.083,0.089,0.911,0.067,60
num_words,nat,6,1.0,0.133,0.133,0.767,0.0,60
num_words,nat,8,1.0,0.15,0.15,0.733,0.0,60
num_words,nat,10,32.0,0.233,0.241,0.759,0.033,60
num_words,nat,12,32.0,0.167,0.179,0.821,0.067,60
num_words,nat,16,8.0,0.233,0.233,0.767,0.0,60
num_words,nat,20,32.0,0.583,0.593,0.407,0.017,60
num_words,nat,24,16.0,0.6,0.61,0.39,0.017,60
ordinal_words,alt,2,1.0,0.167,0.167,0.833,0.0,60
ordinal_words,alt,4,1.0,0.133,0.133,0.867,0.0,60
ordinal_words,alt,6,4.0,0.117,0.117,0.883,0.0,60
ordinal_words,alt,8,32.0,0.383,0.397,0.603,0.033,60
ordinal_words,alt,10,16.0,0.217,0.224,0.776,0.033,60
ordinal_words,alt,12,32.0,0.633,0.679,0.321,0.067,60
ordinal_words,alt,16,32.0,0.85,0.895,0.105,0.05,60
ordinal_words,alt,20,16.0,0.55,0.6,0.382,0.083,60
ordinal_words,alt,24,16.0,0.883,0.883,0.117,0.0,60
ordinal_words,nat,2,0.5,0.0,0.0,0.814,0.017,60
ordinal_words,nat,4,0.5,0.0,0.0,0.9,0.0,60
ordinal_words,nat,6,0.5,0.0,0.0,0.883,0.0,60
ordinal_words,nat,8,1.0,0.017,0.017,0.847,0.017,60
ordinal_words,nat,10,0.5,0.0,0.0,0.817,0.0,60
ordinal_words,nat,12,0.5,0.0,0.0,0.9,0.0,60
ordinal_words,nat,16,16.0,0.033,0.033,0.967,0.0,60
ordinal_words,nat,20,0.5,0.0,0.0,0.867,0.0,60
ordinal_words,nat,24,16.0,0.017,0.018,0.965,0.05,60
oxford_comma,alt,2,0.5,0.283,0.283,0.383,0.0,60
oxford_comma,alt,4,1.0,0.15,0.15,0.417,0.0,60
oxford_comma,alt,6,0.5,0.133,0.133,0.4,0.0,60
oxford_comma,alt,8,2.0,0.2,0.2,0.367,0.0,60
oxford_comma,alt,10,8.0,0.4,0.4,0.317,0.0,60
oxford_comma,alt,12,8.0,0.583,0.583,0.3,0.0,60
oxford_comma,alt,16,16.0,1.0,1.0,0.0,0.0,60
oxford_comma,alt,20,8.0,0.967,0.983,0.017,0.017,60
oxford_comma,alt,24,8.0,1.0,1.0,0.0,0.0,60
oxford_comma,nat,2,1.0,0.433,0.433,0.383,0.0,60
oxford_comma,nat,4,4.0,0.367,0.367,0.433,0.0,60
oxford_comma,nat,6,32.0,0.35,0.356,0.525,0.017,60
oxford_comma,nat,8,0.5,0.467,0.467,0.333,0.0,60
oxford_comma,nat,10,4.0,0.583,0.583,0.333,0.0,60
oxford_comma,nat,12,8.0,0.533,0.533,0.433,0.0,60
oxford_comma,nat,16,0.5,0.483,0.483,0.5,0.0,60
oxford_comma,nat,20,0.5,0.583,0.583,0.417,0.0,60
oxford_comma,nat,24,0.5,0.6,0.6,0.383,0.0,60
percent_sign,alt,2,32.0,0.333,0.339,0.356,0.017,60
percent_sign,alt,4,16.0,0.367,0.367,0.3,0.0,60
percent_sign,alt,6,8.0,0.55,0.55,0.45,0.0,60
percent_sign,alt,8,32.0,0.933,0.949,0.051,0.017,60
percent_sign,alt,10,32.0,0.967,0.967,0.033,0.0,60
percent_sign,alt,12,32.0,0.95,0.966,0.034,0.017,60
percent_sign,alt,16,32.0,1.0,1.0,0.0,0.0,60
percent_sign,alt,20,8.0,1.0,1.0,0.0,0.0,60
percent_sign,alt,24,8.0,1.0,1.0,0.0,0.0,60
percent_sign,nat,2,0.5,0.533,0.542,0.305,0.017,60
percent_sign,nat,4,16.0,0.55,0.55,0.283,0.0,60
percent_sign,nat,6,8.0,0.683,0.683,0.317,0.0,60
percent_sign,nat,8,32.0,0.967,1.0,0.0,0.033,60
percent_sign,nat,10,32.0,0.967,0.983,0.017,0.017,60
percent_sign,nat,12,32.0,1.0,1.0,0.0,0.0,60
percent_sign,nat,16,32.0,0.983,1.0,0.0,0.017,60
percent_sign,nat,20,16.0,0.95,0.983,0.017,0.033,60
percent_sign,nat,24,8.0,1.0,1.0,0.0,0.0,60
quote_punct,alt,2,32.0,0.05,0.053,0.035,0.05,60
quote_punct,alt,4,0.5,0.017,0.018,0.071,0.067,60
quote_punct,alt,6,2.0,0.017,0.017,0.102,0.017,60
quote_punct,alt,8,0.5,0.017,0.018,0.123,0.05,60
quote_punct,alt,10,32.0,0.433,0.441,0.153,0.017,60
quote_punct,alt,12,32.0,0.5,0.5,0.15,0.0,60
quote_punct,alt,16,32.0,0.983,1.0,0.0,0.017,60
quote_punct,alt,20,16.0,0.917,1.0,0.0,0.083,60
quote_punct,alt,24,8.0,0.933,0.966,0.017,0.033,60
quote_punct,nat,2,8.0,0.817,0.875,0.089,0.067,60
quote_punct,nat,4,16.0,0.783,0.825,0.123,0.05,60
quote_punct,nat,6,16.0,0.85,0.879,0.103,0.033,60
quote_punct,nat,8,0.5,0.817,0.86,0.123,0.05,60
quote_punct,nat,10,8.0,0.867,0.929,0.071,0.067,60
quote_punct,nat,12,0.5,0.85,0.879,0.069,0.033,60
quote_punct,nat,16,1.0,0.85,0.895,0.105,0.05,60
quote_punct,nat,20,2.0,0.917,0.948,0.052,0.033,60
quote_punct,nat,24,8.0,0.917,0.948,0.052,0.033,60
sentence_caps,alt,2,0.5,0.0,0.0,0.0,0.017,60
sentence_caps,alt,4,32.0,0.317,0.345,0.018,0.083,60
sentence_caps,alt,6,16.0,0.75,0.849,0.132,0.117,60
sentence_caps,alt,8,32.0,0.75,0.918,0.082,0.183,60
sentence_caps,alt,10,32.0,0.867,0.981,0.019,0.117,60
sentence_caps,alt,12,16.0,0.85,1.0,0.0,0.15,60
sentence_caps,alt,16,8.0,0.8,0.941,0.059,0.15,60
sentence_caps,alt,20,8.0,0.85,0.962,0.019,0.117,60
