layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout,mean_shared_control
6,2.0,0.3357,0.2967,0.3401,0.3180,0.0296
6,4.0,0.3691,0.3767,0.3732,0.3524,0.0303
6,best,0.4161,0.4133,0.4229,0.3888,
7,0.5,0.0250,0.0000,0.0213,0.0400,0.0069
7,1.0,0.1771,0.0333,0.1827,0.1543,0.0142
7,2.0,0.3444,0.3066,0.3514,0.3158,0.0388
7,4.0,0.3927,0.3800,0.3951,0.3829,0.0364
7,best,0.4328,0.4133,0.4364,0.4183,
8,0.5,0.0284,0.0000,0.0261,0.0379,0.0060
8,1.0,0.2963,0.2434,0.3126,0.2305,0.0095
8,2.0,0.4918,0.4933,0.5064,0.4323,0.0421
8,4.0,0.4826,0.5067,0.4954,0.4306,0.0475
8,best,0.5335,0.5700,0.5500,0.4666,
9,0.5,0.0301,0.0000,0.0249,0.0516,0.0106
9,1.0,0.2651,0.1632,0.2753,0.2237,0.0151
9,2.0,0.4641,0.4800,0.4746,0.4215,0.0428
9,4.0,0.4788,0.5033,0.4902,0.4327,0.0458
9,best,0.5219,0.5734,0.5348,0.4695,
10,0.5,0.0244,0.0000,0.0210,0.0379,0.0072
10,1.0,0.2106,0.0900,0.2182,0.1799,0.0102
10,2.0,0.4589,0.5033,0.4725,0.4037,0.0382
10,4.0,0.4585,0.4967,0.4674,0.4226,0.0535
10,best,0.5028,0.5400,0.5176,0.4429,
11,0.5,0.0358,0.0000,0.0312,0.0544,0.0077
11,1.0,0.2786,0.1767,0.2874,0.2430,0.0110
11,2.0,0.5135,0.5800,0.5280,0.4548,0.0497
11,4.0,0.5012,0.5167,0.5114,0.4601,0.0639
11,best,0.5464,0.5934,0.5610,0.4874,
12,0.5,0.0372,0.0000,0.0332,0.0530,0.0063
12,1.0,0.3150,0.2633,0.3264,0.2689,0.0101
12,2.0,0.5398,0.5933,0.5556,0.4757,0.0469
12,4.0,0.4970,0.5467,0.5078,0.4531,0.0656
12,best,0.5550,0.6034,0.5720,0.4859,
13,0.5,0.0378,0.0000,0.0336,0.0551,0.0050
13,1.0,0.2971,0.2334,0.2989,0.2896,0.0101
13,2.0,0.5168,0.5500,0.5318,0.4561,0.0541
13,4.0,0.4607,0.4533,0.4669,0.4358,0.0627
13,best,0.5277,0.5733,0.5423,0.4687,
14,0.5,0.0424,0.0000,0.0372,0.0635,0.0067
14,1.0,0.3366,0.3234,0.3453,0.3013,0.0148
14,2.0,0.5187,0.5433,0.5319,0.4650,0.0563
14,4.0,0.4224,0.3900,0.4288,0.3962,0.0592
14,best,0.5279,0.5567,0.5390,0.4828,
15,0.5,0.0394,0.0000,0.0342,0.0607,0.0063
15,1.0,0.2993,0.2300,0.3026,0.2858,0.0138
15,2.0,0.4809,0.4933,0.4865,0.4583,0.0465
15,4.0,0.4104,0.3800,0.4140,0.3959,0.0454
15,best,0.4851,0.4967,0.4904,0.4635,
16,0.5,0.0303,0.0000,0.0258,0.0484,0.0051
16,1.0,0.1784,0.0700,0.1803,0.1705,0.0109
16,2.0,0.3498,0.2966,0.3515,0.3426,0.0407
16,4.0,0.3063,0.2534,0.3103,0.2900,0.0413
16,best,0.3546,0.3100,0.3560,0.3490,
17,0.5,0.0172,0.0000,0.0136,0.0316,0.0030
17,1.0,0.1072,0.0300,0.1090,0.0997,0.0072
