family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
py_snake_camel,nat,0,200,0.7,0.633,0.759,0.815,0.03,0.155,0.115,0.865,0.435,0
py_snake_camel,nat,1,200,0.775,0.712,0.827,0.87,0.0,0.13,0.095,0.89,0.455,0
py_snake_camel,nat,2,200,0.865,0.811,0.906,0.925,0.0,0.075,0.06,0.935,0.32,0
py_snake_camel,nat,3,200,0.825,0.766,0.871,0.89,0.0,0.11,0.065,0.935,0.42,0
py_snake_camel,nat,4,200,0.825,0.766,0.871,0.9,0.0,0.1,0.075,0.925,0.435,0
py_snake_camel,alt,0,200,0.005,0.001,0.028,0.01,0.785,0.205,0.005,0.875,0.515,0
py_snake_camel,alt,1,200,0.595,0.526,0.661,0.675,0.2,0.125,0.08,0.895,0.395,0
py_snake_camel,alt,2,200,0.775,0.712,0.827,0.845,0.065,0.09,0.07,0.9,0.36,0
py_snake_camel,alt,3,200,0.775,0.712,0.827,0.83,0.05,0.12,0.055,0.94,0.39,0
py_snake_camel,alt,4,200,0.74,0.675,0.796,0.845,0.055,0.1,0.105,0.875,0.42,0
js_camel_snake,nat,0,200,0.53,0.461,0.598,0.63,0.025,0.345,0.1,0.85,0.48,0
js_camel_snake,nat,1,200,0.715,0.649,0.773,0.79,0.0,0.21,0.075,0.905,0.355,0
js_camel_snake,nat,2,200,0.83,0.772,0.876,0.87,0.0,0.13,0.04,0.945,0.375,0
js_camel_snake,nat,3,200,0.825,0.766,0.871,0.89,0.0,0.11,0.065,0.915,0.315,0
js_camel_snake,nat,4,200,0.845,0.788,0.889,0.925,0.0,0.075,0.08,0.91,0.245,0
js_camel_snake,alt,0,200,0.005,0.001,0.028,0.005,0.71,0.285,0.0,0.93,0.515,0
js_camel_snake,alt,1,200,0.475,0.407,0.544,0.51,0.245,0.245,0.035,0.915,0.43,0
js_camel_snake,alt,2,200,0.775,0.712,0.827,0.815,0.04,0.145,0.04,0.955,0.315,0
js_camel_snake,alt,3,200,0.765,0.702,0.818,0.825,0.055,0.12,0.06,0.91,0.32,0
js_camel_snake,alt,4,200,0.79,0.728,0.841,0.82,0.075,0.105,0.03,0.92,0.32,0
js_func_pascal,nat,0,200,0.39,0.325,0.459,0.475,0.01,0.515,0.085,0.795,0.44,0
js_func_pascal,nat,1,200,0.51,0.441,0.578,0.61,0.0,0.39,0.1,0.84,0.52,0
js_func_pascal,nat,2,200,0.575,0.506,0.641,0.69,0.0,0.31,0.115,0.825,0.46,0
js_func_pascal,nat,3,200,0.585,0.516,0.651,0.675,0.0,0.325,0.09,0.88,0.56,0
