layer,train_accuracy,test_accuracy,train_log_loss,test_log_loss
0,1.0,0.5550541516245487,0.0015630356839501692,0.7463113129636677
1,1.0,0.546028880866426,0.0016899115155637051,0.8176325131921391
2,1.0,0.5803249097472925,0.0016160399443651114,0.7333016015281414
3,1.0,0.5821299638989169,0.001588757260970115,0.7236778150868406
4,1.0,0.6028880866425993,0.0015692417999890762,0.706963474552211
5,1.0,0.7518050541516246,0.0014547874077794661,0.5409086121935597
6,1.0,0.8167870036101083,0.0013550336968163167,0.43176711714420024
7,1.0,0.8646209386281588,0.001291274092822663,0.35060252726417707
8,1.0,0.9133574007220217,0.0010601253179717118,0.2263737431443101
9,1.0,0.9314079422382672,0.000999444493485108,0.18856693335923747
10,1.0,0.9395306859205776,0.0009908174899288939,0.17335494323546793
11,1.0,0.9557761732851986,0.0009590167857377139,0.13266192839299926
12,1.0,0.9657039711191335,0.0009652867166541731,0.11835684928604484
13,1.0,0.9711191335740073,0.0009298975167883828,0.10329228782567162
14,1.0,0.9720216606498195,0.0009513108462618333,0.10375755509987836
15,1.0,0.9729241877256317,0.0009743447952991404,0.11053521769875332
16,1.0,0.9720216606498195,0.0009902346075408729,0.11534385242110029
17,1.0,0.9684115523465704,0.001029108896897173,0.1244842576582244
18,1.0,0.9666064981949458,0.0010476910884312798,0.12974655862800633
19,1.0,0.9648014440433214,0.0010746851749477084,0.1429584315951998
20,1.0,0.9648014440433214,0.0010832467915550992,0.14387202696746793
21,1.0,0.9611913357400722,0.0010987026796408692,0.1494946461863329
22,1.0,0.9557761732851986,0.0011215371752538246,0.16047144456078166
23,1.0,0.9530685920577617,0.0011204448157778092,0.16781413035849757
24,1.0,0.9503610108303249,0.0011233445742176583,0.16923791685163866
25,1.0,0.944043321299639,0.0011173001847583468,0.175222412129597
26,1.0,0.9467509025270758,0.001125207340899769,0.18253847429493586
27,1.0,0.9413357400722022,0.0011308987980679207,0.18765798223845714
28,1.0,0.9431407942238267,0.0011355966914439392,0.18991717582419435
