property,pick,L,alpha,guarded,base_strict,steer_strict,base_adh,base_unscorable,base_incoherent,steer_adh,steer_unscorable,steer_incoherent,steer_n_scored,steer_n_coherent,n,coherence_guard_met,cf_adh,cf_unscorable,cf_incoherent,reference
all_caps,cuediff_k4_cue_nat2alt_best,20,16.0,False,0.0,0.515,0.0,0.005,0.005,0.604,0.148,0.155,144,169,200,False,0.0,0.0,0.02,0.942
ampersand,cuediff_k4_cue_nat2alt_best,12,16.0,True,0.0,0.355,0.0,0.643,0.005,1.0,0.645,0.0,71,200,200,True,0.0,0.804,0.005,0.667
contractions,cuediff_k4_cue_nat2alt_best,16,16.0,True,0.16,0.25,0.604,0.735,0.0,0.794,0.685,0.0,63,200,200,True,0.543,0.823,0.01,0.754
curly_quotes,cuediff_k4_cue_nat2alt_best,12,16.0,True,0.023,0.012,0.182,0.872,0.006,0.1,0.883,0.012,20,171,173,True,0.222,0.844,0.0,0.975
double_space,cuediff_k4_cue_nat2alt_best,16,16.0,True,0.0,0.98,0.0,0.131,0.005,0.995,0.015,0.0,197,200,200,True,0.0,0.09,0.06,0.864
em_dash,cuediff_k4_cue_nat2alt_best,16,16.0,True,0.019,0.019,0.182,0.895,0.0,0.4,0.952,0.01,5,104,105,True,0.286,0.933,0.0,1.0
num_words,cuediff_k4_cue_nat2alt_best,8,16.0,True,0.047,0.388,0.333,0.859,0.0,0.971,0.6,0.0,34,85,85,True,,1.0,0.012,0.856
ordinal_words,cuediff_k4_cue_nat2alt_best,2,0.5,True,0.151,0.12,0.968,0.844,0.005,1.0,0.88,0.0,24,200,200,True,1.0,0.874,0.005,0.994
oxford_comma,cuediff_k4_cue_nat2alt_best,16,8.0,True,0.149,0.836,0.227,0.343,0.0,0.982,0.149,0.0,57,67,67,True,,1.0,0.09,0.85
percent_sign,cuediff_k4_cue_nat2alt_best,6,16.0,True,0.146,0.369,0.246,0.408,0.01,1.0,0.631,0.01,38,103,104,True,0.21,0.404,0.0,0.966
quote_punct,cuediff_k4_cue_nat2alt_best,20,16.0,True,0.056,1.0,0.059,0.063,0.0,1.0,0.0,0.0,126,126,126,True,0.087,0.183,0.0,0.901
sentence_caps,cuediff_k4_cue_nat2alt_best,6,16.0,True,0.0,0.875,0.0,0.06,0.005,0.971,0.099,0.04,173,192,200,True,0.0,0.04,0.005,0.798
us_uk,cuediff_k4_cue_nat2alt_best,24,16.0,True,0.01,0.613,0.041,0.755,0.0,0.968,0.367,0.005,126,199,200,True,0.2,0.799,0.005,0.917
