property,n_heads,inject_block,overlap_with_37_icl,heads_layer_range
all_caps,135,23,17,0-27
ampersand,130,5,5,0-27
brit_t_past,128,1,11,0-27
contractions,86,5,4,0-27
curly_quotes,114,3,8,0-27
double_space,196,9,18,0-27
ellipsis,150,1,17,0-27
em_dash,157,1,10,0-27
ise_ize,122,11,10,0-27
num_words,91,15,9,0-26
ordinal_words,132,1,8,0-27
oxford_comma,69,3,6,0-27
percent_sign,98,1,6,0-27
quote_punct,155,3,15,0-27
sentence_caps,132,11,11,0-27
us_uk,92,11,9,0-27
