method,alt_mean,alt_ci_lo,alt_ci_hi,alt_n_props,nat_mean,nat_ci_lo,nat_ci_hi,nat_n_props
meandiff_paired__kall__succyes,0.8342,0.6741,0.9522,13,0.7627,0.5768,0.9215,13
meandiff_unpaired__kall__succyes,0.8225,0.6564,0.9466,13,0.7675,0.5891,0.9213,13
meandiff_unpaired__k2__succyes,0.8289,0.6689,0.9525,13,0.758,0.5741,0.9149,13
meandiff_paired__k2__succno,0.8282,0.6718,0.9392,13,0.7582,0.5718,0.9127,13
meandiff_unpaired__k2__succno,0.8282,0.6792,0.9411,13,0.7582,0.5728,0.9157,13
meandiff_paired__k2__succyes,0.8152,0.6564,0.9458,13,0.7658,0.5762,0.9227,13
meandiff_paired__kall__succno,0.8041,0.6352,0.9352,13,0.7538,0.581,0.8996,13
meandiff_unpaired__kall__succno,0.8041,0.6411,0.9348,13,0.7538,0.5847,0.8971,13
meanact__k2__succyes,0.6305,0.413,0.8306,13,0.7081,0.5168,0.8765,13
meanact__kall__succyes,0.6135,0.3997,0.8078,13,0.7118,0.5242,0.8799,13
meanact__k2__succno,0.6258,0.4308,0.8045,13,0.6854,0.4872,0.8592,13
meanact__kall__succno,0.5681,0.3757,0.758,13,0.6863,0.4828,0.8659,13
