property,unsteered_alt,reference_alt,unsteered_nat,reference_nat,meanact__k2__succno::steered_alt,meanact__k2__succno::steered_nat,meanact__k2__succyes::steered_alt,meanact__k2__succyes::steered_nat,meanact__kall__succno::steered_alt,meanact__kall__succno::steered_nat,meanact__kall__succyes::steered_alt,meanact__kall__succyes::steered_nat,meandiff_paired__k2__succno::steered_alt,meandiff_paired__k2__succno::steered_nat,meandiff_paired__k2__succyes::steered_alt,meandiff_paired__k2__succyes::steered_nat,meandiff_paired__kall__succno::steered_alt,meandiff_paired__kall__succno::steered_nat,meandiff_paired__kall__succyes::steered_alt,meandiff_paired__kall__succyes::steered_nat,meandiff_unpaired__k2__succno::steered_alt,meandiff_unpaired__k2__succno::steered_nat,meandiff_unpaired__k2__succyes::steered_alt,meandiff_unpaired__k2__succyes::steered_nat,meandiff_unpaired__kall__succno::steered_alt,meandiff_unpaired__kall__succno::steered_nat,meandiff_unpaired__kall__succyes::steered_alt,meandiff_unpaired__kall__succyes::steered_nat
all_caps,0.01,0.936,0.419,1.0,0.184,0.974,0.183,0.974,0.19,0.969,0.185,0.969,0.824,0.974,0.837,0.974,0.685,0.979,0.846,0.979,0.824,0.974,0.832,0.984,0.685,0.979,0.837,0.984
ampersand,0.0,0.128,0.348,0.333,0.979,0.972,0.978,0.908,0.986,1.0,0.964,0.908,1.0,0.986,1.0,1.0,1.0,0.979,1.0,1.0,1.0,0.986,1.0,1.0,1.0,0.979,1.0,0.979
contractions,0.081,0.12,0.069,0.16,0.098,0.121,0.047,0.087,0.092,0.139,0.047,0.146,0.782,0.171,0.511,0.152,0.649,0.224,0.468,0.159,0.782,0.171,0.474,0.124,0.649,0.224,0.437,0.162
curly_quotes,0.006,0.308,0.072,0.316,0.503,0.969,0.076,0.992,0.353,0.925,0.074,0.993,0.049,0.971,0.086,1.0,0.018,0.927,0.08,1.0,0.049,0.971,0.061,1.0,0.018,0.927,0.024,1.0
double_space,0.0,0.658,0.9,0.722,0.848,0.864,0.848,0.894,0.683,0.884,0.854,0.889,0.929,0.909,0.923,0.914,0.98,0.91,0.923,0.909,0.929,0.909,0.923,0.93,0.98,0.91,0.98,0.99
em_dash,0.012,0.464,0.035,0.473,0.936,0.805,1.0,0.959,0.854,0.835,1.0,0.959,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0
num_words,0.074,0.4,0.148,0.235,0.765,0.537,0.827,0.605,0.741,0.512,0.877,0.58,0.864,0.65,0.938,0.679,0.864,0.519,0.938,0.691,0.864,0.65,0.951,0.642,0.864,0.519,0.963,0.654
ordinal_words,0.115,0.169,0.01,0.169,0.66,0.0,0.862,0.112,0.378,0.0,0.699,0.107,0.681,0.025,0.827,0.045,0.58,0.102,0.827,0.045,0.681,0.025,0.924,0.087,0.58,0.102,0.928,0.107
oxford_comma,0.134,0.5,0.485,0.591,0.955,0.672,0.985,0.716,0.94,0.657,0.955,0.687,1.0,0.448,1.0,0.478,1.0,0.552,1.0,0.448,1.0,0.448,1.0,0.448,1.0,0.552,0.985,0.388
percent_sign,0.077,0.695,0.437,0.831,0.913,0.951,0.932,0.913,0.933,0.951,0.883,0.971,0.962,0.99,1.0,1.0,1.0,0.951,0.981,0.99,0.962,0.99,0.942,0.99,1.0,0.951,0.913,0.981
quote_punct,0.017,0.796,0.902,0.965,0.981,0.926,0.982,0.926,1.0,0.926,0.982,0.926,0.992,0.936,1.0,0.976,1.0,0.911,1.0,0.96,0.992,0.936,1.0,0.935,1.0,0.911,0.992,0.927
sentence_caps,0.0,0.702,0.862,0.965,0.293,0.938,0.387,0.938,0.214,0.943,0.378,0.938,1.0,0.905,1.0,0.904,0.994,0.905,1.0,0.904,1.0,0.905,1.0,0.94,0.994,0.905,0.909,0.938
us_uk,0.017,0.15,0.22,0.233,0.021,0.181,0.09,0.181,0.021,0.181,0.078,0.181,0.683,0.891,0.476,0.833,0.683,0.85,0.782,0.83,0.683,0.891,0.669,0.774,0.683,0.85,0.724,0.867
