property,pick,L,alpha,guarded,base_strict,steer_strict,base_adh,base_unscorable,base_incoherent,steer_adh,steer_unscorable,steer_incoherent,steer_n_scored,steer_n_coherent,n,coherence_guard_met,cf_adh,cf_unscorable,cf_incoherent,reference
all_caps,cuediff_cue_nat2alt_L16_a32.0,16,32.0,False,0.0,0.758,0.0,0.005,0.005,0.87,0.129,0.34,115,132,200,False,0.0,0.01,0.015,0.942
ampersand,cuediff_cue_nat2alt_L20_a8.0,20,8.0,True,0.0,0.34,0.0,0.643,0.005,1.0,0.66,0.0,68,200,200,True,0.0,0.735,0.0,0.667
contractions,cuediff_cue_nat2alt_best,24,32.0,True,0.161,0.69,0.604,0.734,0.005,0.972,0.29,0.0,142,200,200,True,0.395,0.79,0.095,0.754
curly_quotes,cuediff_cue_nat2alt_best,20,16.0,True,0.023,0.029,0.182,0.872,0.006,0.357,0.918,0.012,14,171,173,True,0.1,0.942,0.012,0.975
double_space,cuediff_cue_nat2alt_L24_a16.0,24,16.0,True,0.0,1.0,0.0,0.131,0.005,1.0,0.0,0.0,200,200,200,True,0.0,0.04,0.115,0.864
em_dash,cuediff_cue_nat2alt_L20_a16.0,20,16.0,True,0.019,0.105,0.182,0.895,0.0,0.917,0.886,0.0,12,105,105,True,0.143,0.933,0.01,1.0
num_words,cuediff_cue_nat2alt_L10_a32.0,10,32.0,True,0.047,0.417,0.333,0.859,0.0,1.0,0.583,0.012,35,84,85,True,,1.0,0.024,0.856
ordinal_words,cuediff_cue_nat2alt_L2_a8.0,2,8.0,True,0.151,0.155,0.968,0.844,0.005,0.939,0.835,0.0,33,200,200,True,1.0,0.869,0.005,0.994
oxford_comma,cuediff_cue_nat2alt,16,32.0,True,0.149,1.0,0.227,0.343,0.0,1.0,0.0,0.0,67,67,67,True,,1.0,0.209,0.85
percent_sign,cuediff_cue_nat2alt_L8_a8.0,8,8.0,True,0.146,0.558,0.246,0.408,0.01,1.0,0.442,0.0,58,104,104,True,0.215,0.375,0.0,0.966
quote_punct,cuediff_cue_nat2alt_L20_a32.0,20,32.0,True,0.056,1.0,0.059,0.063,0.0,1.0,0.0,0.0,126,126,126,True,0.046,0.135,0.0,0.901
sentence_caps,cuediff_cue_nat2alt_L10_a32.0,10,32.0,True,0.0,1.0,0.0,0.06,0.005,1.0,0.0,0.06,188,188,200,True,0.0,0.045,0.0,0.798
us_uk,cuediff_cue_nat2alt_best,24,32.0,True,0.01,0.57,0.041,0.755,0.0,0.966,0.41,0.0,118,200,200,True,0.12,0.874,0.01,0.917
