icl_example_index,token_role,layer,target_mode,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,train_r2,test_mse_fv,test_r2_fv,test_r2_fv_testmean_baseline,test_mse_pp,test_r2_pp,test_r2_pp_testmean_baseline
2,pre_label_token,0,perprompt,0.1,0.604552149772644,True,3400,1190,0.5626044273376465,0.0,0.3455448278859884,-0.03815165559923428,-0.23616634560151195,0.726439096146271,-5.143666270690517e-08,-0.0936764862374746
2,pre_label_token,1,perprompt,100000.0,0.5320007801055908,False,3400,1190,0.3148565888404846,0.44035884976866035,0.30675357530096997,0.07839242159121451,-0.09739291570329556,0.6759100777762277,0.06955708175886843,-0.01760348912437526
2,pre_label_token,2,perprompt,31622.776601683792,0.5266047716140747,False,3400,1190,0.25682586431503296,0.5435054332395092,0.3078111151687237,0.07521515868356943,-0.10117620252499981,0.6715358990581096,0.07557847978977839,-0.011018028022426352
2,pre_label_token,3,perprompt,10000.0,0.4968302845954895,False,3400,1190,0.20195890963077545,0.6410285809756524,0.3093726502747095,0.07052369718645124,-0.10676250273763621,0.6681213090399735,0.08027892916245882,-0.005877257333200214
2,pre_label_token,4,perprompt,10000.0,0.4562467932701111,False,3400,1190,0.18134962022304535,0.677660517032852,0.2973086156764952,0.10676877012811592,-0.06360412686576411,0.6514518769849248,0.10322570199021452,0.01921908725267696
2,pre_label_token,5,perprompt,31622.776601683792,0.45441734790802,False,3400,1190,0.2056480050086975,0.6344714065229387,0.27706375122070315,0.16759225193435257,0.008820687780200287,0.6323094408051306,0.12957675779925204,0.04803861589617231
2,pre_label_token,6,perprompt,10000.0,0.4362998306751251,False,3400,1190,0.1720435917377472,0.6942014968636295,0.2820979527064732,0.15246754397953788,-0.009188872634170453,0.6306732498297171,0.13182910223976152,0.050501951922959476
2,pre_label_token,7,perprompt,10000.0,0.426766961812973,False,3400,1190,0.16879834234714508,0.6999697582439377,0.27700044808267543,0.16778243929137415,0.009047151041941315,0.6237824480072791,0.14131482817801733,0.06087626680290259
2,pre_label_token,8,perprompt,31622.776601683792,0.423677533864975,False,3400,1190,0.1920422613620758,0.6586549055952917,0.26692220223050156,0.19806142705970664,0.04510148419858173,0.6159962373621324,0.15203315416976115,0.07259864730894061
2,pre_label_token,9,perprompt,10000.0,0.411821573972702,False,3400,1190,0.16082662343978882,0.7141390724547767,0.25499623402827926,0.23389169460995918,0.08776593564036461,0.5998988720549255,0.17419243251889938,0.09683372774481258
