property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,24,8,8.0,32.0,0.0,0.271,0.88,0.016,0.99,0.0,0.166,0.184,0.195,0.101,199,0.056,0.96,0.974,0.979,0.015,199,0.005,0.01,0.377
ampersand,20,20,16.0,16.0,0.0,0.0,0.12,0.761,0.325,0.667,0.965,0.979,0.979,0.014,144,0.0,0.965,0.972,1.0,0.007,144,0.028,0.0,0.326
contractions,6,16,0.5,32.0,0.063,0.04,0.12,0.78,0.16,0.83,0.098,0.098,0.654,0.006,174,0.85,0.121,0.121,0.84,0.006,174,0.855,0.08,0.069
curly_quotes,24,24,16.0,32.0,0.012,0.12,0.306,0.674,0.312,0.684,0.485,0.503,0.659,0.036,167,0.236,0.946,0.969,1.0,0.024,167,0.031,0.006,0.072
double_space,16,8,32.0,16.0,0.0,0.0,0.655,0.196,0.715,0.278,0.84,0.848,0.955,0.01,200,0.111,0.855,0.864,1.0,0.01,200,0.136,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,0.889,0.936,1.0,0.051,99,0.064,0.667,0.805,1.0,0.172,99,0.195,0.01,0.03
num_words,20,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.765,0.765,0.873,0.0,81,0.123,0.531,0.537,0.935,0.012,81,0.425,0.074,0.148
ordinal_words,20,8,16.0,1.0,0.05,0.0,0.169,0.831,0.169,0.759,0.64,0.66,1.0,0.03,200,0.34,0.0,0.0,0.0,0.005,200,0.889,0.115,0.01
oxford_comma,20,16,16.0,16.0,0.0,0.0,0.5,0.455,0.591,0.364,0.955,0.955,0.985,0.0,67,0.03,0.672,0.672,1.0,0.0,67,0.328,0.134,0.478
percent_sign,8,4,8.0,32.0,0.0,0.0,0.695,0.288,0.831,0.169,0.904,0.913,0.94,0.01,104,0.029,0.942,0.951,0.97,0.01,104,0.019,0.077,0.433
quote_punct,16,16,32.0,2.0,0.032,0.744,0.744,0.053,0.917,0.035,0.808,0.981,0.981,0.176,125,0.0,0.896,0.926,0.991,0.032,125,0.066,0.016,0.888
sentence_caps,16,2,4.0,16.0,0.14,0.2,0.695,0.03,0.96,0.03,0.28,0.293,0.309,0.045,200,0.052,0.91,0.938,0.978,0.03,200,0.041,0.0,0.845
us_uk,20,12,1.0,0.25,0.014,0.158,0.15,0.833,0.233,0.767,0.021,0.021,0.107,0.0,146,0.808,0.178,0.181,1.0,0.014,146,0.819,0.017,0.217
