read_layer,write_layer,lam,cv_r2,n_train_centroids,n_test_centroids,r2_centroid_trainmean,r2_centroid_testmean,r2_centroid_shuffled,cos_centroid_mean,cos_centroid_shuffled,cos_conv_mean,cos_conv_shuffled,cos_conv_baseline,r2_conv,prompt_lam,prompt_cos_conv_mean,prompt_r2_trainmean,prompt_r2_centroid_trainmean,prompt_cos_centroid_mean
5,24,0.31622776601683794,0.2882764983597391,88,22,0.274510808161743,0.20949448943902538,-0.07861036034115298,0.5236068619879641,0.0987023746371401,0.304599613522596,0.013781784899274802,0.14020550600500037,0.001717050569801204,10.0,0.3477809503749157,0.09982930151209424,0.313167886067945,0.5775580284281271
6,24,0.31622776601683794,0.28635911429755967,88,22,0.2721934039396735,0.20696940591145208,-0.20543269261515196,0.5153753217994583,-0.045413594467909206,0.31033249970529814,-0.004935222601091403,0.14020550600500037,0.03934605393317547,10.0,0.35894157734790355,0.10404025038617315,0.3235081867616231,0.5792880325539834
7,24,0.31622776601683794,0.2841411353151202,88,22,0.28563639320197076,0.22161711839264242,-0.16573271157059066,0.5309094379636258,-0.008409171172018488,0.3120957334435218,-0.018458345806015856,0.14020550600500037,0.04386028485463711,10.0,0.35854951709914745,0.10662566104605908,0.3282955349961335,0.5843387649098385
8,24,0.31622776601683794,0.2899925213382128,88,22,0.28329395981594774,0.21906476265722308,-0.16372267886146963,0.5304481774364821,-0.020431637355943024,0.3221911634719675,0.01057622812758222,0.14020550600500037,0.05071005991944422,10.0,0.37085144987187424,0.10802444164913239,0.3333661605071492,0.5893317495474931
9,24,0.31622776601683794,0.2878790954888863,88,22,0.27884475986902457,0.21421683781533996,-0.14702195592139744,0.5269034509026089,0.03699560231904055,0.3188035428416234,-0.012880912517247824,0.14020550600500037,0.045372384458761794,10.0,0.3710817952240671,0.10919648420734684,0.33314541640775286,0.5913335773151475
10,24,0.31622776601683794,0.28477384371183145,88,22,0.28158186730511503,0.21719923718885026,-0.18760903810281193,0.5294617308373364,-0.03495457451770349,0.3221178409795857,0.0005502186363202031,0.14020550600500037,0.04112097744041199,10.0,0.37699517937295557,0.11436232862617302,0.3400317119351459,0.5987508563780085
