protocol,family,axis,axis_mates_in_train,baseline_cos_diff_mean,baseline_cos_diff_mean|both29,baseline_cos_diff_mean|strict22,cos_centroid_mean,cos_diff_mean,cos_diff_mean|both29,cos_diff_mean|strict22,cv_r2,lam,n_test_families,n_test|both29,n_test|strict22,n_train_families,r2_centroid_trainmean,r2_diff,r2_testmean,r2_trainmean,r2_within,read_layer,setting,shuffled_cos_diff,shuffled_r2_trainmean,write_layer
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.4648818205066315,0.35432610344316157,0.40044609082533567,0.3735898198353138,0.09120879983684013,10.0,19,11,7,36,0.15079862706305958,-0.16896764413909127,0.03806440934140087,0.06098603200262909,0.012082232025934836,5,fixed,0.020080125745308094,-0.016553743499791107,24
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.4502248582271626,0.3560135832400073,0.4040527907343357,0.38681763558851673,0.0934899355360916,10.0,19,11,7,36,0.12736047279174512,-0.21587373935965548,0.03194321413142731,0.05501069658638946,0.010878272235353426,6,fixed,0.004202716119737672,-0.017968335857330153,24
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.45675811270877703,0.36709211764772476,0.4118857950112826,0.38947673268931954,0.09614212090401443,10.0,19,11,7,36,0.1412291571706259,-0.15308302828736564,0.036424760603627426,0.05938545387418659,0.013121191909691077,7,fixed,0.011027459762555043,-0.014610944995150366,24
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.47130198442604976,0.37943024872959225,0.43086559719682643,0.41046617509258854,0.09727912677512499,10.0,19,11,7,36,0.1598212770980727,-0.10230957130845297,0.04193170911388855,0.06476117925787583,0.015472529663433487,8,fixed,-0.0021125953418970845,-0.01583872155713073,24
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.4733268102227495,0.386005169681647,0.4297513978841512,0.4170146825108122,0.09694330276676644,10.0,19,11,7,36,0.15688660952468425,-0.07680934796455552,0.04276759921142559,0.06557715122618668,0.018438646030191297,9,fixed,0.006486717200010547,-0.0142318490195672,24
fixed,ALL,-,-1,0.10513164148484479,0.1074873839581834,0.11165789138176392,0.48045476501303136,0.390201475841865,0.43007566160432786,0.4174474209087995,0.1000756191178257,10.0,19,11,7,36,0.16284880449403505,-0.05506728733819277,0.048668769851381244,0.07133770495999792,0.024342313939341054,10,fixed,-0.012244168916148745,-0.015363219283922813,24
