model,vector,n_tasks,n_pairs,mean,median,p5,p95
Qwen2.5,label_mean,96,4560,0.4962,0.4638,0.3523,0.7557
Qwen2.5,task_fv,96,4560,0.6222,0.6065,0.4923,0.8169
Qwen2.5,task_specific_u,96,4560,-0.0081,-0.0645,-0.2659,0.4164
