icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
7,pre_label_token,0,4096,4096,0.1,0.19794093072414398,True,3400,1190,0.19782809913158417,0.2171173656688017,810.3038940429688,889.3127494747899
7,pre_label_token,1,4096,4096,10000000.0,0.19793783128261566,False,3400,1190,0.19768311083316803,0.21726751407655348,809.7101440429688,889.9277245273109
7,pre_label_token,2,4096,4096,10000000.0,0.19793547689914703,False,3400,1190,0.19768622517585754,0.2172793396380769,809.7227783203125,889.9761882878151
7,pre_label_token,3,4096,4096,10000000.0,0.19793719053268433,False,3400,1190,0.19768625497817993,0.2172969850171514,809.722900390625,890.0484046743697
7,pre_label_token,4,4096,4096,31622776.60168379,0.19793973863124847,False,3400,1190,0.19777989387512207,0.21721156625186697,810.1064453125,889.6985819327731
7,pre_label_token,5,4096,4096,10000000.0,0.1979358047246933,False,3400,1190,0.1976807713508606,0.21737097411596473,809.700439453125,890.3515296743698
7,pre_label_token,6,4096,4096,10000000.0,0.19793599843978882,False,3400,1190,0.19768069684505463,0.2174124389135537,809.7001342773438,890.521362920168
7,pre_label_token,7,4096,4096,10000000.0,0.1979351043701172,False,3400,1190,0.1976781189441681,0.2174423249829717,809.6895141601562,890.6437959558823
7,pre_label_token,8,4096,4096,10000000.0,0.1979379802942276,False,3400,1190,0.1976805180311203,0.2174154073250394,809.6994018554688,890.5335149684873
7,pre_label_token,9,4096,4096,31622776.60168379,0.19794021546840668,False,3400,1190,0.19777905941009521,0.21721567586690438,810.10302734375,889.7153952205882
7,pre_label_token,10,4096,4096,31622776.60168379,0.19793987274169922,False,3400,1190,0.1977785974740982,0.21720552204035912,810.1011962890625,889.6738182773109
7,pre_label_token,11,4096,4096,10000000.0,0.19793882966041565,False,3400,1190,0.19768139719963074,0.2173520625138483,809.702880859375,890.2740611869748
7,pre_label_token,12,4096,4096,10000000.0,0.19793686270713806,False,3400,1190,0.19767849147319794,0.2173503459000788,809.6911010742188,890.2669971113445
7,pre_label_token,13,4096,4096,10000000.0,0.19793672859668732,False,3400,1190,0.19767560064792633,0.21737366684344636,809.6792602539062,890.3625590861344
7,pre_label_token,14,4096,4096,10000000.0,0.19793908298015594,False,3400,1190,0.19767720997333527,0.21733918871198382,809.6857299804688,890.2213235294117
7,pre_label_token,15,4096,4096,10000000.0,0.19794012606143951,False,3400,1190,0.19767805933952332,0.2173355695580234,809.6893310546875,890.2064732142857
7,pre_label_token,16,4096,4096,31622776.60168379,0.19794048368930817,False,3400,1190,0.19777855277061462,0.21719886875953995,810.100830078125,889.6465270483193
7,pre_label_token,17,4096,4096,100000000.0,0.19794099032878876,True,3400,1190,0.19781231880187988,0.21714037406344375,810.2392578125,889.4069655987395
7,pre_label_token,18,4096,4096,31622776.60168379,0.1979409158229828,False,3400,1190,0.19777852296829224,0.21718723874132173,810.100830078125,889.5989364495798
7,pre_label_token,19,4096,4096,100000000.0,0.19794100522994995,True,3400,1190,0.19781231880187988,0.21713936108501017,810.2392578125,889.4028492647059
7,pre_label_token,20,4096,4096,100000000.0,0.19794116914272308,True,3400,1190,0.19781219959259033,0.2171375835643095,810.23876953125,889.3955291491596
7,pre_label_token,21,4096,4096,100000000.0,0.19794118404388428,True,3400,1190,0.19781213998794556,0.21713691358806705,810.238525390625,889.392830882353
7,pre_label_token,22,4096,4096,100000000.0,0.19794109463691711,True,3400,1190,0.19781213998794556,0.2171346648400571,810.238525390625,889.3835740546218
7,pre_label_token,23,4096,4096,100000000.0,0.1979411095380783,True,3400,1190,0.19781216979026794,0.21713272543514475,810.2386474609375,889.375649947479
7,pre_label_token,24,4096,4096,100000000.0,0.19794102013111115,True,3400,1190,0.19781211018562317,0.2171324000639074,810.2384033203125,889.3743040966386
7,pre_label_token,25,4096,4096,100000000.0,0.19794106483459473,True,3400,1190,0.19781219959259033,0.21713163231601235,810.2387084960938,889.3711462710085
7,pre_label_token,26,4096,4096,100000000.0,0.1979411095380783,True,3400,1190,0.19781234860420227,0.21713121237875033,810.2394409179688,889.3694327731092
7,pre_label_token,27,4096,4096,100000000.0,0.1979411393404007,True,3400,1190,0.19781234860420227,0.21713092868067638,810.2393798828125,889.3682641806722
7,pre_label_token,28,4096,4096,100000000.0,0.1979411393404007,True,3400,1190,0.1978122740983963,0.21713153294154575,810.2390747070312,889.3707786239496
7,first_label_token,0,4096,4096,100000000.0,0.19794109463691711,True,3400,1190,0.19781219959259033,0.2171237785275243,810.23876953125,889.3389705882353
7,first_label_token,1,4096,4096,100000000.0,0.19794099032878876,True,3400,1190,0.19781209528446198,0.21712919764158103,810.2383422851562,889.3611869747899
7,first_label_token,2,4096,4096,10000000.0,0.19794048368930817,False,3400,1190,0.19766925275325775,0.21725006584359818,809.6531982421875,889.8562368697479
7,first_label_token,3,4096,4096,3162277.6601683795,0.19793903827667236,False,3400,1190,0.1973399668931961,0.21751595184582623,808.3045043945312,890.9453256302521
7,first_label_token,4,4096,4096,3162277.6601683795,0.19793307781219482,False,3400,1190,0.1973353624343872,0.21755927270200073,808.2855834960938,891.122780987395
7,first_label_token,5,4096,4096,3162277.6601683795,0.1979292333126068,False,3400,1190,0.19733527302742004,0.2175787500974511,808.2852783203125,891.2025669642857
7,first_label_token,6,4096,4096,3162277.6601683795,0.19792871177196503,False,3400,1190,0.19733111560344696,0.21757996503044577,808.2683715820312,891.207549894958
7,first_label_token,7,4096,4096,3162277.6601683795,0.19792722165584564,False,3400,1190,0.19733239710330963,0.21769181740384141,808.2734985351562,891.6656906512605
7,first_label_token,8,4096,4096,1000000.0,0.19792774319648743,False,3400,1190,0.19644613564014435,0.2184904322904699,804.6433715820312,894.9368106617648
