layer,mean_a0.5,mean_a1.0,mean_a2.0,mean_a4.0,mean_best,baseline
0,0.1512,0.2183,0.2693,0.2863,0.351,0.0044
1,0.1419,0.2396,0.2986,0.291,0.3933,0.0044
2,0.096,0.2451,0.3285,0.3275,0.4021,0.0044
3,0.085,0.2882,0.345,0.3808,0.4324,0.0044
4,0.074,0.3171,0.363,0.385,0.4363,0.0044
5,0.0731,0.3836,0.425,0.4266,0.4943,0.0044
6,0.0385,0.3699,0.4565,0.4652,0.5206,0.0044
7,0.035,0.3369,0.4799,0.4796,0.5302,0.0044
8,0.0365,0.3585,0.4888,0.4802,0.5357,0.0044
9,0.0418,0.3505,0.4982,0.4959,0.5448,0.0044
10,0.0335,0.2981,0.5074,0.4995,0.5457,0.0044
11,0.0365,0.3099,0.5246,0.5029,0.5476,0.0044
12,0.0358,0.2991,0.5418,0.5008,0.5584,0.0044
13,0.0373,0.2843,0.5336,0.487,0.5447,0.0044
14,0.0313,0.2115,0.4832,0.425,0.4934,0.0044
15,0.0226,0.147,0.3988,0.3564,0.407,0.0044
16,0.0204,0.0987,0.2952,0.2837,0.308,0.0044
17,0.0129,0.0524,0.2193,0.2351,0.2495,0.0044
18,0.0127,0.0384,0.1487,0.1766,0.1855,0.0044
19,0.0107,0.0348,0.1251,0.1573,0.1656,0.0044
20,0.0067,0.0131,0.0654,0.1179,0.1193,0.0044
21,0.0077,0.0114,0.0327,0.091,0.0928,0.0044
22,0.005,0.0058,0.0067,0.0117,0.0124,0.0044
23,0.004,0.0046,0.0052,0.0063,0.0074,0.0044
24,0.0042,0.004,0.0049,0.006,0.007,0.0044
25,0.0039,0.0044,0.0049,0.0062,0.0073,0.0044
26,0.0041,0.0046,0.005,0.0049,0.0065,0.0044
27,0.004,0.0046,0.0038,0.0036,0.0058,0.0044
