condition,task_group,mean_acc,median_acc,mean_drop_vs_6shot
zero_shot,train,0.0019,0.0,0.6378
zero_shot,heldout,0.001,0.0,0.6348
zero_shot,all,0.0017,0.0,0.6372
real_6shot,train,0.6398,0.62,0.0
real_6shot,heldout,0.6357,0.64,0.0
real_6shot,all,0.6389,0.6267,0.0
own_zero_L9to27,train,0.0144,0.0,0.6253
own_zero_L9to27,heldout,0.0052,0.0,0.6305
own_zero_L9to27,all,0.0126,0.0,0.6264
own_mean_L9to27,train,0.2469,0.2133,0.3929
own_mean_L9to27,heldout,0.2224,0.2533,0.4133
own_mean_L9to27,all,0.2419,0.2133,0.397
cf_zero_L9to27,train,0.4864,0.5,0.1533
cf_zero_L9to27,heldout,0.4343,0.42,0.2014
cf_zero_L9to27,all,0.4758,0.4867,0.1631
cf_mean_L9to27,train,0.6236,0.6067,0.0161
cf_mean_L9to27,heldout,0.5876,0.5867,0.0481
cf_mean_L9to27,all,0.6163,0.6,0.0226
own_zero_L0to27,train,0.0186,0.0,0.6212
own_zero_L0to27,heldout,0.0062,0.0,0.6295
own_zero_L0to27,all,0.016,0.0,0.6229
own_mean_L0to27,train,0.2442,0.2067,0.3955
own_mean_L0to27,heldout,0.2371,0.2567,0.3986
own_mean_L0to27,all,0.2428,0.2133,0.3961
cf_zero_L0to27,train,0.4868,0.5,0.153
cf_zero_L0to27,heldout,0.4438,0.4667,0.1919
cf_zero_L0to27,all,0.4781,0.4867,0.1609
cf_mean_L0to27,train,0.6194,0.5933,0.0204
cf_mean_L0to27,heldout,0.62,0.61,0.0157
cf_mean_L0to27,all,0.6195,0.5933,0.0194
